name,address,평점,카테고리
미성장모텔,서울 용산구 원효로2가 83-11,2.8점,"여행 > 숙박 > 여관,모텔"
가나모텔,서울 마포구 도화동 202-3,3.0점,"여행 > 숙박 > 여관,모텔"
신라스테이 마포,서울 마포구 도화동 570,3.1점,여행 > 숙박 > 호텔 > 신라스테이
호텔 나루 서울 엠갤러리,서울 마포구 마포동 450,4.1점,여행 > 숙박 > 호텔 > 특급호텔 > 앰배서더호텔
텐큐글로벌레지던스 2,서울 마포구 공덕동 461,,여행 > 숙박 > 호텔
에버8,서울 서대문구 대현동 104-5,5.0점,여행 > 숙박 > 호텔
샾호텔,서울 용산구 원효로2가 61-32,1.0점,"여행 > 숙박 > 여관,모텔"
로이넷호텔 서울마포,서울 마포구 도화동 573,4.6점,여행 > 숙박 > 호텔
서울가든호텔,서울 마포구 도화동 169-1,3.4점,여행 > 숙박 > 호텔
서울큐브이화,서울 마포구 염리동 9-124,3.6점,여행 > 숙박 > 게스트하우스
브라운스위트호텔 신촌센트럴,서울 마포구 노고산동 57-26,3.0점,여행 > 숙박 > 호텔
캠비하우스,서울 마포구 마포동 449,,여행 > 숙박 > 게스트하우스
레인보우호텔,서울 용산구 갈월동 98-2,3.2점,여행 > 숙박 > 호텔
옥상달빛,서울 용산구 효창동 5-205,5.0점,여행 > 숙박 > 펜션
위고인호스텔,서울 서대문구 대현동 104-48,4.8점,여행 > 숙박 > 유스호스텔
H에비뉴호텔 신촌이대점,서울 마포구 노고산동 1-74,2.6점,여행 > 숙박 > 호텔
라뉘호텔,서울 마포구 노고산동 106-15,2.4점,"여행 > 숙박 > 여관,모텔"
Y호텔,서울 마포구 노고산동 106-46,2.8점,"여행 > 숙박 > 여관,모텔"
예원장모텔,서울 마포구 공덕동 105-228,,"여행 > 숙박 > 여관,모텔"
한강게스트하우스,서울 마포구 마포동 293-9,2.3점,여행 > 숙박 > 게스트하우스
호텔더디자이너스 서울역점,서울 용산구 갈월동 69-27,3.4점,여행 > 숙박 > 호텔
평안모텔,서울 용산구 원효로3가 1-43,2.0점,"여행 > 숙박 > 여관,모텔"
록수여관,서울 마포구 공덕동 242-46,,"여행 > 숙박 > 여관,모텔"
신촌월호텔,서울 서대문구 대현동 104-15,2.6점,"여행 > 숙박 > 여관,모텔"
글래드 마포,서울 마포구 도화동 25-13,3.8점,여행 > 숙박 > 호텔
그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울용산,서울 용산구 한강로3가 40-969,3.7점,여행 > 숙박 > 호텔 > 특급호텔 > 앰배서더호텔
진양모텔,서울 용산구 청파동2가 1-81,,"여행 > 숙박 > 여관,모텔"
태창여관,서울 용산구 원효로3가 68,1.0점,"여행 > 숙박 > 여관,모텔"
피터캣,서울 마포구 노고산동 106-25,2.9점,"여행 > 숙박 > 여관,모텔"
앰배서더호텔 이비스스타일 서울용산,서울 용산구 한강로3가 40-969,3.6점,여행 > 숙박 > 호텔 > 특급호텔 > 앰배서더호텔
서울드래곤시티,서울 용산구 한강로3가 40-969,4.3점,여행 > 숙박 > 호텔 > 특급호텔
롯데시티호텔 마포,서울 마포구 공덕동 467,3.9점,여행 > 숙박 > 호텔 > 특급호텔
나루하우스,서울 마포구 공덕동 242-45,1.0점,여행 > 숙박 > 게스트하우스
공덕정게스트하우스,서울 마포구 도화동 4-39,,여행 > 숙박 > 게스트하우스
게티하우스,서울 마포구 대흥동 768-1,,여행 > 숙박 > 게스트하우스
신촌 메이저호텔,서울 마포구 노고산동 109-62,2.4점,"여행 > 숙박 > 여관,모텔"
원효여관,서울 용산구 원효로2가 81-6,5.0점,"여행 > 숙박 > 여관,모텔"
관숙,서울 마포구 대흥동 50-3,,여행 > 숙박 > 민박
호텔M,서울 마포구 노고산동 106-62,2.0점,"여행 > 숙박 > 여관,모텔"
화전모텔,서울 용산구 원효로2가 41-1,2.0점,"여행 > 숙박 > 여관,모텔"
힙호텔,서울 서대문구 대현동 104-56,2.3점,"여행 > 숙박 > 여관,모텔"
WO호텔 서울역,서울 용산구 청파동1가 160-1,1.6점,"여행 > 숙박 > 여관,모텔"
고팔라우,서울 마포구 공덕동 256-13,,여행 > 숙박 > 호텔
앰배서더호텔 노보텔 서울용산,서울 용산구 한강로3가 40-969,,여행 > 숙박 > 호텔 > 특급호텔 > 앰배서더호텔
앰배서더호텔 노보텔스위트 서울용산,서울 용산구 한강로3가 40-969,3.4점,여행 > 숙박 > 호텔 > 특급호텔 > 앰배서더호텔
