name,address,평점,카테고리
영진여관,서울 은평구 수색동 367-3,,"여행 > 숙박 > 여관,모텔"
준모텔,서울 서대문구 남가좌동 152-42,,"여행 > 숙박 > 여관,모텔"
동도장여관,서울 은평구 응암동 596-1,,"여행 > 숙박 > 여관,모텔"
이코노미호텔 은평점,서울 은평구 응암동 598-4,2.1점,"여행 > 숙박 > 여관,모텔"
더그레이호텔,서울 서대문구 남가좌동 290-140,2.9점,여행 > 숙박 > 호텔
메인모텔,서울 은평구 수색동 378-1,2.3점,"여행 > 숙박 > 여관,모텔"
수일여관,서울 은평구 수색동 365-8,,"여행 > 숙박 > 여관,모텔"
현대장여관,서울 은평구 수색동 369-3,,"여행 > 숙박 > 여관,모텔"
대림모텔,서울 은평구 수색동 369-1,1.0점,"여행 > 숙박 > 여관,모텔"
스탠포드호텔 서울,서울 마포구 상암동 1587,3.4점,여행 > 숙박 > 호텔
서울장여관,서울 서대문구 남가좌동 289-8,2.5점,"여행 > 숙박 > 여관,모텔"
노을공원 C,서울 마포구 상암동 478-1,5.0점,"여행 > 숙박 > 야영,캠핑장"
인게스트하우스,서울 마포구 성산동 261-40,,여행 > 숙박 > 게스트하우스
은하장여관,서울 서대문구 남가좌동 152-42,,"여행 > 숙박 > 여관,모텔"
대도여관,서울 서대문구 남가좌동 289-5,,"여행 > 숙박 > 여관,모텔"
마포스테이,서울 마포구 성산동 200-339,,여행 > 숙박 > 게스트하우스
수정장여관,서울 은평구 수색동 106-1,4.0점,"여행 > 숙박 > 여관,모텔"
온천장여관,서울 은평구 수색동 378-1,3.0점,"여행 > 숙박 > 여관,모텔"
Y호텔,서울 은평구 응암동 596-1,2.8점,"여행 > 숙박 > 여관,모텔"
거북장여관,서울 서대문구 북가좌동 309-12,,"여행 > 숙박 > 여관,모텔"
리베로모텔,서울 서대문구 북가좌동 273-9,,"여행 > 숙박 > 여관,모텔"
뉴모텔,서울 서대문구 남가좌동 152-39,,"여행 > 숙박 > 여관,모텔"
백년모텔,서울 서대문구 북가좌동 343-11,2.3점,"여행 > 숙박 > 여관,모텔"
