name,address,평점,카테고리
바투 스테이,서울 마포구 연남동 570-22,,여행 > 숙박 > 게스트하우스
캐슬모텔,서울 마포구 합정동 426-28,4.0점,"여행 > 숙박 > 여관,모텔"
스튜디오41st 호스텔,서울 마포구 연남동 561-41,,여행 > 숙박 > 게스트하우스
안녕하늘,서울 마포구 서교동 448-4,4.3점,"여행 > 숙박 > 야영,캠핑장"
주니비노호텔,서울 마포구 합정동 379-4,3.0점,여행 > 숙박 > 호텔
아이하우스친친,서울 마포구 연남동 370-14,1.3점,여행 > 숙박 > 게스트하우스
귀빈장모텔,서울 마포구 성산동 630-16,,"여행 > 숙박 > 여관,모텔"
DW디자인레지던스,서울 마포구 동교동 203-47,3.0점,여행 > 숙박 > 게스트하우스
L7 홍대,서울 마포구 동교동 160-5,3.6점,여행 > 숙박 > 호텔
버즈네스트호스텔,서울 마포구 연남동 561-34,1.0점,여행 > 숙박 > 게스트하우스
써클호텔 합정점,서울 마포구 합정동 382-17,3.2점,여행 > 숙박 > 호텔
니트하우스,서울 마포구 서교동 375-42,,여행 > 숙박 > 게스트하우스
더그레이호텔,서울 서대문구 남가좌동 290-140,2.9점,여행 > 숙박 > 호텔
호텔더디자이너스 홍대,서울 마포구 서교동 373-9,2.0점,여행 > 숙박 > 호텔
코리아트래블하우스,서울 마포구 성산동 21-25,,여행 > 숙박 > 게스트하우스
호스텔서울,서울 마포구 합정동 444-4,2.0점,여행 > 숙박 > 게스트하우스
서울장여관,서울 서대문구 남가좌동 289-8,2.5점,"여행 > 숙박 > 여관,모텔"
이슈서울 게스트하우스,서울 마포구 서교동 481-9,,여행 > 숙박 > 게스트하우스
앰배서더호텔 머큐어 서울홍대,서울 마포구 동교동 162-5,4.1점,여행 > 숙박 > 호텔 > 특급호텔 > 앰배서더호텔
더휴식 아늑호텔 서울 홍대점,서울 마포구 서교동 351-29,3.6점,"여행 > 숙박 > 여관,모텔"
플렉스홈게스트하우스,서울 마포구 망원동 394-118,2.0점,여행 > 숙박 > 게스트하우스
이강가,서울 마포구 성산동 39-14,5.0점,여행 > 숙박 > 게스트하우스
로컬스티치 크리에이터타운 서교,서울 마포구 서교동 460-25,2.6점,여행 > 숙박 > 호텔
연남 마리하우스,서울 마포구 연남동 370-25,5.0점,여행 > 숙박 > 게스트하우스
남경호텔,서울 마포구 합정동 382-19,1.5점,"여행 > 숙박 > 여관,모텔"
인게스트하우스,서울 마포구 성산동 261-40,,여행 > 숙박 > 게스트하우스
남양장모텔,서울 마포구 망원동 378-6,1.0점,"여행 > 숙박 > 여관,모텔"
보보호텔,서울 마포구 서교동 373-1,3.4점,여행 > 숙박 > 호텔
대도여관,서울 서대문구 남가좌동 289-5,,"여행 > 숙박 > 여관,모텔"
나루게스트하우스,서울 마포구 서교동 395-149,5.0점,여행 > 숙박 > 게스트하우스
라이즈 오토그래프 컬렉션,서울 마포구 서교동 354-5,4.0점,여행 > 숙박 > 호텔
롬바드하우스,서울 마포구 서교동 466-6,3.0점,여행 > 숙박 > 게스트하우스
애플게스트하우스,서울 마포구 연남동 568-6,5.0점,여행 > 숙박 > 게스트하우스
아만티호텔서울,서울 마포구 서교동 447-1,3.9점,여행 > 숙박 > 호텔
마포스테이,서울 마포구 성산동 200-339,,여행 > 숙박 > 게스트하우스
드림하우스게스트하우스,서울 마포구 서교동 465-11,5.0점,여행 > 숙박 > 게스트하우스
앨비어러스,서울 마포구 망원동 405-27,4.5점,여행 > 숙박 > 호텔
하프스텝,서울 마포구 망원동 394-87,,여행 > 숙박 > 게스트하우스
뉴모텔,서울 서대문구 남가좌동 152-39,,"여행 > 숙박 > 여관,모텔"
예포게스트하우스,서울 서대문구 연희동 446-253,,여행 > 숙박 > 게스트하우스
성산모텔,서울 마포구 성산동 632-6,5.0점,"여행 > 숙박 > 여관,모텔"
스티치스게스트하우스,서울 마포구 합정동 391-6,3.8점,여행 > 숙박 > 게스트하우스
나인브릭호텔,서울 마포구 서교동 354-10,3.4점,여행 > 숙박 > 호텔
파크애비뉴 게스트하우스,서울 마포구 연남동 257-12,3.5점,여행 > 숙박 > 게스트하우스
성미모텔,서울 마포구 성산동 252-4,3.4점,"여행 > 숙박 > 여관,모텔"
