name,address
미성장모텔,서울 용산구 원효로2가 83-11
가나모텔,서울 마포구 도화동 202-3
신라스테이 마포,서울 마포구 도화동 570
호텔 나루 서울 엠갤러리,서울 마포구 마포동 450
텐큐글로벌레지던스 2,서울 마포구 공덕동 461
에버8,서울 서대문구 대현동 104-5
샾호텔,서울 용산구 원효로2가 61-32
성도모텔,서울 마포구 노고산동 106-77
로이넷호텔 서울마포,서울 마포구 도화동 573
서울가든호텔,서울 마포구 도화동 169-1
서울큐브이화,서울 마포구 염리동 9-124
캠비하우스,서울 마포구 마포동 449
브라운스위트호텔 신촌센트럴,서울 마포구 노고산동 57-26
옥상달빛,서울 용산구 효창동 5-205
H에비뉴호텔 신촌이대점,서울 마포구 노고산동 1-74
라뉘호텔,서울 마포구 노고산동 106-15
호텔루디,서울 마포구 노고산동 106-54
Y호텔,서울 마포구 노고산동 106-46
예원장모텔,서울 마포구 공덕동 105-228
한강게스트하우스,서울 마포구 마포동 293-9
넘버25호텔 신촌점,서울 마포구 노고산동 106-10
평안모텔,서울 용산구 원효로3가 1-43
록수여관,서울 마포구 공덕동 242-46
글래드 마포,서울 마포구 도화동 25-13
그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울용산,서울 용산구 한강로3가 40-969
문화장여관,서울 용산구 이촌동 212-37
태창여관,서울 용산구 원효로3가 68
피터캣,서울 마포구 노고산동 106-25
앰배서더호텔 이비스스타일 서울용산,서울 용산구 한강로3가 40-969
서울드래곤시티,서울 용산구 한강로3가 40-969
롯데시티호텔 마포,서울 마포구 공덕동 467
나루하우스,서울 마포구 공덕동 242-45
공덕정게스트하우스,서울 마포구 도화동 4-39
게티하우스,서울 마포구 대흥동 768-1
신촌 메이저호텔,서울 마포구 노고산동 109-62
원효여관,서울 용산구 원효로2가 81-6
관숙,서울 마포구 대흥동 50-3
호텔M,서울 마포구 노고산동 106-62
사이공감,서울 마포구 신수동 60
화전모텔,서울 용산구 원효로2가 41-1
힙호텔,서울 서대문구 대현동 104-56
고팔라우,서울 마포구 공덕동 256-13
앰배서더호텔 노보텔 서울용산,서울 용산구 한강로3가 40-969
앰배서더호텔 노보텔스위트 서울용산,서울 용산구 한강로3가 40-969
호텔S,서울 마포구 노고산동 109-154
