name,address,평점,카테고리
바투 스테이,서울 마포구 연남동 570-22,,여행 > 숙박 > 게스트하우스
캐슬모텔,서울 마포구 합정동 426-28,4.0점,"여행 > 숙박 > 여관,모텔"
주니비노호텔,서울 마포구 합정동 379-4,3.0점,여행 > 숙박 > 호텔
안녕하늘,서울 마포구 서교동 448-4,4.3점,"여행 > 숙박 > 야영,캠핑장"
아이하우스친친,서울 마포구 연남동 370-14,1.3점,여행 > 숙박 > 게스트하우스
귀빈장모텔,서울 마포구 성산동 630-16,,"여행 > 숙박 > 여관,모텔"
DW디자인레지던스,서울 마포구 동교동 203-47,3.0점,여행 > 숙박 > 게스트하우스
L7 홍대,서울 마포구 동교동 160-5,3.6점,여행 > 숙박 > 호텔
써클호텔 합정점,서울 마포구 합정동 382-17,3.2점,여행 > 숙박 > 호텔
니트하우스,서울 마포구 서교동 375-42,,여행 > 숙박 > 게스트하우스
호텔더디자이너스 홍대,서울 마포구 서교동 373-9,2.0점,여행 > 숙박 > 호텔
호스텔서울,서울 마포구 합정동 444-4,2.0점,여행 > 숙박 > 게스트하우스
집게스트하우스,서울 마포구 합정동 366-37,5.0점,여행 > 숙박 > 게스트하우스
이슈서울 게스트하우스,서울 마포구 서교동 481-9,,여행 > 숙박 > 게스트하우스
앰배서더호텔 머큐어 서울홍대,서울 마포구 동교동 162-5,4.1점,여행 > 숙박 > 호텔 > 특급호텔 > 앰배서더호텔
더휴식 아늑호텔 서울 홍대점,서울 마포구 서교동 351-29,3.6점,"여행 > 숙박 > 여관,모텔"
코코아게스트하우스,서울 마포구 서교동 409-19,4.3점,여행 > 숙박 > 게스트하우스
플렉스홈게스트하우스,서울 마포구 망원동 394-118,2.0점,여행 > 숙박 > 게스트하우스
이강가,서울 마포구 성산동 39-14,5.0점,여행 > 숙박 > 게스트하우스
로컬스티치 크리에이터타운 서교,서울 마포구 서교동 460-25,2.6점,여행 > 숙박 > 호텔
퀸하우스,서울 마포구 서교동 446-11,,여행 > 숙박 > 게스트하우스
남경호텔,서울 마포구 합정동 382-19,1.5점,"여행 > 숙박 > 여관,모텔"
동경모텔,서울 마포구 서교동 355-6,1.6점,"여행 > 숙박 > 여관,모텔"
인게스트하우스,서울 마포구 성산동 261-40,,여행 > 숙박 > 게스트하우스
남양장모텔,서울 마포구 망원동 378-6,1.0점,"여행 > 숙박 > 여관,모텔"
미성장모텔,서울 마포구 동교동 154-21,2.8점,"여행 > 숙박 > 여관,모텔"
보보호텔,서울 마포구 서교동 373-1,3.4점,여행 > 숙박 > 호텔
나루게스트하우스,서울 마포구 서교동 395-149,5.0점,여행 > 숙박 > 게스트하우스
남경장호텔,서울 마포구 합정동 382-21,1.0점,여행 > 숙박 > 호텔
마크스게스트하우스,서울 마포구 서교동 446-7,,여행 > 숙박 > 게스트하우스
라이즈 오토그래프 컬렉션,서울 마포구 서교동 354-5,4.0점,여행 > 숙박 > 호텔
롬바드하우스,서울 마포구 서교동 466-6,3.0점,여행 > 숙박 > 게스트하우스
애플게스트하우스,서울 마포구 연남동 568-6,5.0점,여행 > 숙박 > 게스트하우스
아만티호텔서울,서울 마포구 서교동 447-1,3.9점,여행 > 숙박 > 호텔
드림하우스게스트하우스,서울 마포구 서교동 465-11,5.0점,여행 > 숙박 > 게스트하우스
앨비어러스,서울 마포구 망원동 405-27,4.5점,여행 > 숙박 > 호텔
마마스앤파파스 게스트하우스,서울 마포구 서교동 403-16,1.4점,여행 > 숙박 > 게스트하우스
포시즌하우스,서울 마포구 합정동 389-6,,여행 > 숙박 > 게스트하우스
성산모텔,서울 마포구 성산동 632-6,5.0점,"여행 > 숙박 > 여관,모텔"
홀리데이인익스프레스 서울홍대,서울 마포구 동교동 192-45,3.9점,여행 > 숙박 > 호텔
스티치스게스트하우스,서울 마포구 합정동 391-6,3.8점,여행 > 숙박 > 게스트하우스
나인브릭호텔,서울 마포구 서교동 354-10,3.4점,여행 > 숙박 > 호텔
홍대스타일게스트하우스,서울 마포구 동교동 203-29,5.0점,여행 > 숙박 > 게스트하우스
성미모텔,서울 마포구 성산동 252-4,3.4점,"여행 > 숙박 > 여관,모텔"
하디게스트하우스,서울 마포구 합정동 411-5,4.3점,여행 > 숙박 > 게스트하우스
