name,address
호텔밀하우스,서울 서대문구 창천동 29-56
24게스트하우스 신촌점,서울 마포구 노고산동 57-20
신라스테이 마포,서울 마포구 도화동 570
에버8,서울 서대문구 대현동 104-5
호텔 나루 서울 엠갤러리,서울 마포구 마포동 450
성도모텔,서울 마포구 노고산동 106-77
림호텔,서울 서대문구 창천동 29-26
호텔이채3,서울 서대문구 창천동 29-21
D호텔,서울 서대문구 창천동 29-64
준게스트하우스,서울 마포구 서교동 335-36
L7 홍대,서울 마포구 동교동 160-5
렉시호텔,서울 서대문구 창천동 29-55
신디,서울 서대문구 창천동 29-36
브라운스위트호텔 신촌센트럴,서울 마포구 노고산동 57-26
위드모텔,서울 마포구 노고산동 106-91
애니타임호텔,서울 서대문구 창천동 29-51
위고인호스텔,서울 서대문구 대현동 104-48
H에비뉴호텔 신촌이대점,서울 마포구 노고산동 1-74
호텔루디,서울 마포구 노고산동 106-54
Y호텔,서울 마포구 노고산동 106-46
앰배서더호텔 머큐어 서울홍대,서울 마포구 동교동 162-5
넘버25호텔 신촌점,서울 마포구 노고산동 106-10
호텔레츠,서울 서대문구 창천동 20-76
호텔라싸,서울 서대문구 창천동 18-81
호텔가을,서울 서대문구 창천동 29-41
신촌월호텔,서울 서대문구 대현동 104-15
신촌시스터즈호스텔,서울 마포구 노고산동 106-105
호텔모모,서울 서대문구 창천동 20-38
바론드호텔,서울 서대문구 창천동 29-11
호텔루이,서울 서대문구 창천동 29-24
호텔루씨르,서울 서대문구 창천동 29-68
피터캣,서울 마포구 노고산동 106-25
라이즈 오토그래프 컬렉션,서울 마포구 서교동 354-5
포레스타호텔,서울 서대문구 창천동 29-26
테마모텔,서울 서대문구 창천동 112-15
신촌 메이저호텔,서울 마포구 노고산동 109-62
호텔서강스테이,서울 마포구 노고산동 106-41
호텔M,서울 마포구 노고산동 106-62
도로시모텔,서울 마포구 노고산동 107-35
힙호텔,서울 서대문구 대현동 104-56
호텔제이드,서울 서대문구 창천동 29-49
호텔파르페,서울 마포구 노고산동 109-6
홀리데이인익스프레스 서울홍대,서울 마포구 동교동 192-45
라뉘호텔,서울 마포구 노고산동 106-15
호텔S,서울 마포구 노고산동 109-154
