name,address
조선호텔 포포인츠바이쉐라톤 서울역,서울 용산구 동자동 56
밀레니엄힐튼 서울(22년12월31일 영업종료),서울 중구 남대문로5가 395
비욘드스위트,서울 서대문구 대현동 101-9
K그랜드호텔 서울,서울 용산구 동자동 43-59
신라스테이 마포,서울 마포구 도화동 570
호텔 나루 서울 엠갤러리,서울 마포구 마포동 450
에버8,서울 서대문구 대현동 104-5
계림모텔,서울 용산구 서계동 228-6
텐큐글로벌레지던스 2,서울 마포구 공덕동 461
라마다호텔앤스위트 서울남대문,서울 중구 순화동 151
로이넷호텔 서울마포,서울 마포구 도화동 573
서울가든호텔,서울 마포구 도화동 169-1
서울큐브이화,서울 마포구 염리동 9-124
금강모텔,서울 용산구 서계동 229-3
성덕장모텔,서울 서대문구 북아현동 125-20
유에이치스위트 더서울,서울 중구 만리동1가 33-1
프레이저플레이스 센트럴서울,서울 중구 순화동 214
위고인호스텔,서울 서대문구 대현동 104-48
H에비뉴호텔 신촌이대점,서울 마포구 노고산동 1-74
참호텔,서울 서대문구 대현동 90-23
예원장모텔,서울 마포구 공덕동 105-228
필스테이 이화부띠끄점,서울 서대문구 대현동 56-126
소라모텔,서울 서대문구 대현동 101-15
호텔더디자이너스 서울역점,서울 용산구 갈월동 69-27
록수여관,서울 마포구 공덕동 242-46
신촌월호텔,서울 서대문구 대현동 104-15
랑호텔,서울 중구 중림동 128-40
신도여관,서울 마포구 아현동 346-27
글래드 마포,서울 마포구 도화동 25-13
호텔모모,서울 서대문구 창천동 20-38
서울그랜드호스텔 이대,서울 서대문구 대현동 101-17
진양모텔,서울 용산구 청파동2가 1-81
R게스트하우스,서울 용산구 서계동 234-3
디케이하우스,서울 서대문구 대현동 90-37
호텔스테이인 서울역,서울 용산구 동자동 35-146
대명여인숙,서울 마포구 아현동 570-49
롯데시티호텔 마포,서울 마포구 공덕동 467
콩스테이,서울 용산구 서계동 238-51
나루하우스,서울 마포구 공덕동 242-45
호텔엘리,서울 서대문구 대현동 110-35
MK리버티하우스 서울역본점,서울 용산구 서계동 220-3
힙호텔,서울 서대문구 대현동 104-56
WO호텔 서울역,서울 용산구 청파동1가 160-1
신라스테이 서대문,서울 서대문구 미근동 333
굿타임호텔,서울 서대문구 대현동 104-41
