name,address,평점,카테고리
영진여관,서울 은평구 수색동 367-3,,"여행 > 숙박 > 여관,모텔"
준모텔,서울 서대문구 남가좌동 152-42,,"여행 > 숙박 > 여관,모텔"
아이하우스친친,서울 마포구 연남동 370-14,1.3점,여행 > 숙박 > 게스트하우스
귀빈장모텔,서울 마포구 성산동 630-16,,"여행 > 숙박 > 여관,모텔"
더그레이호텔,서울 서대문구 남가좌동 290-140,2.9점,여행 > 숙박 > 호텔
메인모텔,서울 은평구 수색동 378-1,2.3점,"여행 > 숙박 > 여관,모텔"
수일여관,서울 은평구 수색동 365-8,,"여행 > 숙박 > 여관,모텔"
현대장여관,서울 은평구 수색동 369-3,,"여행 > 숙박 > 여관,모텔"
코리아트래블하우스,서울 마포구 성산동 21-25,,여행 > 숙박 > 게스트하우스
대림모텔,서울 은평구 수색동 369-1,1.0점,"여행 > 숙박 > 여관,모텔"
지브로H 게스트하우스,서울 마포구 연남동 370-27,,여행 > 숙박 > 게스트하우스
스탠포드호텔 서울,서울 마포구 상암동 1587,3.4점,여행 > 숙박 > 호텔
서울장여관,서울 서대문구 남가좌동 289-8,2.5점,"여행 > 숙박 > 여관,모텔"
플렉스홈게스트하우스,서울 마포구 망원동 394-118,2.0점,여행 > 숙박 > 게스트하우스
연남 마리하우스,서울 마포구 연남동 370-25,5.0점,여행 > 숙박 > 게스트하우스
이강가,서울 마포구 성산동 39-14,5.0점,여행 > 숙박 > 게스트하우스
파티오59 홍대2호점,서울 마포구 연남동 504-7,,여행 > 숙박 > 게스트하우스
인게스트하우스,서울 마포구 성산동 261-40,,여행 > 숙박 > 게스트하우스
은하장여관,서울 서대문구 남가좌동 152-42,,"여행 > 숙박 > 여관,모텔"
남양장모텔,서울 마포구 망원동 378-6,1.0점,"여행 > 숙박 > 여관,모텔"
대도여관,서울 서대문구 남가좌동 289-5,,"여행 > 숙박 > 여관,모텔"
마포스테이,서울 마포구 성산동 200-339,,여행 > 숙박 > 게스트하우스
앨비어러스,서울 마포구 망원동 405-27,4.5점,여행 > 숙박 > 호텔
수정장여관,서울 은평구 수색동 106-1,4.0점,"여행 > 숙박 > 여관,모텔"
온천장여관,서울 은평구 수색동 378-1,3.0점,"여행 > 숙박 > 여관,모텔"
하프스텝,서울 마포구 망원동 394-87,,여행 > 숙박 > 게스트하우스
거북장여관,서울 서대문구 북가좌동 309-12,,"여행 > 숙박 > 여관,모텔"
빅베어하우스,서울 마포구 연남동 487-157,1.0점,여행 > 숙박 > 게스트하우스
뉴모텔,서울 서대문구 남가좌동 152-39,,"여행 > 숙박 > 여관,모텔"
예포게스트하우스,서울 서대문구 연희동 446-253,,여행 > 숙박 > 게스트하우스
성산모텔,서울 마포구 성산동 632-6,5.0점,"여행 > 숙박 > 여관,모텔"
윤쉐어하우스,서울 마포구 연남동 482-28,,여행 > 숙박 > 게스트하우스
백년모텔,서울 서대문구 북가좌동 343-11,2.3점,"여행 > 숙박 > 여관,모텔"
성미모텔,서울 마포구 성산동 252-4,3.4점,"여행 > 숙박 > 여관,모텔"
