name,address,평점
카페겟앤쇼 공덕점,서울 마포구 도화동 572,4.8점
두드림,서울 마포구 노고산동 31-158,4.0점
일야커피,서울 마포구 염리동 172-1,4.3점
홉커피,서울 마포구 대흥동 253,4.7점
카페대흥,서울 마포구 대흥동 255-2,4.4점
나비카페,서울 마포구 노고산동 31-208,5.0점
비파티세리 공덕점,서울 마포구 공덕동 105-67,4.2점
비로소커피,서울 마포구 신수동 85-19,3.9점
할리스 공덕경의선숲길점,서울 마포구 염리동 164-1,3.4점
커피향깊은그한옥,서울 마포구 염리동 157-12,3.6점
아이엠베이글 공덕점,서울 마포구 공덕동 476,4.4점
나이스 워크 투데이,서울 마포구 신수동 35-8,3.8점
스타벅스 공덕오거리점,서울 마포구 도화동 22,3.4점
클로드커피,서울 마포구 대흥동 244-2,4.7점
프릳츠 도화점,서울 마포구 도화동 179-9,3.9점
브루니치,서울 마포구 공덕동 476,4.9점
유어커피,서울 마포구 신수동 179-2,4.7점
민트콘디션 커피 바,서울 마포구 대흥동 325-14,4.8점
백억커피 마포대흥점,서울 마포구 대흥동 328-34,2.2점
스타벅스 마포염리점,서울 마포구 염리동 168-9,4.0점
스타벅스 서강대점,서울 마포구 신수동 63-14,3.7점
파크사이드,서울 마포구 대흥동 241-40,3.6점
커피크레페 본점,서울 서대문구 창천동 30-10,4.3점
더파이홀,서울 서대문구 창천동 57-61,4.1점
비엔나커피하우스 마포신한디엠점,서울 마포구 마포동 33-1,4.1점
독수리다방,서울 서대문구 창천동 31-4,4.2점
컴포즈커피 마포신수점,서울 마포구 신수동 32-2,
스타벅스 마포일진빌딩점,서울 마포구 도화동 50-1,3.3점
크리크,서울 마포구 신수동 22-14,4.9점
메가MGC커피 대흥역점,서울 마포구 대흥동 260,4.3점
후엘고,서울 마포구 염리동 128-8,4.4점
클로리스 신촌점,서울 서대문구 창천동 13-35,4.2점
스타벅스 서강대흥역점,서울 마포구 대흥동 111-1,3.6점
메가MGC커피 마포용강점,서울 마포구 염리동 174-18,3.8점
북티크,서울 마포구 신수동 88-131,4.5점
투썸플레이스 마포대로점,서울 마포구 도화동 573,3.7점
스타벅스 마포용강동점,서울 마포구 용강동 112-2,4.2점
누아네,서울 마포구 대흥동 241-1,4.0점
스타벅스 공덕점,서울 마포구 공덕동 254-8,3.8점
디어모먼트,서울 마포구 대흥동 246,4.1점
포멜로빈 공덕점,서울 마포구 공덕동 478,4.1점
포니테일,서울 마포구 신수동 85-16,4.9점
스테이웰카페,서울 마포구 공덕동 476,4.0점
투썸플레이스 대흥역점,서울 마포구 염리동 180-11,3.7점
그로토,서울 마포구 도화동 184-22,4.0점
