name,address,평점
카페훈훈,서울 마포구 상암동 1523,5.0점
알키미스타,서울 은평구 증산동 177-24,3.9점
탐앤탐스 DMC점,서울 은평구 증산동 223-13,5.0점
탐스커버리 DMC탐스커버리점,서울 은평구 증산동 223-13,2.9점
어로드커피,서울 마포구 상암동 2-187,4.5점
스타벅스 디지털미디어시티역,서울 마포구 상암동 1623,4.6점
이디야커피 상암한샘점,서울 마포구 상암동 1522,3.6점
메가MGC커피 상암DMC점,서울 마포구 상암동 1653,5.0점
스타벅스 상암YTN점,서울 마포구 상암동 1607,3.4점
커피빈 상암SBS미디어센터점,서울 마포구 상암동 1607-1,4.0점
블루샥 상암디디엠씨점,서울 마포구 상암동 1610,3.0점
"here,coffee",서울 마포구 상암동 1618,5.0점
커피아람빈스 로스터리 카페 상암본점,서울 마포구 상암동 1444,4.7점
메가MGC커피 디지털미디어시티역점,서울 마포구 상암동 1484,
런이트,서울 마포구 상암동 11-8,4.7점
폴바셋 MBC몰파크점,서울 마포구 상암동 1603,4.1점
투오브어스,서울 은평구 증산동 178-13,4.9점
마름모커피,서울 마포구 상암동 1514,4.1점
카페모임 1호점,서울 마포구 상암동 11-5,3.6점
카페탱크6,서울 마포구 성산동 670,4.6점
스타벅스 수색점,서울 은평구 수색동 30-2,4.5점
투썸플레이스 디지털미디어시티역점,서울 마포구 상암동 1622,4.0점
비스트로에버,서울 마포구 상암동 34-101,3.4점
비안빈,서울 마포구 상암동 1607,
카페새싹,서울 마포구 상암동 1530,5.0점
일디오커피 상암점,서울 마포구 상암동 2-80,4.5점
쇼트 서울,서울 마포구 상암동 23-5,4.2점
투썸플레이스 상암MBC점,서울 마포구 상암동 1603,3.6점
구움소리,서울 마포구 상암동 36-41,4.8점
스타벅스 상암DMC점,서울 마포구 상암동 1654,4.3점
매머드커피 상암DDMC점,서울 마포구 상암동 1610,3.7점
스타벅스 상암MBC점,서울 마포구 상암동 1603,4.1점
보헤미안 박이추 커피공장 상암점,서울 마포구 상암동 1603,4.2점
코테슬로,서울 마포구 상암동 2-141,5.0점
모카리아,서울 마포구 상암동 11-7,4.6점
카페달토끼,서울 마포구 상암동 34-10,3.7점
할리스 상암DDMC점,서울 마포구 상암동 1610,3.0점
메가MGC커피 수색자이점,서울 은평구 수색동 75,3.5점
미지엄,서울 마포구 상암동 1258,4.5점
스템커피 상암월드컵경기장점,서울 마포구 성산동 421-29,2.0점
카페모임 블루밍,서울 마포구 상암동 36-25,4.5점
팬케이크샵커피,서울 마포구 상암동 2-194,4.4점
세라젬웰카페 상암DMC점,서울 마포구 상암동 34-35,5.0점
공차 상암DMC점,서울 마포구 상암동 1605,
82년생김민경X카페르세,서울 마포구 상암동 1615,3.9점
