name,address,평점
소설원망원,서울 마포구 망원동 376-18,3.5점
로우머,서울 마포구 망원동 57-179,4.0점
딥블루레이크,서울 마포구 망원동 411-12,4.0점
꼬르소산도,서울 마포구 망원동 474-2,4.4점
다다랩,서울 마포구 망원동 376-9,4.4점
도래노트,서울 마포구 망원동 475-2,4.6점
레이브 에스프레소바,서울 마포구 성산동 260-1,4.5점
카페밤비 2호점,서울 마포구 망원동 57-498,4.8점
커피가게동경,서울 마포구 망원동 410-1,3.8점
허니빙스,서울 마포구 망원동 435-44,3.9점
컴포즈커피 마포성산점,서울 마포구 성산동 266-12,2.7점
광합성카페,서울 마포구 망원동 57-36,4.0점
투썸플레이스 마포구청점,서울 마포구 성산동 590-1,2.0점
하이오커피 마포구청점,서울 마포구 성산동 593-7,3.7점
엣모스피어,서울 마포구 망원동 416-2,4.1점
종이꽃 책방,서울 마포구 성산동 277-1,4.5점
카페톤,서울 마포구 성산동 254-18,4.8점
투썸플레이스 마포망원점,서울 마포구 망원동 474-3,3.0점
공차 마포구청역점,서울 마포구 성산동 263-1,2.8점
메가MGC커피 마포구청점,서울 마포구 성산동 592-8,3.7점
먼스스컬프쳐,서울 마포구 성산동 277-16,4.6점
카페 고잉홈,서울 마포구 망원동 468-17,4.6점
트랙26,서울 마포구 망원동 466-1,4.8점
올웨이즈어거스트,서울 마포구 망원동 415-53,4.6점
디퓨즈,서울 마포구 망원동 479-53,5.0점
커피앤스쿱,서울 마포구 성산동 593-1,4.6점
도쿄빙수 본점,서울 마포구 망원동 414-56,4.1점
비바살롱,서울 마포구 망원동 400-8,4.2점
키오스크,서울 마포구 망원동 57-194,4.2점
카펫,서울 마포구 망원동 57-12,3.7점
이디야커피 망원중앙점,서울 마포구 망원동 477-3,4.6점
Uig,서울 마포구 망원동 420-4,4.5점
보통공원,서울 마포구 망원동 423-15,4.6점
메가MGC커피 마포중앙점,서울 마포구 망원동 474-15,3.9점
EERT 망원,서울 마포구 망원동 415-33,3.3점
이디야커피 마포구청점,서울 마포구 성산동 591-4,3.2점
디거스,서울 마포구 망원동 472-17,4.0점
레귤러서비스,서울 마포구 망원동 424-18,3.8점
라뚜셩트베이커리,서울 마포구 망원동 411-8,3.9점
쓰리고카페,서울 마포구 성산동 82,4.0점
8짱커피,서울 마포구 성산동 592,4.9점
오늘의위로,서울 마포구 망원동 467-18,4.6점
일공이도,서울 마포구 성산동 261-40,5.0점
앤트러사이트 서교점,서울 마포구 서교동 475-22,3.6점
당인리책발전소,서울 마포구 서교동 475-26,3.8점
