name,address,평점
디벙크,서울 마포구 합정동 366-1,4.0점
소설원망원,서울 마포구 망원동 376-18,3.5점
로우머,서울 마포구 망원동 57-179,4.0점
딥블루레이크,서울 마포구 망원동 411-12,4.0점
다다랩,서울 마포구 망원동 376-9,4.4점
꼬르소산도,서울 마포구 망원동 474-2,4.4점
카페밤비 2호점,서울 마포구 망원동 57-498,4.8점
커피가게동경,서울 마포구 망원동 410-1,3.8점
어반플랜트 합정,서울 마포구 합정동 363-28,4.2점
피오니 홍대점,서울 마포구 서교동 395-78,3.8점
광합성카페,서울 마포구 망원동 57-36,4.0점
엣모스피어,서울 마포구 망원동 416-2,4.1점
카페꼼마 합정점,서울 마포구 합정동 441-35,4.0점
비트포비아 홍대던전점,서울 마포구 서교동 396-46,3.3점
하이준게스트하우스&카페,서울 마포구 서교동 478-7,4.8점
밤부베이커리&브루잉,서울 마포구 합정동 386-11,3.5점
스트라다로스터스,서울 마포구 합정동 473,4.7점
카페 하모니,서울 마포구 망원동 386-12,4.4점
카페톤,서울 마포구 성산동 254-18,4.8점
943킹스크로스,서울 마포구 서교동 369-1,4.1점
아틀리에크레타,서울 마포구 망원동 398-35,3.9점
레드플랜트,서울 마포구 서교동 392-15,4.1점
당인리책발전소,서울 마포구 서교동 475-26,3.8점
아이다호,서울 마포구 망원동 338-79,4.4점
커피폴리,서울 마포구 서교동 378-19,3.5점
모멘트커피,서울 마포구 동교동 203-30,3.3점
망원동티라미수 본점(휴업중),서울 마포구 망원동 399-36,3.1점
빌리프커피로스터스,서울 마포구 서교동 384-3,3.5점
공상온도,서울 마포구 동교동 203-11,4.1점
피피커피,서울 마포구 망원동 394-75,4.6점
키오스크,서울 마포구 망원동 57-194,4.2점
키쉬미뇽,서울 마포구 서교동 394-16,3.3점
비바살롱,서울 마포구 망원동 400-8,4.2점
카펫,서울 마포구 망원동 57-12,3.7점
이미커피,서울 마포구 동교동 201-10,4.3점
퀜치커피,서울 마포구 서교동 480-12,4.4점
더블하모니,서울 마포구 서교동 479-6,3.8점
메가MGC커피 망원역점,서울 마포구 망원동 376-7,
마핑파,서울 마포구 망원동 401-34,4.1점
라뚜셩트베이커리,서울 마포구 망원동 411-8,3.9점
스타벅스 망원역점,서울 마포구 서교동 475-13,3.7점
테라로사 홍대서교점,서울 마포구 서교동 460-25,4.4점
모아새,서울 마포구 망원동 395-17,3.6점
앤트러사이트 서교점,서울 마포구 서교동 475-22,3.6점
포비 합정점,서울 마포구 합정동 426-18,3.7점
