name,address,평점
디벙크,서울 마포구 합정동 366-1,4.0점
더귀여워,서울 마포구 서교동 408-27,
이리카페,서울 마포구 상수동 337-4,4.0점
시루케이크,서울 마포구 합정동 355-8,4.5점
미어캣프랜즈,서울 마포구 서교동 358-37,2.4점
산리오러버스클럽,서울 마포구 서교동 364-14,3.9점
재미난조각가 홍대점,서울 마포구 서교동 358-124,3.1점
서울이스케이프룸 홍대2호점,서울 마포구 서교동 410-9,3.4점
어반플랜트 합정,서울 마포구 합정동 363-28,4.2점
제비다방,서울 마포구 상수동 330-12,4.4점
반지하커피,서울 마포구 서교동 411-9,5.0점
땡스네이쳐,서울 마포구 서교동 486,4.1점
비트포비아 홍대던전점,서울 마포구 서교동 396-46,3.3점
홍대반지카페 본점,서울 마포구 서교동 366-13,3.8점
타이프 한강점,서울 마포구 상수동 356-6,3.9점
943킹스크로스,서울 마포구 서교동 369-1,4.1점
비하인드,서울 마포구 서교동 404-26,4.4점
카페공명 홍대점,서울 마포구 서교동 409-15,4.4점
콜린,서울 마포구 서교동 403-13,3.8점
싸인이스케이프 홍대점,서울 마포구 서교동 407-2,4.7점
스노브,서울 마포구 상수동 86-53,3.6점
스탠스커피,서울 마포구 상수동 93-111,4.9점
멜로우,서울 마포구 서교동 368-7,4.0점
퍼셉션 (Perception),서울 마포구 합정동 355-2,4.4점
그레이랩,서울 마포구 합정동 367-9,4.0점
비밀의화원 미드나잇점,서울 마포구 서교동 400-3,4.6점
키쉬미뇽,서울 마포구 서교동 394-16,3.3점
빈브라더스 합정,서울 마포구 합정동 368-3,4.3점
엑스이스케이프 홍대놀이터점,서울 마포구 서교동 358-123,
무대륙,서울 마포구 합정동 357-7,3.8점
튜토리얼,서울 마포구 상수동 310-12,3.7점
허밍벨라,서울 마포구 서교동 395-199,3.4점
카페 지금여기,서울 마포구 서교동 369-42,3.9점
삼다코지,서울 마포구 서교동 403-5,3.6점
룸넘버3 브런치 카페&와인,서울 마포구 상수동 315-5,5.0점
집사의하루 홍대점,서울 마포구 서교동 364-2,4.4점
겨울이머무는집,서울 마포구 서교동 409-18,3.2점
금옥당 서교점,서울 마포구 서교동 402-18,3.9점
스타벅스 홍대삼거리점,서울 마포구 상수동 86-22,4.4점
앤트러사이트 합정점,서울 마포구 합정동 357-6,3.6점
민트하임,서울 마포구 서교동 366-28,3.7점
델문도,서울 마포구 서교동 405-15,3.2점
미스터리룸이스케이프 홍대2호점,서울 마포구 서교동 398-1,4.4점
달콤한거짓말,서울 마포구 상수동 317-11,4.3점
피오니 홍대점,서울 마포구 서교동 395-78,3.8점
