name,address,평점
고양이다락방,서울 서대문구 창천동 33-36,
포티드,서울 서대문구 창천동 5-58,4.1점
에이투지카페,서울 서대문구 창천동 13-14,3.8점
두드림,서울 마포구 노고산동 31-158,4.0점
캐치카페 신촌,서울 서대문구 창천동 18-29,4.2점
알디프,서울 마포구 서교동 329-10,
톤앤매너,서울 마포구 서교동 337-10,
호밀밭,서울 서대문구 창천동 4-77,4.3점
휴,서울 서대문구 창천동 18-5,2.9점
스타벅스 연대점,서울 서대문구 창천동 33-9,3.4점
커피빈 신촌점,서울 서대문구 창천동 18-29,4.3점
비로소커피,서울 마포구 신수동 85-19,3.9점
룸익스케이프 블랙점,서울 서대문구 창천동 18-11,4.6점
버터밀크,서울 마포구 창전동 6-131,4.0점
메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.7점
스타벅스 이대R점,서울 서대문구 대현동 54-4,
미네르바,서울 서대문구 창천동 13-26,4.5점
원신카페인서울,서울 마포구 서교동 325-25,2.6점
카페 나무,서울 서대문구 창천동 18-8,4.4점
커피크레페 본점,서울 서대문구 창천동 30-10,4.3점
그릭데이 이대본점,서울 서대문구 대현동 27-33,4.0점
스타벅스 신촌오거리점,서울 마포구 노고산동 54-1,3.8점
더파이홀,서울 서대문구 창천동 57-61,4.1점
독수리다방,서울 서대문구 창천동 31-4,4.2점
문베어,서울 서대문구 창천동 5-21,4.6점
러빈허플라워&갤러리카페,서울 마포구 동교동 177-12,4.3점
댓커피,서울 마포구 노고산동 19-52,3.8점
라헬의부엌 홍대점,서울 마포구 서교동 333-6,
설빙 신촌점,서울 서대문구 창천동 33-43,3.9점
아메노히커피점,서울 마포구 동교동 184-12,4.2점
이디야커피 신촌역점,서울 서대문구 창천동 30-20,2.4점
파파,서울 서대문구 창천동 62-2,3.9점
미스터힐링 신촌점,서울 서대문구 창천동 20-51,3.8점
클로리스 신촌점,서울 서대문구 창천동 13-35,4.2점
빽다방 신촌역점,서울 서대문구 창천동 18-46,2.5점
투썸플레이스 신촌연세로점,서울 서대문구 창천동 31-27,3.9점
커피랩,서울 마포구 서교동 327-19,4.4점
할리스 신촌점,서울 서대문구 창천동 31-12,2.9점
와플잇업 이대2호점,서울 서대문구 대현동 27-17,4.5점
티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.7점
카페공명 연남점,서울 마포구 동교동 146-8,4.2점
스타벅스 신촌점,서울 서대문구 창천동 18-55,4.1점
스타벅스 신촌명물거리점,서울 서대문구 창천동 13-19,4.4점
스타벅스 신촌역점,서울 서대문구 창천동 72-12,3.8점
가비애,서울 마포구 서교동 337-3,4.1점
