name,address,평점
머스타드,서울 마포구 염리동 9-54,4.9점
스타벅스 이대ECC점,서울 서대문구 대현동 11-1,4.5점
비파티세리 공덕점,서울 마포구 공덕동 105-67,4.2점
공차 아현역점,서울 서대문구 북아현동 1015,4.4점
밀랑스,서울 마포구 대흥동 2-30,4.6점
디저트39 북아현점,서울 서대문구 북아현동 154-5,3.0점
이디야커피 아현역점,서울 서대문구 북아현동 126-22,
후스푸스,서울 마포구 아현동 326-25,4.1점
카페페라 유니크점,서울 서대문구 대현동 33-8,3.2점
북카페파오,서울 서대문구 대현동 54-4,4.5점
메가MGC커피 아현역점,서울 서대문구 북아현동 1015,4.3점
스타벅스 애오개역점,서울 마포구 아현동 738,4.6점
푸링,서울 마포구 아현동 699,4.1점
내사랑,서울 서대문구 대현동 67-80,3.9점
스타벅스 아현역대로점,서울 마포구 아현동 330-5,4.6점
카페에뚜왈 충정로점,서울 서대문구 충정로3가 348-1,
스타벅스 이대R점,서울 서대문구 대현동 54-4,3.7점
더벤티 아현역점,서울 마포구 아현동 327-25,3.5점
베이직커피,서울 서대문구 북아현동 220-10,4.5점
스타벅스 마포경찰서후문점,서울 마포구 아현동 618-19,4.4점
투썸플레이스 마포대흥점,서울 마포구 대흥동 16-66,4.5점
이디야커피 애오개역점,서울 마포구 아현동 733,4.3점
피피커피 라운지,서울 서대문구 북아현동 220-9,4.6점
스타벅스 아현역점,서울 서대문구 북아현동 1015,4.9점
동네커피,서울 마포구 아현동 692,4.3점
컴포즈커피 북아현점,서울 서대문구 북아현동 1015,3.7점
더벤티 마포더클래시점,서울 마포구 아현동 662,
메가MGC커피 아현중앙점,서울 마포구 아현동 347-1,2.7점
스타벅스 이대역점,서울 서대문구 대현동 45-8,4.0점
메가MGC커피 이대점,서울 서대문구 대현동 54-11,3.8점
비터스위트,서울 마포구 아현동 331-21,
티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.7점
투썸플레이스 이대역점,서울 서대문구 대현동 40-4,
고우즈온,서울 마포구 아현동 353-11,3.8점
굴레방커피,서울 마포구 아현동 332-7,4.2점
메가MGC커피 충정로역점,서울 중구 중림동 200,2.3점
낙랑파라 아현점,서울 서대문구 북아현동 156-21,4.0점
스타벅스 충정타워점,서울 서대문구 충정로3가 464,4.3점
카페 피에노,서울 서대문구 북아현동 1000-1,4.0점
카페더퍼즐,서울 마포구 대흥동 2-71,5.0점
구띠커피와인하우스,서울 마포구 아현동 618-7,4.1점
메가MGC커피 애오개점,서울 마포구 아현동 777,2.3점
스타벅스 충정로역점,서울 서대문구 충정로3가 470,4.2점
카페문,서울 서대문구 대현동 53-29,3.7점
카페침묵,서울 서대문구 북아현동 156-14,4.3점
