name,address,평점
카페겟앤쇼 공덕점,서울 마포구 도화동 572,4.8점
24시무인카페메일빈24 공덕점,서울 마포구 공덕동 113-21,3.0점
삼정카페,서울 용산구 청파동3가 132-48,4.3점
더컴포트커피,서울 마포구 공덕동 115-4,4.1점
비파티세리 공덕점,서울 마포구 공덕동 105-67,4.2점
디저트39 북아현점,서울 서대문구 북아현동 154-5,3.0점
투썸플레이스 공덕풍림빌딩점,서울 마포구 공덕동 404,3.9점
영앤도터스,서울 마포구 공덕동 475,3.9점
아이엠베이글 공덕점,서울 마포구 공덕동 476,4.4점
스타벅스 애오개역점,서울 마포구 아현동 738,4.6점
만리커피,서울 마포구 공덕동 119-41,4.4점
푸링,서울 마포구 아현동 699,4.1점
스타벅스 아현역대로점,서울 마포구 아현동 330-5,4.6점
스타벅스 공덕오거리점,서울 마포구 도화동 22,3.4점
이디야커피 공덕점,서울 마포구 공덕동 249-25,4.7점
스타벅스 이대R점,서울 서대문구 대현동 54-4,3.7점
쿠도스커피로스터즈,서울 마포구 공덕동 105-67,3.9점
스트레토,서울 마포구 공덕동 242-44,4.3점
스튜디오123,서울 마포구 아현동 424-23,4.5점
스타벅스 마포경찰서후문점,서울 마포구 아현동 618-19,4.4점
스타벅스 마포염리점,서울 마포구 염리동 168-9,4.0점
이디야커피 애오개역점,서울 마포구 아현동 733,4.3점
스타벅스 아현역점,서울 서대문구 북아현동 1015,4.9점
빽다방 마포경찰서점,서울 마포구 아현동 618-8,4.8점
투썸플레이스 공덕해링턴스퀘어점,서울 마포구 도화동 25-13,2.4점
후엘고,서울 마포구 염리동 128-8,4.4점
메가MGC커피 아현중앙점,서울 마포구 아현동 347-1,2.7점
요거트아이스크림의정석 공덕점,서울 마포구 공덕동 462,4.8점
몬떼비 서울,서울 마포구 공덕동 373-16,4.2점
메가MGC커피 서울만리점,서울 중구 만리동2가 273,3.5점
애오개123,서울 마포구 아현동 424-23,2.4점
메가MGC커피 서울공덕초교점,서울 마포구 신공덕동 15-15,3.8점
티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.7점
스타벅스 공덕점,서울 마포구 공덕동 254-8,3.8점
코너50,서울 마포구 공덕동 117-5,4.6점
굴레방커피,서울 마포구 아현동 332-7,4.2점
투썸플레이스 마포공덕점,서울 마포구 공덕동 475,1.8점
낙랑파라 아현점,서울 서대문구 북아현동 156-21,4.0점
포멜로빈 공덕점,서울 마포구 공덕동 478,4.1점
카페 피에노,서울 서대문구 북아현동 1000-1,4.0점
구띠커피와인하우스,서울 마포구 아현동 618-7,4.1점
메가MGC커피 애오개점,서울 마포구 아현동 777,2.3점
스테이웰카페,서울 마포구 공덕동 476,4.0점
할리스 공덕점,서울 마포구 공덕동 462,2.8점
그로토,서울 마포구 도화동 184-22,4.0점
