name,address,평점
FC서울팬카페,서울 마포구 성산동 421-2,4.3점
꼬르소산도,서울 마포구 망원동 474-2,4.4점
카페훈훈,서울 마포구 상암동 1523,5.0점
위아더,서울 마포구 성산동 592-2,4.3점
컴포즈커피 마포성산시영점,서울 마포구 성산동 151-6,3.6점
탐스커버리 DMC탐스커버리점,서울 은평구 증산동 223-13,2.9점
어로드커피,서울 마포구 상암동 2-187,4.5점
투썸플레이스 마포구청점,서울 마포구 성산동 590-1,2.0점
하이오커피 마포구청점,서울 마포구 성산동 593-7,3.7점
스타벅스 디지털미디어시티역,서울 마포구 상암동 1623,4.6점
쥬씨 상암월드컵점,서울 마포구 성산동 529-3,2.3점
이디야커피 마포성산시영점,서울 마포구 성산동 150-7,5.0점
이디야커피 상암홈플러스점,서울 마포구 성산동 515,2.8점
메가MGC커피 마포구청점,서울 마포구 성산동 592-8,3.7점
젤라또로플 월드컵점,서울 마포구 성산동 515,
먼스스컬프쳐,서울 마포구 성산동 277-16,4.6점
벤치앤라커,서울 마포구 성산동 515,1.0점
"here,coffee",서울 마포구 상암동 1618,5.0점
카페 고잉홈,서울 마포구 망원동 468-17,4.6점
마름모커피,서울 마포구 상암동 1514,4.1점
20000dol커피,서울 마포구 중동 81-17,4.3점
카페모임 1호점,서울 마포구 상암동 11-5,3.6점
카페탱크6,서울 마포구 성산동 670,4.6점
투썸플레이스 디지털미디어시티역점,서울 마포구 상암동 1622,4.0점
비스트로에버,서울 마포구 상암동 34-101,3.4점
매머드익스프레스 마포구청점,서울 마포구 성산동 590-5,3.8점
셀렉토커피 마포구청역점,서울 마포구 성산동 590-4,2.6점
그릭팜 디엠씨,서울 마포구 중동 82-10,5.0점
디퓨즈,서울 마포구 망원동 479-53,5.0점
커피앤스쿱,서울 마포구 성산동 593-1,4.6점
쇼트 서울,서울 마포구 상암동 23-5,4.2점
구움소리,서울 마포구 상암동 36-41,4.8점
스타벅스 상암DMC점,서울 마포구 상암동 1654,4.3점
솔리드커피,서울 마포구 성산동 590-2,4.6점
이디야커피 마포구청점,서울 마포구 성산동 591-4,3.2점
아짙풍크트 서울점,서울 마포구 중동 64-1,4.6점
모카리아,서울 마포구 상암동 11-7,4.6점
우드브루 카페,서울 마포구 성산동 200-6,3.8점
스템커피 상암월드컵경기장점,서울 마포구 성산동 421-29,2.0점
미지엄,서울 마포구 상암동 1258,4.5점
8짱커피,서울 마포구 성산동 592,4.9점
오늘의위로,서울 마포구 망원동 467-18,4.6점
팬케이크샵커피,서울 마포구 상암동 2-194,4.4점
세라젬웰카페 상암DMC점,서울 마포구 상암동 34-35,5.0점
82년생김민경X카페르세,서울 마포구 상암동 1615,3.9점
