name,address,평점
디벙크,서울 마포구 합정동 366-1,4.0점
카페보니,서울 마포구 합정동 363-29,3.6점
더귀여워,서울 마포구 서교동 408-27,
시루케이크,서울 마포구 합정동 355-8,4.5점
미어캣프랜즈,서울 마포구 서교동 358-37,2.4점
산리오러버스클럽,서울 마포구 서교동 364-14,3.9점
서울이스케이프룸 홍대2호점,서울 마포구 서교동 410-9,3.4점
어반플랜트 합정,서울 마포구 합정동 363-28,4.2점
피오니 홍대점,서울 마포구 서교동 395-78,3.8점
제비다방,서울 마포구 상수동 330-12,4.4점
땡스네이쳐,서울 마포구 서교동 486,4.1점
스타벅스 합정점,서울 마포구 합정동 472,3.6점
비트포비아 홍대던전점,서울 마포구 서교동 396-46,3.3점
밤부베이커리&브루잉,서울 마포구 합정동 386-11,3.5점
스트라다로스터스,서울 마포구 합정동 473,4.7점
943킹스크로스,서울 마포구 서교동 369-1,4.1점
비하인드,서울 마포구 서교동 404-26,4.4점
카페공명 홍대점,서울 마포구 서교동 409-15,4.4점
콜린,서울 마포구 서교동 403-13,3.8점
스탠스커피,서울 마포구 상수동 93-111,4.9점
레드플랜트,서울 마포구 서교동 392-15,4.1점
라뽀즈,서울 마포구 합정동 412-2,4.1점
당인리책발전소,서울 마포구 서교동 475-26,3.8점
커피폴리,서울 마포구 서교동 378-19,3.5점
할리스 합정역점,서울 마포구 합정동 374-1,2.5점
저스티나,서울 마포구 합정동 379-4,4.0점
새검정,서울 마포구 합정동 366-3,3.6점
멜로우,서울 마포구 서교동 368-7,4.0점
퍼셉션 (Perception),서울 마포구 합정동 355-2,4.4점
빌리프커피로스터스,서울 마포구 서교동 384-3,3.5점
스타벅스 합정메세나몰점,서울 마포구 서교동 490,4.2점
그레이랩,서울 마포구 합정동 367-9,4.0점
투썸플레이스 합정역점,서울 마포구 합정동 414-3,2.2점
비밀의화원 미드나잇점,서울 마포구 서교동 400-3,4.6점
키쉬미뇽,서울 마포구 서교동 394-16,3.3점
빈브라더스 합정,서울 마포구 합정동 368-3,4.3점
무대륙,서울 마포구 합정동 357-7,3.8점
허밍벨라,서울 마포구 서교동 395-199,3.4점
카페 지금여기,서울 마포구 서교동 369-42,3.9점
금옥당 서교점,서울 마포구 서교동 402-18,3.9점
앤트러사이트 합정점,서울 마포구 합정동 357-6,3.6점
민트하임,서울 마포구 서교동 366-28,3.7점
달콤한거짓말,서울 마포구 상수동 317-11,4.3점
앤트러사이트 서교점,서울 마포구 서교동 475-22,3.6점
포비 합정점,서울 마포구 합정동 426-18,3.7점
