name,address,평점
대충유원지,서울 마포구 연남동 570-28,4.1점
골든크레마,서울 마포구 동교동 164-13,2.3점
미어캣프랜즈,서울 마포구 서교동 358-37,2.4점
톤앤매너,서울 마포구 서교동 337-10,
스타벅스 홍대역점,서울 마포구 동교동 159-1,3.1점
재미난조각가 홍대점,서울 마포구 서교동 358-124,3.1점
밀로커피로스터스,서울 마포구 동교동 170-32,4.1점
산리오러버스클럽,서울 마포구 서교동 364-14,3.9점
스타벅스 홍대입구역사거리R점,서울 마포구 서교동 353-5,3.8점
어반플랜트 합정,서울 마포구 합정동 363-28,4.2점
피오니 홍대점,서울 마포구 서교동 395-78,3.8점
땡스네이쳐,서울 마포구 서교동 486,4.1점
샌드커피 논탄토,서울 마포구 동교동 153-14,3.5점
버터밀크,서울 마포구 창전동 6-131,4.0점
작당모의,서울 마포구 연남동 381-15,
943킹스크로스,서울 마포구 서교동 369-1,4.1점
W카페,서울 마포구 동교동 200-18,2.4점
콜린,서울 마포구 서교동 403-13,3.8점
비포블루밍,서울 마포구 동교동 148-9,4.0점
브런치가,서울 마포구 동교동 204-29,3.0점
리얼이스케이프챌린지,서울 마포구 서교동 339-5,2.5점
17도씨,서울 마포구 동교동 154-25,4.1점
1984,서울 마포구 동교동 158-24,3.5점
라헬의부엌 홍대점,서울 마포구 서교동 333-6,
멜로우,서울 마포구 서교동 368-7,4.0점
공상온도,서울 마포구 동교동 203-11,4.1점
가비애,서울 마포구 서교동 337-3,4.1점
토라비,서울 마포구 서교동 347-12,4.2점
엑스이스케이프 홍대놀이터점,서울 마포구 서교동 358-123,
커피리브레 연남점,서울 마포구 연남동 239-34,3.8점
이미커피,서울 마포구 동교동 201-10,4.3점
카페 지금여기,서울 마포구 서교동 369-42,3.9점
메가MGC커피 홍대입구역점,서울 마포구 동교동 164-22,3.2점
앤디스커피,서울 마포구 서교동 330-19,5.0점
카페장쌤,서울 마포구 서교동 333-30,4.2점
집사의하루 홍대점,서울 마포구 서교동 364-2,4.4점
칼디커피,서울 마포구 서교동 330-10,3.6점
설빙 홍대입구역점,서울 마포구 동교동 162-3,2.3점
카페공명 연남점,서울 마포구 동교동 146-8,4.2점
민트하임,서울 마포구 서교동 366-28,3.7점
큐브이스케이프 홍대점,서울 마포구 서교동 355-17,2.6점
모파상,서울 마포구 동교동 153-5,3.3점
모멘트커피,서울 마포구 동교동 203-30,3.3점
딥커피,서울 마포구 동교동 199-2,3.3점
스타벅스 홍대공항철도역점,서울 마포구 동교동 166-1,3.4점
