name,address
이한열기념관,서울 마포구 노고산동 54-38
신한카드 SOL페이 스퀘어,서울 마포구 서교동 490
CJ아지트 광흥창,서울 마포구 신정동 96-29
팟빵홀,서울 마포구 서교동 328-25
메타코미디클럽 홍대,서울 마포구 서교동 361-18
대안공간 루프,서울 마포구 서교동 335-11
홍익대학교 박물관,서울 마포구 상수동 72-1
홍익대학교 현대미술관,서울 마포구 상수동 72-1
클럽프리버드,서울 마포구 서교동 408-16
극동방송 아트홀,서울 마포구 상수동 89-1
공공일클럽,서울 마포구 서교동 360-18
얼라이브홀,서울 마포구 서교동 401-6
윤형빈소극장 홍대점,서울 마포구 서교동 364-31
이너프라운지,서울 마포구 신수동 288-9
KT&G상상마당 라이브홀,서울 마포구 서교동 367-5
띠아트,서울 마포구 서교동 358-121
우주정거장,서울 마포구 서교동 328-13
플렉스라운지,서울 마포구 서교동 372-5
노무현사료관,서울 마포구 신수동 371-16
AOR라이브클럽,서울 마포구 서교동 325-26
마포아트센터 아트홀맥,서울 마포구 대흥동 30-3
긱라이브하우스,서울 마포구 동교동 185-10
산울림소극장,서울 마포구 서교동 327-9
아트한 갤러리,서울 마포구 창전동 6-142
롤링홀,서울 마포구 서교동 402-22
포스트극장,서울 마포구 창전동 5-92
베짱이홀,서울 마포구 상수동 313-3
와우갤러리,서울 마포구 서교동 344-11
구름아래소극장,서울 마포구 서교동 337-11
극동갤러리,서울 마포구 상수동 89-1
복합문화공간 몽향,서울 서대문구 창천동 62-11
4233마음센터,서울 마포구 동교동 204-45
제이엘씨어터,서울 마포구 서교동 358-116
프로타주,서울 마포구 상수동 145-12
KT&G상상마당 홍대,서울 마포구 서교동 367-5
스페이스한강,서울 마포구 창전동 6-133
H스테이지,서울 마포구 서교동 344-12
오아시스 방탈출,서울 마포구 서교동 403-21
서강대학교메리홀 소극장,서울 마포구 신수동 1-1
프리즘홀,서울 마포구 서교동 395-152
스페이스브릭,서울 마포구 서교동 395-15
벨로주 홍대,서울 마포구 서교동 372-6
서강대학교 메리홀 대극장,서울 마포구 신수동 1-1
홍대난타전용극장,서울 마포구 서교동 357-5
예스24 원더로크홀,서울 서대문구 창천동 20-25
