name,address
이한열기념관,서울 마포구 노고산동 54-38
백범김구기념관,서울 용산구 효창동 255
201P,서울 서대문구 창천동 52-56
CJ아지트 광흥창,서울 마포구 신정동 96-29
디앤디,서울 서대문구 창천동 53-83
대안공간 루프,서울 마포구 서교동 335-11
마포아트센터 플레이맥,서울 마포구 대흥동 30-3
공공일클럽,서울 마포구 서교동 360-18
이화여자대학교 삼성홀,서울 서대문구 대현동 11-1
마포문화원,서울 마포구 신공덕동 158
AC'SCENT(악센트),서울 서대문구 창천동 52-23
윤형빈소극장 홍대점,서울 마포구 서교동 364-31
이너프라운지,서울 마포구 신수동 288-9
띠아트,서울 마포구 서교동 358-121
우주정거장,서울 마포구 서교동 328-13
원픽홀,서울 마포구 노고산동 31-39
마포아트센터 스튜디오3,서울 마포구 대흥동 30-3
노무현사료관,서울 마포구 신수동 371-16
서강대학교 박물관,서울 마포구 신수동 1-1
AOR라이브클럽,서울 마포구 서교동 325-26
마포아트센터 아트홀맥,서울 마포구 대흥동 30-3
얘기아트씨어터,서울 마포구 노고산동 12-74
긱라이브하우스,서울 마포구 동교동 185-10
산울림소극장,서울 마포구 서교동 327-9
DMZ문화원,서울 마포구 공덕동 404
아트레온갤러리,서울 서대문구 창천동 20-25
포스트극장,서울 마포구 창전동 5-92
구름아래소극장,서울 마포구 서교동 337-11
금호아트홀연세,서울 서대문구 신촌동 134
이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1
복합문화공간 몽향,서울 서대문구 창천동 62-11
행복한예술재단 행복한홀,서울 마포구 대흥동 32-18
KT&G상상마당 홍대,서울 마포구 서교동 367-5
서강대학교 곤자가홀,서울 마포구 대흥동 22-60
스페이스한강,서울 마포구 창전동 6-133
스페이스간,서울 마포구 염리동 147-2
KP갤러리온,서울 마포구 용강동 43-6
서강대학교메리홀 소극장,서울 마포구 신수동 1-1
DGT아트센터,서울 마포구 염리동 172-15
한예진아트홀,서울 서대문구 대현동 67-11
서강대학교 메리홀 대극장,서울 마포구 신수동 1-1
마포아트센터 갤러리맥,서울 마포구 대흥동 30-3
극장PLOT,서울 서대문구 창천동 13-21
이화여자대학교 대강당,서울 서대문구 대현동 11-1
예스24 원더로크홀,서울 서대문구 창천동 20-25
