name,address
챕터투,서울 마포구 연남동 566-55
풋볼팬타지움,서울 마포구 성산동 516
서울에너지드림센터,서울 마포구 상암동 1535-3
신한카드 SOL페이 스퀘어,서울 마포구 서교동 490
컬렉션 컴플릿,서울 마포구 서교동 468-22
라이브앤라우드,서울 마포구 동교동 200-31
성미산마을극장,서울 마포구 성산동 249-10
라디오가가,서울 마포구 서교동 384-12
연남스페이스,서울 마포구 연남동 504-12
서울월드컵경기장 야외공연장,서울 마포구 성산동 513-7
사월갤러리 홍대점,서울 마포구 성산동 210-1
WWWSPACE,서울 마포구 망원동 404-32
플렉스라운지,서울 마포구 서교동 372-5
가온스테이지,서울 마포구 서교동 377-3
합정지구,서울 마포구 서교동 444-9
아트스페이스 합정,서울 마포구 합정동 394-7
다리소극장,서울 마포구 동교동 158-2
망원나들목 래빗뮤지엄,서울 마포구 망원동 205-5
드림홀,서울 마포구 서교동 394-44
더블유더블유더블유스페이스2,서울 마포구 망원동 472-12
벨로주 망원,서울 마포구 망원동 422-27
망원동수장고 소통,서울 마포구 망원동 432-3
스페이스소,서울 마포구 서교동 458-18
논스케일드갤러리&스튜디오,서울 마포구 합정동 427-4
성산아트컬처,서울 마포구 성산동 114-7
문화비축기지 공연장,서울 마포구 성산동 670
건담이지키는작업실,서울 마포구 서교동 352-19
성수미술관 연남점,서울 마포구 동교동 148-9
G스페이스홀,서울 마포구 합정동 393-18
전시장,서울 마포구 연남동 487-342
4233마음센터,서울 마포구 동교동 204-45
인사갤러리,서울 마포구 서교동 490
어거스트 엘리오,서울 마포구 망원동 409-41
제일라아트홀,서울 마포구 상암동 30-2
프리즘홀,서울 마포구 서교동 395-152
스페이스브릭,서울 마포구 서교동 395-15
라움트,서울 마포구 서교동 467-2
DMC홍보관,서울 마포구 상암동 1612
벨로주 홍대,서울 마포구 서교동 372-6
이행성극장,서울 마포구 망원동 57-369
홍대앞,서울 마포구 서교동 395-13
홍대난타전용극장,서울 마포구 서교동 357-5
롤러코스터,서울 마포구 서교동 446-60
전쟁과여성인권박물관,서울 마포구 성산동 39-13
취미가,서울 마포구 성산동 240-31
