name,address
신한카드 SOL페이 스퀘어,서울 마포구 서교동 490
컬렉션 컴플릿,서울 마포구 서교동 468-22
메타코미디클럽 홍대,서울 마포구 서교동 361-18
라이브앤라우드,서울 마포구 동교동 200-31
성미산마을극장,서울 마포구 성산동 249-10
공공일클럽,서울 마포구 서교동 360-18
서교스퀘어,서울 마포구 서교동 494
얼라이브홀,서울 마포구 서교동 401-6
라디오가가,서울 마포구 서교동 384-12
연남스페이스,서울 마포구 연남동 504-12
윤형빈소극장 홍대점,서울 마포구 서교동 364-31
사월갤러리 홍대점,서울 마포구 성산동 210-1
KT&G상상마당 라이브홀,서울 마포구 서교동 367-5
WWWSPACE,서울 마포구 망원동 404-32
플렉스라운지,서울 마포구 서교동 372-5
띠아트,서울 마포구 서교동 358-121
가온스테이지,서울 마포구 서교동 377-3
서울생활문화센터 서교스퀘어,서울 마포구 서교동 494
합정지구,서울 마포구 서교동 444-9
아트스페이스 합정,서울 마포구 합정동 394-7
다리소극장,서울 마포구 동교동 158-2
드림홀,서울 마포구 서교동 394-44
벨로주 망원,서울 마포구 망원동 422-27
롤링홀,서울 마포구 서교동 402-22
스페이스소,서울 마포구 서교동 458-18
논스케일드갤러리&스튜디오,서울 마포구 합정동 427-4
건담이지키는작업실,서울 마포구 서교동 352-19
베짱이홀,서울 마포구 상수동 313-3
구름아래소극장,서울 마포구 서교동 337-11
G스페이스홀,서울 마포구 합정동 393-18
4233마음센터,서울 마포구 동교동 204-45
인사갤러리,서울 마포구 서교동 490
제이엘씨어터,서울 마포구 서교동 358-116
러브뮤지엄,서울 마포구 서교동 357-1
KT&G상상마당 홍대,서울 마포구 서교동 367-5
H스테이지,서울 마포구 서교동 344-12
오아시스 방탈출,서울 마포구 서교동 403-21
프리즘홀,서울 마포구 서교동 395-152
스페이스브릭,서울 마포구 서교동 395-15
벨로주 홍대,서울 마포구 서교동 372-6
홍대앞,서울 마포구 서교동 395-13
토마토홀,서울 마포구 합정동 379-5
홍대난타전용극장,서울 마포구 서교동 357-5
롤러코스터,서울 마포구 서교동 446-60
전쟁과여성인권박물관,서울 마포구 성산동 39-13
