name,address
이한열기념관,서울 마포구 노고산동 54-38
201P,서울 서대문구 창천동 52-56
연세대학교 노천극장,서울 서대문구 신촌동 134
팟빵홀,서울 마포구 서교동 328-25
대안공간 루프,서울 마포구 서교동 335-11
신촌아리수스트로 공연장,서울 서대문구 창천동 31-119
롤링스톤즈,서울 마포구 동교동 185-1
이화여자대학교 삼성홀,서울 서대문구 대현동 11-1
AC'SCENT(악센트),서울 서대문구 창천동 52-23
윤형빈소극장 홍대점,서울 마포구 서교동 364-31
띠아트,서울 마포구 서교동 358-121
우주정거장,서울 마포구 서교동 328-13
원픽홀,서울 마포구 노고산동 31-39
AOR라이브클럽,서울 마포구 서교동 325-26
마포아트센터 아트홀맥,서울 마포구 대흥동 30-3
소이아트홀,서울 서대문구 창천동 57-41
긱라이브하우스,서울 마포구 동교동 185-10
산울림소극장,서울 마포구 서교동 327-9
스튜디오리움,서울 서대문구 대신동 85
연세대학교 박물관,서울 서대문구 신촌동 134
네이처랩스 AK플라자 홍대,서울 마포구 동교동 190-1
아트레온갤러리,서울 서대문구 창천동 20-25
포스트극장,서울 마포구 창전동 5-92
금호아트홀연세,서울 서대문구 신촌동 134
구름아래소극장,서울 마포구 서교동 337-11
성수미술관 연남점,서울 마포구 동교동 148-9
이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1
복합문화공간 몽향,서울 서대문구 창천동 62-11
뉴스뮤지엄 연희점,서울 서대문구 연희동 433-6
4233마음센터,서울 마포구 동교동 204-45
이화여자대학교 대강당,서울 서대문구 대현동 11-1
KT&G상상마당 홍대,서울 마포구 서교동 367-5
스페이스한강,서울 마포구 창전동 6-133
서강대학교 곤자가홀,서울 마포구 대흥동 22-60
H스테이지,서울 마포구 서교동 344-12
서강대학교메리홀 소극장,서울 마포구 신수동 1-1
연희예술극장,서울 서대문구 연희동 193-10
신촌극장,서울 서대문구 창천동 52-101
서강대학교 메리홀 대극장,서울 마포구 신수동 1-1
연세대학교 대강당,서울 서대문구 신촌동 134
자미갤러리,서울 서대문구 대현동 110-4
극장PLOT,서울 서대문구 창천동 13-21
디앤디,서울 서대문구 창천동 53-83
예스24 원더로크홀,서울 서대문구 창천동 20-25
윤동주기념관,서울 서대문구 신촌동 134
