name,address
서울마포음악창작소,서울 마포구 아현동 610-1
백범김구기념관,서울 용산구 효창동 255
서울유관순기념관,서울 중구 순화동 1-1
연세대학교 노천극장,서울 서대문구 신촌동 134
페인터즈 NH아트홀 전용관,서울 중구 충정로1가 85
국립현대미술관 덕수궁,서울 중구 정동 5-1
서대문형무소역사관,서울 서대문구 현저동 101
아트스페이스 라프,서울 서대문구 북아현동 177-1
이화여자대학교 삼성홀,서울 서대문구 대현동 11-1
추계예술대학교 콘서트홀,서울 서대문구 북아현동 190-1
문화역서울284,서울 중구 봉래동2가 122-28
그라운드시소 센트럴,서울 중구 남대문로5가 831
가톨릭 성음악아카데미 최양업홀,서울 중구 중림동 149-83
히든플레이스,서울 서대문구 대현동 53-10
경향아트힐,서울 중구 정동 22
이화여자대학교 김영의홀,서울 서대문구 대현동 11-1
농업박물관,서울 중구 충정로1가 75-1
서울시립미술관 서소문본관,서울 중구 서소문동 37
이화아트센터,서울 서대문구 대현동 11-1
구세군아트홀,서울 서대문구 충정로3가 476
손기정기념관,서울 중구 만리동2가 6-1
마포아트센터 아트홀맥,서울 마포구 대흥동 30-3
경찰박물관,서울 종로구 행촌동 211-1
스튜디오리움,서울 서대문구 대신동 85
상상헌,서울 서대문구 북아현동 3-134
서소문순교자기념관,서울 중구 중림동 149-2
금호아트홀연세,서울 서대문구 신촌동 134
농협중앙회 쌀박물관,서울 중구 충정로1가 81-3
서울역사박물관,서울 종로구 신문로2가 2-1
이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1
모두예술극장,서울 서대문구 충정로3가 476
도킹서울,서울 중구 봉래동2가 122-11
안팎,서울 서대문구 북아현동 1-609
식민지역사박물관,서울 용산구 청파동2가 42-8
북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2
한예진아트홀,서울 서대문구 대현동 67-11
서소문성지역사박물관,서울 중구 의주로2가 16-4
국립정동극장,서울 중구 정동 8-11
서강대학교 메리홀 대극장,서울 마포구 신수동 1-1
연세대학교 대강당,서울 서대문구 신촌동 134
마포아트센터 갤러리맥,서울 마포구 대흥동 30-3
고촌홀,서울 서대문구 충정로3가 368-2
이화여자대학교 대강당,서울 서대문구 대현동 11-1
예스24 원더로크홀,서울 서대문구 창천동 20-25
김옥길기념관,서울 서대문구 대신동 92
