name,address
서울마포음악창작소,서울 마포구 아현동 610-1
백범김구기념관,서울 용산구 효창동 255
김세중미술관,서울 용산구 효창동 5-390
마포아트센터 플레이맥,서울 마포구 대흥동 30-3
아트스페이스 라프,서울 서대문구 북아현동 177-1
이화여자대학교 삼성홀,서울 서대문구 대현동 11-1
추계예술대학교 콘서트홀,서울 서대문구 북아현동 190-1
문화역서울284,서울 중구 봉래동2가 122-28
마포문화원,서울 마포구 신공덕동 158
숙명여자대학교 정영양자수박물관,서울 용산구 청파동2가 144
서울일삼,서울 용산구 동자동 43-138
그라운드시소 센트럴,서울 중구 남대문로5가 831
히든플레이스,서울 서대문구 대현동 53-10
가톨릭 성음악아카데미 최양업홀,서울 중구 중림동 149-83
마포아트센터 스튜디오3,서울 마포구 대흥동 30-3
이화아트센터,서울 서대문구 대현동 11-1
구세군아트홀,서울 서대문구 충정로3가 476
손기정기념관,서울 중구 만리동2가 6-1
마포아트센터 아트홀맥,서울 마포구 대흥동 30-3
DMZ문화원,서울 마포구 공덕동 404
스튜디오리움,서울 서대문구 대신동 85
이봉창의사역사울림관,서울 용산구 효창동 286-7
이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1
모두예술극장,서울 서대문구 충정로3가 476
도킹서울,서울 중구 봉래동2가 122-11
숙명여자대학교 박물관,서울 용산구 청파동2가 144
복합문화공간 몽향,서울 서대문구 창천동 62-11
행복한예술재단 행복한홀,서울 마포구 대흥동 32-18
서강대학교 곤자가홀,서울 마포구 대흥동 22-60
스페이스간,서울 마포구 염리동 147-2
식민지역사박물관,서울 용산구 청파동2가 42-8
DGT아트센터,서울 마포구 염리동 172-15
서강대학교메리홀 소극장,서울 마포구 신수동 1-1
북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2
김영기가곡전수관,서울 마포구 공덕동 31-1
한예진아트홀,서울 서대문구 대현동 67-11
서소문성지역사박물관,서울 중구 의주로2가 16-4
동자아트홀,서울 용산구 동자동 45
서강대학교 메리홀 대극장,서울 마포구 신수동 1-1
마포아트센터 갤러리맥,서울 마포구 대흥동 30-3
고촌홀,서울 서대문구 충정로3가 368-2
극장PLOT,서울 서대문구 창천동 13-21
이화여자대학교 대강당,서울 서대문구 대현동 11-1
갤러리 더씨,서울 용산구 효창동 3-117
예스24 원더로크홀,서울 서대문구 창천동 20-25
