name,address
한국미술관,서울 서대문구 대현동 145
이한열기념관,서울 마포구 노고산동 54-38
201P,서울 서대문구 창천동 52-56
서울마포음악창작소,서울 마포구 아현동 610-1
백범김구기념관,서울 용산구 효창동 255
연세대학교 노천극장,서울 서대문구 신촌동 134
디앤디,서울 서대문구 창천동 53-83
신촌아리수스트로 공연장,서울 서대문구 창천동 31-119
마포아트센터 플레이맥,서울 마포구 대흥동 30-3
추계예술대학교 콘서트홀,서울 서대문구 북아현동 190-1
이화여자대학교 삼성홀,서울 서대문구 대현동 11-1
아트스페이스 라프,서울 서대문구 북아현동 177-1
히든플레이스,서울 서대문구 대현동 53-10
AC'SCENT(악센트),서울 서대문구 창천동 52-23
이화아트센터,서울 서대문구 대현동 11-1
원픽홀,서울 마포구 노고산동 31-39
AOR라이브클럽,서울 마포구 서교동 325-26
마포아트센터 아트홀맥,서울 마포구 대흥동 30-3
소이아트홀,서울 서대문구 창천동 57-41
긱라이브하우스,서울 마포구 동교동 185-10
연세대학교 윤주용홀,서울 서대문구 신촌동 134
산울림소극장,서울 마포구 서교동 327-9
스튜디오리움,서울 서대문구 대신동 85
연세대학교 박물관,서울 서대문구 신촌동 134
아트레온갤러리,서울 서대문구 창천동 20-25
포스트극장,서울 마포구 창전동 5-92
금호아트홀연세,서울 서대문구 신촌동 134
구름아래소극장,서울 마포구 서교동 337-11
이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1
복합문화공간 몽향,서울 서대문구 창천동 62-11
모두예술극장,서울 서대문구 충정로3가 476
서강대학교 곤자가홀,서울 마포구 대흥동 22-60
서강대학교메리홀 소극장,서울 마포구 신수동 1-1
윤동주기념관,서울 서대문구 신촌동 134
북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2
한예진아트홀,서울 서대문구 대현동 67-11
신촌극장,서울 서대문구 창천동 52-101
서강대학교 메리홀 대극장,서울 마포구 신수동 1-1
연세대학교 대강당,서울 서대문구 신촌동 134
자미갤러리,서울 서대문구 대현동 110-4
마포아트센터 갤러리맥,서울 마포구 대흥동 30-3
극장PLOT,서울 서대문구 창천동 13-21
이화여자대학교 대강당,서울 서대문구 대현동 11-1
예스24 원더로크홀,서울 서대문구 창천동 20-25
김옥길기념관,서울 서대문구 대신동 92
