name,address
한국천주교순교자박물관,서울 마포구 합정동 96-1
신한카드 SOL페이 스퀘어,서울 마포구 서교동 490
메타코미디클럽 홍대,서울 마포구 서교동 361-18
클럽프리버드,서울 마포구 서교동 408-16
극동방송 아트홀,서울 마포구 상수동 89-1
공공일클럽,서울 마포구 서교동 360-18
서교스퀘어,서울 마포구 서교동 494
얼라이브홀,서울 마포구 서교동 401-6
라디오가가,서울 마포구 서교동 384-12
윤형빈소극장 홍대점,서울 마포구 서교동 364-31
폼텍웍스홀,서울 마포구 서교동 395-174
KT&G상상마당 라이브홀,서울 마포구 서교동 367-5
띠아트,서울 마포구 서교동 358-121
플렉스라운지,서울 마포구 서교동 372-5
가온스테이지,서울 마포구 서교동 377-3
서울생활문화센터 서교스퀘어,서울 마포구 서교동 494
합정지구,서울 마포구 서교동 444-9
아트스페이스 합정,서울 마포구 합정동 394-7
wrm space,서울 마포구 서교동 395-123
KT&G 상상마당 갤러리,서울 마포구 서교동 367-5
양화진홀 전시관,서울 마포구 합정동 142-1
드림홀,서울 마포구 서교동 394-44
롤링홀,서울 마포구 서교동 402-22
논스케일드갤러리&스튜디오,서울 마포구 합정동 427-4
베짱이홀,서울 마포구 상수동 313-3
구름아래소극장,서울 마포구 서교동 337-11
G스페이스홀,서울 마포구 합정동 393-18
한국기독교선교기념관,서울 마포구 합정동 144
4233마음센터,서울 마포구 동교동 204-45
인사갤러리,서울 마포구 서교동 490
제이엘씨어터,서울 마포구 서교동 358-116
프로타주,서울 마포구 상수동 145-12
KT&G상상마당 홍대,서울 마포구 서교동 367-5
러브뮤지엄,서울 마포구 서교동 357-1
H스테이지,서울 마포구 서교동 344-12
오아시스 방탈출,서울 마포구 서교동 403-21
프리즘홀,서울 마포구 서교동 395-152
스페이스브릭,서울 마포구 서교동 395-15
벨로주 홍대,서울 마포구 서교동 372-6
홍대앞,서울 마포구 서교동 395-13
토마토홀,서울 마포구 합정동 379-5
DSM스퀘어아트홀,서울 마포구 서교동 395-181
홍대난타전용극장,서울 마포구 서교동 357-5
롤러코스터,서울 마포구 서교동 446-60
전쟁과여성인권박물관,서울 마포구 성산동 39-13
