name,address
신한카드 SOL페이 스퀘어,서울 마포구 서교동 490
팟빵홀,서울 마포구 서교동 328-25
메타코미디클럽 홍대,서울 마포구 서교동 361-18
대안공간 루프,서울 마포구 서교동 335-11
홍익대학교 현대미술관,서울 마포구 상수동 72-1
라이브앤라우드,서울 마포구 동교동 200-31
클럽프리버드,서울 마포구 서교동 408-16
공공일클럽,서울 마포구 서교동 360-18
얼라이브홀,서울 마포구 서교동 401-6
라디오가가,서울 마포구 서교동 384-12
연남스페이스,서울 마포구 연남동 504-12
윤형빈소극장 홍대점,서울 마포구 서교동 364-31
KT&G상상마당 라이브홀,서울 마포구 서교동 367-5
띠아트,서울 마포구 서교동 358-121
플렉스라운지,서울 마포구 서교동 372-5
우주정거장,서울 마포구 서교동 328-13
가온스테이지,서울 마포구 서교동 377-3
AOR라이브클럽,서울 마포구 서교동 325-26
긱라이브하우스,서울 마포구 동교동 185-10
다리소극장,서울 마포구 동교동 158-2
산울림소극장,서울 마포구 서교동 327-9
드림홀,서울 마포구 서교동 394-44
네이처랩스 AK플라자 홍대,서울 마포구 동교동 190-1
롤링홀,서울 마포구 서교동 402-22
포스트극장,서울 마포구 창전동 5-92
베짱이홀,서울 마포구 상수동 313-3
구름아래소극장,서울 마포구 서교동 337-11
성수미술관 연남점,서울 마포구 동교동 148-9
뉴스뮤지엄 연희점,서울 서대문구 연희동 433-6
복합문화공간 몽향,서울 서대문구 창천동 62-11
4233마음센터,서울 마포구 동교동 204-45
제이엘씨어터,서울 마포구 서교동 358-116
러브뮤지엄,서울 마포구 서교동 357-1
KT&G상상마당 홍대,서울 마포구 서교동 367-5
프로타주,서울 마포구 상수동 145-12
스페이스한강,서울 마포구 창전동 6-133
H스테이지,서울 마포구 서교동 344-12
오아시스 방탈출,서울 마포구 서교동 403-21
프리즘홀,서울 마포구 서교동 395-152
스페이스브릭,서울 마포구 서교동 395-15
벨로주 홍대,서울 마포구 서교동 372-6
홍대앞,서울 마포구 서교동 395-13
홍대난타전용극장,서울 마포구 서교동 357-5
롤러코스터,서울 마포구 서교동 446-60
전쟁과여성인권박물관,서울 마포구 성산동 39-13
