음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
,,,,투썸플레이스 마포대로점,서울 마포구 도화동 573,3.509666,서강대학교 박물관,서울 마포구 신수동 1-1,밤섬,서울 영등포구 여의도동 84-3,가나모텔,모텔,0.7671373,서울 마포구 도화동 202-3
,,,,후엘고,서울 마포구 염리동 128-8,3.5096657,김세중미술관,서울 용산구 효창동 5-390,도화동상점가,서울 마포구 도화동 179-5,피터캣,모텔,0.7671373,서울 마포구 노고산동 106-25
마포나루 아크로점,한식,3.5198789,서울 마포구 도화동 563,할리스 공덕점,서울 마포구 공덕동 462,3.509666,이너프라운지,서울 마포구 신수동 288-9,한강,서울 영등포구 여의도동,미성장모텔,모텔,0.7671373,서울 용산구 원효로2가 83-11
원조조박집 본관,한식,3.5198789,서울 마포구 용강동 40-1,할리스 공덕경의선숲길점,서울 마포구 염리동 164-1,3.509666,김영기가곡전수관,서울 마포구 공덕동 31-1,서울명예도로 남이장군로,서울 용산구 신창동 56-1,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
함루,일식,tensor(3.3101),서울 마포구 공덕동 478,스테이웰카페,서울 마포구 공덕동 476,3.509666,이봉창의사역사울림관,서울 용산구 효창동 286-7,도화동상점가,서울 마포구 도화동 179-5,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
,,,,메가MGC커피 공덕SK리더스뷰점,서울 마포구 공덕동 426-15,3.509666,마포아트센터 플레이맥,서울 마포구 대흥동 30-3,마포갈매기골목,서울 마포구 도화동 169-3,Y호텔,모텔,0.7671373,서울 마포구 노고산동 106-46
,,,,카페겟앤쇼 공덕점,서울 마포구 도화동 572,3.5096657,행복한예술재단 행복한홀,서울 마포구 대흥동 32-18,공덕소담길,서울 마포구 공덕동,가나모텔,모텔,0.7671373,서울 마포구 도화동 202-3
함루,일식,tensor(3.3101),서울 마포구 공덕동 478,비로소커피,서울 마포구 신수동 85-19,3.509666,마포아트센터 스튜디오3,서울 마포구 대흥동 30-3,열정도,서울 용산구 원효로1가 44-11,글래드 마포,호텔,3.5025501,서울 마포구 도화동 25-13
몽중헌 공덕점,중식,3.404685,서울 마포구 도화동 25-13,후엘고,서울 마포구 염리동 128-8,3.5096657,식민지역사박물관,서울 용산구 청파동2가 42-8,노고산,서울 마포구 대흥동 산 1-30,미성장모텔,모텔,0.7671373,서울 용산구 원효로2가 83-11
몽중헌 공덕점,중식,3.404685,서울 마포구 도화동 25-13,메가MGC커피 서울공덕초교점,서울 마포구 신공덕동 15-15,3.509666,김세중미술관,서울 용산구 효창동 5-390,용마루길,서울 용산구 용문동 36-17,글래드 마포,호텔,3.5025501,서울 마포구 도화동 25-13
,,,,메가MGC커피 서울공덕초교점,서울 마포구 신공덕동 15-15,3.509666,꽃술,서울 용산구 원효로1가 26-18,마포음식문화거리,서울 마포구 용강동 45-15,글래드 마포,호텔,3.5025501,서울 마포구 도화동 25-13
복성각 마포본점,중식,3.404685,서울 마포구 도화동 173,스타벅스 마포이마트점,서울 마포구 신공덕동 173,3.509666,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,마포전골목,서울 마포구 공덕동,서울큐브이화,게스트하우스,tensor(1.4695),서울 마포구 염리동 9-124
