음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
신촌서서갈비,한식,3.5373106,서울 마포구 노고산동 107-29,커피랩,서울 마포구 서교동 327-19,3.5430584,프로타주,서울 마포구 상수동 145-12,와우산,서울 마포구 창전동 3-243,L7 홍대,호텔,3.5165257,서울 마포구 동교동 160-5
비스트로사랑방,양식,3.2089143,서울 마포구 서교동 408-25,스노브,서울 마포구 상수동 86-53,3.5430584,프리즘홀,서울 마포구 서교동 395-152,한강공원 해넘이전망대,서울 영등포구 여의도동 84-6,준게스트하우스,게스트하우스,1.5448028,서울 마포구 서교동 335-36
마포손칼국수,한식,3.5373106,서울 마포구 구수동 56-6,반지하커피,서울 마포구 서교동 411-9,3.5430584,극동갤러리,서울 마포구 상수동 89-1,삼거리꽃길,서울 서대문구 대현동,준게스트하우스,게스트하우스,1.5448028,서울 마포구 서교동 335-36
괴르츠,양식,3.2089143,서울 마포구 상수동 304-1,빈브라더스 커피하우스 서울,서울 마포구 상수동 354-12,3.5430584,띠아트,서울 마포구 서교동 358-121,공덕소담길,서울 마포구 공덕동,와우힐즈게스트하우스,게스트하우스,1.5448028,서울 마포구 창전동 6-86
수저가,중식,3.4402337,서울 마포구 신수동 89-10,피오니 홍대점,서울 마포구 서교동 395-78,3.5430584,H스테이지,서울 마포구 서교동 344-12,마포음식문화거리,서울 마포구 용강동 45-15,호텔S,모텔,0.7859234,서울 마포구 노고산동 109-154
당인동국수공장,한식,3.5373106,서울 마포구 당인동 25-9,스타벅스 서강광흥창역점,서울 마포구 창전동 130,3.5430584,홍익대학교 현대미술관,서울 마포구 상수동 72-1,공덕시장족발골목,서울 마포구 공덕동 256-10,해피트리 게스트하우스,게스트하우스,1.5448028,서울 마포구 서교동 335-23
수저가,중식,3.4402337,서울 마포구 신수동 89-10,스타벅스 서강광흥창역점,서울 마포구 창전동 130,3.5430584,프리즘홀,서울 마포구 서교동 395-152,마포전골목,서울 마포구 공덕동,신촌시스터즈호스텔,게스트하우스,1.5448028,서울 마포구 노고산동 106-105
하카타분코,일식,3.3446474,서울 마포구 상수동 93-28,원신카페인서울,서울 마포구 서교동 325-25,3.5430584,CJ아지트 광흥창,서울 마포구 신정동 96-29,여의도생태순환길,서울 영등포구 여의도동 84,피터캣,모텔,0.7859234,서울 마포구 노고산동 106-25
여우골 홍대점,일식,3.3446474,서울 마포구 서교동 363-24,빈브라더스 커피하우스 서울,서울 마포구 상수동 354-12,3.5430584,긱라이브하우스,서울 마포구 동교동 185-10,서울명예도로 노벨길(경의선숲길 연남동방면),서울 마포구 동교동 172-6,신촌시스터즈호스텔,게스트하우스,1.5448028,서울 마포구 노고산동 106-105
프리모바치오바치 홍대본점,양식,3.2089143,서울 마포구 서교동 346-47,스타벅스 홍대삼거리점,서울 마포구 상수동 86-22,3.5430584,프로타주,서울 마포구 상수동 145-12,신촌피아노거리,서울 서대문구 창천동 30-16,피터캣,모텔,0.7859234,서울 마포구 노고산동 106-25
