음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
수저가,중식,3.4675794,서울 마포구 신수동 89-10,클로드커피,서울 마포구 대흥동 244-2,3.5703058,스페이스한강,서울 마포구 창전동 6-133,와우산,서울 마포구 창전동 3-243,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
부영각,중식,3.4675794,서울 마포구 용강동 494-61,스테이웰카페,서울 마포구 공덕동 476,3.5703058,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,마포갈매기골목,서울 마포구 도화동 169-3,호텔가을,모텔,0.7923341,서울 서대문구 창천동 29-41
,,,,누아네,서울 마포구 대흥동 241-1,3.5703058,복합문화공간 몽향,서울 서대문구 창천동 62-11,밤섬,서울 영등포구 여의도동 84-3,위드모텔,모텔,0.7923341,서울 마포구 노고산동 106-91
통큰갈비 마포공덕점,한식,3.551354,서울 마포구 염리동 155-1,메가MGC커피 대흥역점,서울 마포구 대흥동 260,3.5703058,마포아트센터 스튜디오3,서울 마포구 대흥동 30-3,이화52번가,서울 서대문구 대현동 33-9,호텔가을,모텔,0.7923341,서울 서대문구 창천동 29-41
,,,,디어모먼트,서울 마포구 대흥동 246,3.5703058,이화여자대학교 삼성홀,서울 서대문구 대현동 11-1,홍대축제거리,서울 마포구 서교동 365-28,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
,,,,비로소커피,서울 마포구 신수동 85-19,3.5703058,띠아트,서울 마포구 서교동 358-121,연세로,서울 서대문구 창천동,글래드 마포,호텔,3.5273962,서울 마포구 도화동 25-13
부영각,중식,3.4675794,서울 마포구 용강동 494-61,비엔나커피하우스 마포신한디엠점,서울 마포구 마포동 33-1,3.5703058,아트레온갤러리,서울 서대문구 창천동 20-25,홍대벽화거리,서울 마포구 상수동 88-23,애니타임호텔,모텔,0.7923341,서울 서대문구 창천동 29-51
수저가,중식,3.4675794,서울 마포구 신수동 89-10,북티크,서울 마포구 신수동 88-131,3.5703058,아트레온갤러리,서울 서대문구 창천동 20-25,공덕소담길,서울 마포구 공덕동,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
수저가,중식,3.4675794,서울 마포구 신수동 89-10,민트콘디션 커피 바,서울 마포구 대흥동 325-14,3.5703058,산울림소극장,서울 마포구 서교동 327-9,아현동전골목,서울 마포구 아현동,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
개성손만두 마포점,한식,3.551354,서울 마포구 대흥동 337-80,더파이홀,서울 서대문구 창천동 57-61,3.5703058,DGT아트센터,서울 마포구 염리동 172-15,용강상점가,서울 마포구 용강동 40-5,서울가든호텔,호텔,3.5273962,서울 마포구 도화동 169-1
,,,,브루니치,서울 마포구 공덕동 476,3.5703058,서강대학교 곤자가홀,서울 마포구 대흥동 22-60,용마루길,서울 용산구 용문동 36-17,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
,,,,홉커피,서울 마포구 대흥동 253,3.5703058,노무현사료관,서울 마포구 신수동 371-16,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,호텔제이드,모텔,0.7923341,서울 서대문구 창천동 29-49
수저가,중식,3.4675794,서울 마포구 신수동 89-10,메가MGC커피 대흥역점,서울 마포구 대흥동 260,3.5703058,KT&G상상마당 홍대,서울 마포구 서교동 367-5,연세대학교 백양로,서울 서대문구 신촌동 134,피터캣,모텔,0.7923341,서울 마포구 노고산동 106-25
램랜드,한식,3.551354,서울 마포구 용강동 494-32,독수리다방,서울 서대문구 창천동 31-4,3.5703058,극장PLOT,서울 서대문구 창천동 13-21,와우산,서울 마포구 창전동 3-243,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
계고기집,한식,3.551354,서울 마포구 염리동 157-8,메가MGC커피 마포용강점,서울 마포구 염리동 174-18,3.5703058,이한열기념관,서울 마포구 노고산동 54-38,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,위드모텔,모텔,0.7923341,서울 마포구 노고산동 106-91
,,,,클로리스 신촌점,서울 서대문구 창천동 13-35,3.5703058,복합문화공간 몽향,서울 서대문구 창천동 62-11,신촌이대거리,서울 서대문구 창천동,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
,,,,브루니치,서울 마포구 공덕동 476,3.5703058,백범김구기념관,서울 용산구 효창동 255,홍대축제거리,서울 마포구 서교동 365-28,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
봉피양 마포점,한식,3.551354,서울 마포구 용강동 50-3,스타벅스 마포일진빌딩점,서울 마포구 도화동 50-1,3.5703058,얘기아트씨어터,서울 마포구 노고산동 12-74,홍대축제거리,서울 마포구 서교동 365-28,호텔밀하우스,호텔,3.5273962,서울 서대문구 창천동 29-56
