음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
상암구름산추어탕,한식,3.5632477,서울 마포구 상암동 1490,카페모임 블루밍,서울 마포구 상암동 36-25,3.5928483,풋볼팬타지움,서울 마포구 성산동 516,망봉산,서울 마포구 상암동 1763,온천장여관,모텔,0.78881645,서울 은평구 수색동 378-1
동신화로,한식,3.5632477,서울 마포구 상암동 2-74,할리스 상암DDMC점,서울 마포구 상암동 1610,3.5928483,서울시립 난지미술창작스튜디오,서울 마포구 상암동 481-6,박시환숲,서울 마포구 상암동 1535,온천장여관,모텔,0.78881645,서울 은평구 수색동 378-1
몽미,한식,3.5632477,서울 마포구 상암동 2-98,스타벅스 디지털미디어시티역,서울 마포구 상암동 1623,3.592848,시루뫼갤러리,서울 은평구 증산동 187-19,평화의공원 난지연못,서울 마포구 성산동,,,,
일미락 상암점,한식,3.5632477,서울 마포구 상암동 1493,알키미스타,서울 은평구 증산동 177-24,3.592848,포마자동차디자인미술관,경기 고양시 덕양구 향동동 239,마포난지생명길,서울 마포구 상암동,Y호텔,모텔,0.7888164,서울 은평구 응암동 596-1
파스타공작소,양식,3.2414012,서울 마포구 상암동 2-200,카페모임 블루밍,서울 마포구 상암동 36-25,3.5928483,홀로그램전시관,서울 마포구 상암동 1606,증산역갈림길,서울 은평구 증산동 199-9,,,,
,,,,카페모임 블루밍,서울 마포구 상암동 36-25,3.5928483,제일라아트홀,서울 마포구 상암동 30-2,새터산,서울 마포구 성산동 산 37-1,Y호텔,모텔,0.7888164,서울 은평구 응암동 596-1
마이클돈까스 상암본점,일식,3.386794,서울 마포구 상암동 1655,코테슬로,서울 마포구 상암동 2-141,3.592848,YTN뉴스퀘어 YTN공개홀,서울 마포구 상암동 1607,상암산 DMC체험나들길,서울 마포구 상암동,스탠포드호텔 서울,호텔,3.536347,서울 마포구 상암동 1587
파스타공작소,양식,3.2414012,서울 마포구 상암동 2-200,투썸플레이스 상암MBC점,서울 마포구 상암동 1603,3.592848,풋볼팬타지움,서울 마포구 성산동 516,봉산산책로,경기 고양시 덕양구 향동동 239-2,스탠포드호텔 서울,호텔,3.536347,서울 마포구 상암동 1587
푸차이,중식,3.4881988,서울 마포구 상암동 1622,구움소리,서울 마포구 상암동 36-41,3.592848,더블유더블유더블유스페이스2,서울 마포구 망원동 472-12,평화의공원 난지연못,서울 마포구 성산동,스탠포드호텔 서울,호텔,3.536347,서울 마포구 상암동 1587
푸차이,중식,3.4881988,서울 마포구 상암동 1622,"here,coffee",서울 마포구 상암동 1618,3.592848,서울시립 난지미술창작스튜디오,서울 마포구 상암동 481-6,증산역갈림길,서울 은평구 증산동 199-9,,,,
크라이치즈버거 상암점,양식,3.2414012,서울 마포구 상암동 1610,할리스 상암DDMC점,서울 마포구 상암동 1610,3.5928483,문화비축기지 공연장,서울 마포구 성산동 670,망봉산,서울 마포구 상암동 1763,,,,
마이클돈까스 상암본점,일식,3.386794,서울 마포구 상암동 1655,스타벅스 상암DMC점,서울 마포구 상암동 1654,3.592848,풋볼팬타지움,서울 마포구 성산동 516,반홍산,서울 은평구 증산동 산 14,Y호텔,모텔,0.7888164,서울 은평구 응암동 596-1
아리산채,중식,3.4881988,서울 은평구 증산동 223-28,어로드커피,서울 마포구 상암동 2-187,3.592848,DMC홍보관,서울 마포구 상암동 1612,매봉산,서울 마포구 성산동 산 53-7,더그레이호텔,호텔,3.536347,서울 서대문구 남가좌동 290-140
파스타공작소,양식,3.2414012,서울 마포구 상암동 2-200,세라젬웰카페 상암DMC점,서울 마포구 상암동 34-35,3.5928483,중소기업역사관,서울 마포구 상암동 1622,봉산산책로,경기 고양시 덕양구 향동동 239-2,,,,
크라이치즈버거 상암점,양식,3.2414012,서울 마포구 상암동 1610,메가MGC커피 상암DMC점,서울 마포구 상암동 1653,3.592848,시루뫼갤러리,서울 은평구 증산동 187-19,망봉산,서울 마포구 상암동 1763,,,,
크라이치즈버거 상암점,양식,3.2414012,서울 마포구 상암동 1610,투썸플레이스 디지털미디어시티역점,서울 마포구 상암동 1622,3.592848,디지털공연장,서울 마포구 상암동 1651,정용화숲,서울 마포구 상암동 1535,온천장여관,모텔,0.78881645,서울 은평구 수색동 378-1
호우양꼬치 상암점,중식,3.4881988,서울 마포구 상암동 12-16,스타벅스 상암DMC점,서울 마포구 상암동 1654,3.592848,한국영화박물관,서울 마포구 상암동 1602,난지도길,서울 마포구 성산동,,,,
마이클돈까스 상암본점,일식,3.386794,서울 마포구 상암동 1655,미지엄,서울 마포구 상암동 1258,3.5928483,(주)씨스퀘어소프트-시너스,서울 마포구 상암동 1580,반홍산,서울 은평구 증산동 산 14,스탠포드호텔 서울,호텔,3.536347,서울 마포구 상암동 1587
마이클돈까스 상암본점,일식,3.386794,서울 마포구 상암동 1655,폴바셋 MBC몰파크점,서울 마포구 상암동 1603,3.592848,서울에너지드림센터,서울 마포구 상암동 1535-3,월드컵공원나들길,서울 마포구 상암동,,,,
마이클돈까스 상암본점,일식,3.386794,서울 마포구 상암동 1655,탐스커버리 DMC탐스커버리점,서울 은평구 증산동 223-13,3.592848,서울월드컵경기장 야외공연장,서울 마포구 성산동 513-7,서울테마산책길 문화비축기지 산책로,서울 마포구 성산동 661,스탠포드호텔 서울,호텔,3.536347,서울 마포구 상암동 1587
호우양꼬치 상암점,중식,3.4881988,서울 마포구 상암동 12-16,카페모임 1호점,서울 마포구 상암동 11-5,3.592848,포마자동차디자인미술관,경기 고양시 덕양구 향동동 239,서울테마산책길 문화비축기지 산책로,서울 마포구 성산동 661,수정장여관,모텔,0.78881645,서울 은평구 수색동 106-1
푸차이,중식,3.4881988,서울 마포구 상암동 1622,비스트로에버,서울 마포구 상암동 34-101,3.592848,디지털공연장,서울 마포구 상암동 1651,봉산산책로,경기 고양시 덕양구 향동동 239-2,온천장여관,모텔,0.78881645,서울 은평구 수색동 378-1
파스타공작소,양식,3.2414012,서울 마포구 상암동 2-200,탐앤탐스 DMC점,서울 은평구 증산동 223-13,3.592848,더블유더블유더블유스페이스2,서울 마포구 망원동 472-12,난지도길,서울 마포구 성산동,더그레이호텔,호텔,3.536347,서울 서대문구 남가좌동 290-140
파스타공작소,양식,3.2414012,서울 마포구 상암동 2-200,스타벅스 디지털미디어시티역,서울 마포구 상암동 1623,3.592848,(주)씨스퀘어소프트-시너스,서울 마포구 상암동 1580,증산역갈림길,서울 은평구 증산동 199-9,,,,
파스타공작소,양식,3.2414012,서울 마포구 상암동 2-200,메가MGC커피 수색자이점,서울 은평구 수색동 75,3.5928483,중소기업역사관,서울 마포구 상암동 1622,봉산산책로,경기 고양시 덕양구 향동동 239-2,수정장여관,모텔,0.78881645,서울 은평구 수색동 106-1
파스타공작소,양식,3.2414012,서울 마포구 상암동 2-200,메가MGC커피 상암DMC점,서울 마포구 상암동 1653,3.592848,서울에너지드림센터,서울 마포구 상암동 1535-3,월드컵공원나들길,서울 마포구 상암동,수정장여관,모텔,0.78881645,서울 은평구 수색동 106-1
김영섭초밥,일식,3.386794,서울 마포구 상암동 42-20,코테슬로,서울 마포구 상암동 2-141,3.592848,제일라아트홀,서울 마포구 상암동 30-2,봉산산책로,경기 고양시 덕양구 향동동 239-2,수정장여관,모텔,0.78881645,서울 은평구 수색동 106-1
마이클돈까스 상암본점,일식,3.386794,서울 마포구 상암동 1655,구움소리,서울 마포구 상암동 36-41,3.592848,은평문화원,서울 은평구 수색동 417-5,난지도길,서울 마포구 성산동,,,,
,,,,코테슬로,서울 마포구 상암동 2-141,3.592848,(주)씨스퀘어소프트-시너스,서울 마포구 상암동 1580,망봉산,서울 마포구 상암동 1763,,,,
