음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
카페나하,일식,3.397603,서울 마포구 망원동 398-2,로우머,서울 마포구 망원동 57-179,3.6123698,망원나들목 래빗뮤지엄,서울 마포구 망원동 205-5,문빈 숲 2호,서울 마포구 상암동 482-233,연남 마리하우스,게스트하우스,1.7168553,서울 마포구 연남동 370-25
,,,,당인리책발전소,서울 마포구 서교동 475-26,3.6123695,스페이스소,서울 마포구 서교동 458-18,난지도길,서울 마포구 성산동,나인브릭호텔,호텔,3.5449352,서울 마포구 서교동 354-10
,,,,카펫,서울 마포구 망원동 57-12,3.6123698,다리소극장,서울 마포구 동교동 158-2,평화의공원 난지연못,서울 마포구 성산동,파크애비뉴 게스트하우스,게스트하우스,1.7168554,서울 마포구 연남동 257-12
,,,,로우머,서울 마포구 망원동 57-179,3.6123698,다리소극장,서울 마포구 동교동 158-2,서울도보관광코스 한강~절두산코스,서울 마포구 합정동,주니비노호텔,호텔,3.5449352,서울 마포구 합정동 379-4
헤키,일식,3.397603,서울 마포구 망원동 379-25,레이브 에스프레소바,서울 마포구 성산동 260-1,3.6123698,제일라아트홀,서울 마포구 상암동 30-2,세븐틴숲,서울 마포구 상암동 481-34,더휴식 아늑호텔 서울 홍대점,모텔,0.77793276,서울 마포구 서교동 351-29
만나식당,한식,3.5745883,서울 마포구 성산동 260-14,엣모스피어,서울 마포구 망원동 416-2,3.6123698,프리즘홀,서울 마포구 서교동 395-152,평화의공원 난지연못,서울 마포구 성산동,더휴식 아늑호텔 서울 홍대점,모텔,0.77793276,서울 마포구 서교동 351-29
당가원,중식,3.5037732,서울 마포구 성산동 200-38,도래노트,서울 마포구 망원동 475-2,3.6123698,신한카드 SOL페이 스퀘어,서울 마포구 서교동 490,홍대패션거리,서울 마포구 서교동 348-78,애플게스트하우스,게스트하우스,1.7168553,서울 마포구 연남동 568-6
,,,,컴포즈커피 마포성산점,서울 마포구 성산동 266-12,3.6123698,성미산마을극장,서울 마포구 성산동 249-10,난지도길,서울 마포구 성산동,스티치스게스트하우스,게스트하우스,1.7168553,서울 마포구 합정동 391-6
당가원,중식,3.5037732,서울 마포구 성산동 200-38,키오스크,서울 마포구 망원동 57-194,3.6123698,성수미술관 연남점,서울 마포구 동교동 148-9,박시환숲,서울 마포구 상암동 1535,라이즈 오토그래프 컬렉션,호텔,3.5449352,서울 마포구 서교동 354-5
강동원,중식,3.5037732,서울 마포구 망원동 453-43,종이꽃 책방,서울 마포구 성산동 277-1,3.6123698,어거스트 엘리오,서울 마포구 망원동 409-41,서울둘레길 15코스 복원된 자연길,서울 마포구 상암동 482-49,파크애비뉴 게스트하우스,게스트하우스,1.7168554,서울 마포구 연남동 257-12
서노스시,일식,3.397603,서울 마포구 성산동 278-22,키오스크,서울 마포구 망원동 57-194,3.6123698,연남스페이스,서울 마포구 연남동 504-12,망원 초록길,서울 마포구 망원동 218-7,성미모텔,모텔,0.77793276,서울 마포구 성산동 252-4
,,,,쓰리고카페,서울 마포구 성산동 82,3.6123695,논스케일드갤러리&스튜디오,서울 마포구 합정동 427-4,서울도보관광코스 한강~절두산코스,서울 마포구 합정동,스티치스게스트하우스,게스트하우스,1.7168553,서울 마포구 합정동 391-6
,,,,일공이도,서울 마포구 성산동 261-40,3.6123695,제일라아트홀,서울 마포구 상암동 30-2,박시환숲,서울 마포구 상암동 1535,나루게스트하우스,게스트하우스,1.7168553,서울 마포구 서교동 395-149
카페나하,일식,3.397603,서울 마포구 망원동 398-2,컴포즈커피 마포성산점,서울 마포구 성산동 266-12,3.6123698,4233마음센터,서울 마포구 동교동 204-45,서울테마산책길 문화비축기지 산책로,서울 마포구 성산동 661,DW디자인레지던스,게스트하우스,1.7168553,서울 마포구 동교동 203-47
강화통통생고기 성산점,한식,3.5745883,서울 마포구 성산동 263-7,쓰리고카페,서울 마포구 성산동 82,3.6123695,G스페이스홀,서울 마포구 합정동 393-18,매봉산,서울 마포구 성산동 산 53-7,보보호텔,호텔,3.5449352,서울 마포구 서교동 373-1
망원동 즉석우동 전문돈까스 본점,일식,3.397603,서울 마포구 망원동 386-4,EERT 망원,서울 마포구 망원동 415-33,3.6123695,다리소극장,서울 마포구 동교동 158-2,마포난지생명길,서울 마포구 상암동,캐슬모텔,모텔,0.77793276,서울 마포구 합정동 426-28
,,,,메가MGC커피 마포중앙점,서울 마포구 망원동 474-15,3.6123695,서울에너지드림센터,서울 마포구 상암동 1535-3,서울테마산책길 문화비축기지 산책로,서울 마포구 성산동 661,나루게스트하우스,게스트하우스,1.7168553,서울 마포구 서교동 395-149
,,,,당인리책발전소,서울 마포구 서교동 475-26,3.6123695,성산아트컬처,서울 마포구 성산동 114-7,박시환숲,서울 마포구 상암동 1535,파크애비뉴 게스트하우스,게스트하우스,1.7168554,서울 마포구 연남동 257-12
,,,,디거스,서울 마포구 망원동 472-17,3.6123695,라이브앤라우드,서울 마포구 동교동 200-31,서울둘레길 15코스 복원된 자연길,서울 마포구 상암동 482-49,써클호텔 합정점,호텔,3.5449352,서울 마포구 합정동 382-17
,,,,카페밤비 2호점,서울 마포구 망원동 57-498,3.6123698,챕터투,서울 마포구 연남동 566-55,홍대패션거리,서울 마포구 서교동 348-78,라이즈 오토그래프 컬렉션,호텔,3.5449352,서울 마포구 서교동 354-5
,,,,소설원망원,서울 마포구 망원동 376-18,3.6123698,성수미술관 연남점,서울 마포구 동교동 148-9,홍대패션거리,서울 마포구 서교동 348-78,파크애비뉴 게스트하우스,게스트하우스,1.7168554,서울 마포구 연남동 257-12
,,,,카페톤,서울 마포구 성산동 254-18,3.6123698,이행성극장,서울 마포구 망원동 57-369,망리단길,서울 마포구 망원동,드림하우스게스트하우스,게스트하우스,1.7168553,서울 마포구 서교동 465-11
초한초마,중식,3.5037732,서울 마포구 망원동 471-27,레이브 에스프레소바,서울 마포구 성산동 260-1,3.6123698,풋볼팬타지움,서울 마포구 성산동 516,서울둘레길 15코스 복원된 자연길,서울 마포구 상암동 482-49,스티치스게스트하우스,게스트하우스,1.7168553,서울 마포구 합정동 391-6
