음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
SOUPER 마포,양식,3.243434,서울 마포구 도화동 251-1,메가MGC커피 공덕SK리더스뷰점,서울 마포구 공덕동 426-15,3.6304932,마포문화원,서울 마포구 신공덕동 158,한강공원 해넘이전망대,서울 영등포구 여의도동 84-6,피터캣,모텔,0.7619837,서울 마포구 노고산동 106-25
SOUPER 마포,양식,3.243434,서울 마포구 도화동 251-1,비엔나커피하우스 마포신한디엠점,서울 마포구 마포동 33-1,3.6304932,이봉창의사역사울림관,서울 용산구 효창동 286-7,공덕시장족발골목,서울 마포구 공덕동 256-10,호텔 나루 서울 엠갤러리,호텔,3.5548587,서울 마포구 마포동 450
일일향 마포점,중식,3.51586,서울 마포구 도화동 179-2,24시셀프카페 도화점,서울 마포구 도화동 82,3.6304932,갤러리 워터마크,서울 용산구 도원동 3-2,한강,서울 영등포구 여의도동,미성장모텔,모텔,0.7619837,서울 용산구 원효로2가 83-11
,,,,24시셀프카페 도화점,서울 마포구 도화동 82,3.6304932,서강대학교 박물관,서울 마포구 신수동 1-1,용마루길,서울 용산구 용문동 36-17,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
,,,,메가MGC커피 마포도화점,서울 마포구 도화동 204-10,3.6304932,노무현사료관,서울 마포구 신수동 371-16,공덕소담길,서울 마포구 공덕동,에버8,호텔,3.5548587,서울 서대문구 대현동 104-5
SOUPER 마포,양식,3.243434,서울 마포구 도화동 251-1,스타벅스 마포염리점,서울 마포구 염리동 168-9,3.6304932,마포아트센터 갤러리맥,서울 마포구 대흥동 30-3,용마루길,서울 용산구 용문동 36-17,Y호텔,모텔,0.7619837,서울 마포구 노고산동 106-46
외백,중식,3.51586,서울 마포구 도화동 343-1,투썸플레이스 마포역점,서울 마포구 도화동 37,3.6304932,CJ아지트 광흥창,서울 마포구 신정동 96-29,소금길,서울 마포구 염리동 9-245,넘버25호텔 신촌점,모텔,0.7619837,서울 마포구 노고산동 106-10
아이오유,양식,3.243434,서울 용산구 청암동 164,도화아파트먼트 마포,서울 마포구 도화동 346-2,3.6304932,스페이스간,서울 마포구 염리동 147-2,마포갈매기골목,서울 마포구 도화동 169-3,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
현래장,중식,3.51586,서울 마포구 마포동 140,컴포즈커피 마포염리초점,서울 마포구 염리동 173-33,3.6304927,숏서킷,서울 용산구 원효로2가 30-4,밤섬,서울 영등포구 여의도동 84-3,피터캣,모텔,0.7619837,서울 마포구 노고산동 106-25
SOUPER 마포,양식,3.243434,서울 마포구 도화동 251-1,할리스 공덕경의선숲길점,서울 마포구 염리동 164-1,3.6304932,대원콘텐츠라이브,서울 용산구 한강로3가 40-999,밤섬,서울 영등포구 여의도동 84-3,브라운스위트호텔 신촌센트럴,호텔,3.5548587,서울 마포구 노고산동 57-26
