음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
,,,,테라로사 홍대서교점,서울 마포구 서교동 460-25,3.64845,WWWSPACE,서울 마포구 망원동 404-32,평화의공원 난지연못,서울 마포구 성산동,더휴식 아늑호텔 서울 홍대점,모텔,0.74276435,서울 마포구 서교동 351-29
,,,,943킹스크로스,서울 마포구 서교동 369-1,3.6484497,프리즘홀,서울 마포구 서교동 395-152,선유도공원 자생습초지,서울 영등포구 양화동 56,이강가,게스트하우스,1.8029903,서울 마포구 성산동 39-14
,,,,디벙크,서울 마포구 합정동 366-1,3.64845,서울생활문화센터 서교스퀘어,서울 마포구 서교동 494,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,드림하우스게스트하우스,게스트하우스,1.8029903,서울 마포구 서교동 465-11
일등식당,한식,3.6021886,서울 마포구 망원동 476-1,망원동티라미수 본점(휴업중),서울 마포구 망원동 399-36,3.6484497,서울생활문화센터 서교스퀘어,서울 마포구 서교동 494,망리단길,서울 마포구 망원동,홍대스타일게스트하우스,게스트하우스,1.8029903,서울 마포구 동교동 203-29
,,,,카펫,서울 마포구 망원동 57-12,3.6484494,논스케일드갤러리&스튜디오,서울 마포구 합정동 427-4,홍대벽화거리,서울 마포구 상수동 88-23,홀리데이인익스프레스 서울홍대,호텔,3.5676155,서울 마포구 동교동 192-45
진진,중식,3.5255842,서울 마포구 서교동 375-35,카페꼼마 합정점,서울 마포구 합정동 441-35,3.6484497,구름아래소극장,서울 마포구 서교동 337-11,평화의공원 난지연못,서울 마포구 성산동,스티치스게스트하우스,게스트하우스,1.8029903,서울 마포구 합정동 391-6
소바식당 망원점,일식,3.4061127,서울 마포구 망원동 378-9,아틀리에크레타,서울 마포구 망원동 398-35,3.6484497,성미산마을극장,서울 마포구 성산동 249-10,홍대클럽거리,서울 마포구 서교동 361-12,DW디자인레지던스,게스트하우스,1.8029903,서울 마포구 동교동 203-47
,,,,비트포비아 홍대던전점,서울 마포구 서교동 396-46,3.6484497,아트스페이스 합정,서울 마포구 합정동 394-7,선유도공원 선유도전망대,서울 영등포구 당산동 1,홀리데이인익스프레스 서울홍대,호텔,3.5676155,서울 마포구 동교동 192-45
,,,,테라로사 홍대서교점,서울 마포구 서교동 460-25,3.64845,전쟁과여성인권박물관,서울 마포구 성산동 39-13,홍대축제거리,서울 마포구 서교동 365-28,아만티호텔서울,호텔,3.5676155,서울 마포구 서교동 447-1
,,,,스트라다로스터스,서울 마포구 합정동 473,3.64845,홍대난타전용극장,서울 마포구 서교동 357-5,빚다도예공방 홍대점,서울 마포구 상수동 329-6,앨비어러스,호텔,3.5676155,서울 마포구 망원동 405-27
,,,,카페꼼마 합정점,서울 마포구 합정동 441-35,3.6484497,롤러코스터,서울 마포구 서교동 446-60,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,애플게스트하우스,게스트하우스,1.8029903,서울 마포구 연남동 568-6
이치젠,일식,3.4061127,서울 마포구 망원동 415-31,스타벅스 망원역점,서울 마포구 서교동 475-13,3.6484494,연남스페이스,서울 마포구 연남동 504-12,합마르뜨,서울 마포구 합정동 404,홀리데이인익스프레스 서울홍대,호텔,3.5676155,서울 마포구 동교동 192-45
옥동식 서교점,한식,3.6021886,서울 마포구 서교동 385-6,카페 하모니,서울 마포구 망원동 386-12,3.6484497,KT&G상상마당 홍대,서울 마포구 서교동 367-5,평화의공원 난지연못,서울 마포구 성산동,하디게스트하우스,게스트하우스,1.8029902,서울 마포구 합정동 411-5
진진,중식,3.5255842,서울 마포구 서교동 375-35,엣모스피어,서울 마포구 망원동 416-2,3.6484497,성미산마을극장,서울 마포구 성산동 249-10,홍대벽화거리,서울 마포구 상수동 88-23,스티치스게스트하우스,게스트하우스,1.8029903,서울 마포구 합정동 391-6
,,,,더블하모니,서울 마포구 서교동 479-6,3.6484494,공공일클럽,서울 마포구 서교동 360-18,평화의공원 난지연못,서울 마포구 성산동,보보호텔,호텔,3.5676155,서울 마포구 서교동 373-1
가원,중식,3.5255842,서울 마포구 망원동 386-2,카페톤,서울 마포구 성산동 254-18,3.6484497,플렉스라운지,서울 마포구 서교동 372-5,빚다도예공방 홍대점,서울 마포구 상수동 329-6,캐슬모텔,모텔,0.74276435,서울 마포구 합정동 426-28
우리바다수산,한식,3.6021886,서울 마포구 성산동 649-5,딥블루레이크,서울 마포구 망원동 411-12,3.6484497,얼라이브홀,서울 마포구 서교동 401-6,선유도공원 온실,서울 영등포구 당산동 1,L7 홍대,호텔,3.5676155,서울 마포구 동교동 160-5
,,,,943킹스크로스,서울 마포구 서교동 369-1,3.6484497,신한카드 SOL페이 스퀘어,서울 마포구 서교동 490,망원 초록길,서울 마포구 망원동 218-7,더휴식 아늑호텔 서울 홍대점,모텔,0.74276435,서울 마포구 서교동 351-29
진진,중식,3.5255842,서울 마포구 서교동 375-35,꼬르소산도,서울 마포구 망원동 474-2,3.6484497,토마토홀,서울 마포구 합정동 379-5,브라이트룸,서울 마포구 망원동 422-4,집게스트하우스,게스트하우스,1.8029903,서울 마포구 합정동 366-37
크레이지카츠,일식,3.4061127,서울 마포구 합정동 391-5,더블하모니,서울 마포구 서교동 479-6,3.6484494,성미산마을극장,서울 마포구 성산동 249-10,평화의공원 난지연못,서울 마포구 성산동,코코아게스트하우스,게스트하우스,1.8029903,서울 마포구 서교동 409-19
바다회사랑 2호점,한식,3.6021886,서울 마포구 서교동 461-25,소설원망원,서울 마포구 망원동 376-18,3.6484497,H스테이지,서울 마포구 서교동 344-12,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,하디게스트하우스,게스트하우스,1.8029902,서울 마포구 합정동 411-5
망원동돼지국밥,한식,3.6021886,서울 마포구 망원동 57-13,스트라다로스터스,서울 마포구 합정동 473,3.64845,벨로주 홍대,서울 마포구 서교동 372-6,홍대걷고싶은거리,서울 마포구 서교동 348-40,롬바드하우스,게스트하우스,1.8029903,서울 마포구 서교동 466-6
크레이지카츠,일식,3.4061127,서울 마포구 합정동 391-5,키오스크,서울 마포구 망원동 57-194,3.6484497,홍대난타전용극장,서울 마포구 서교동 357-5,홍대클럽거리,서울 마포구 서교동 361-12,미성장모텔,모텔,0.74276435,서울 마포구 동교동 154-21
,,,,피오니 홍대점,서울 마포구 서교동 395-78,3.6484497,라디오가가,서울 마포구 서교동 384-12,홍대예술의거리,서울 마포구 서교동,성미모텔,모텔,0.74276435,서울 마포구 성산동 252-4
진진,중식,3.5255842,서울 마포구 서교동 375-35,커피폴리,서울 마포구 서교동 378-19,3.64845,플렉스라운지,서울 마포구 서교동 372-5,망원 초록길,서울 마포구 망원동 218-7,드림하우스게스트하우스,게스트하우스,1.8029903,서울 마포구 서교동 465-11
