음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
,,,,카페 지금여기,서울 마포구 서교동 369-42,3.6668873,메타코미디클럽 홍대,서울 마포구 서교동 361-18,홍대예술의거리 나들길,서울 마포구 창전동,집게스트하우스,게스트하우스,1.8408238,서울 마포구 합정동 366-37
진진,중식,3.533472,서울 마포구 서교동 375-35,허밍벨라,서울 마포구 서교동 395-199,3.6668873,베짱이홀,서울 마포구 상수동 313-3,홍대클럽거리,서울 마포구 서교동 361-12,나루게스트하우스,게스트하우스,1.8408238,서울 마포구 서교동 395-149
라멘트럭 상수본점,일식,3.4054203,서울 마포구 상수동 324-10,카페공명 홍대점,서울 마포구 서교동 409-15,3.6668873,플렉스라운지,서울 마포구 서교동 372-5,홍대축제거리,서울 마포구 서교동 365-28,집게스트하우스,게스트하우스,1.8408238,서울 마포구 합정동 366-37
마녀주방 홍대점,양식,3.2253175,서울 마포구 서교동 358-51,빈브라더스 합정,서울 마포구 합정동 368-3,3.6668873,공공일클럽,서울 마포구 서교동 360-18,한강밤섬 철새조망대,서울 영등포구 여의도동 83-6,,,,
,,,,제비다방,서울 마포구 상수동 330-12,3.6668873,구름아래소극장,서울 마포구 서교동 337-11,샤이니숲,서울 영등포구 여의도동 82-9,,,,
정돈,일식,3.4054203,서울 마포구 서교동 408-26,금옥당 서교점,서울 마포구 서교동 402-18,3.6668873,윤형빈소극장 홍대점,서울 마포구 서교동 364-31,국회의사당 연못,서울 영등포구 여의도동 1,,,,
여우골 홍대점,일식,3.4054203,서울 마포구 서교동 363-24,튜토리얼,서울 마포구 상수동 310-12,3.6668873,홍익대학교 현대미술관,서울 마포구 상수동 72-1,홍대벽화거리,서울 마포구 상수동 88-23,,,,
,,,,재미난조각가 홍대점,서울 마포구 서교동 358-124,3.6668873,닻올림,서울 마포구 상수동 328-14,서울도보관광코스 한강~절두산코스,서울 마포구 합정동,나루게스트하우스,게스트하우스,1.8408238,서울 마포구 서교동 395-149
,,,,싸인이스케이프 홍대점,서울 마포구 서교동 407-2,3.6668873,베짱이홀,서울 마포구 상수동 313-3,여의서로,서울 영등포구 여의도동,라이즈 오토그래프 컬렉션,호텔,3.5842319,서울 마포구 서교동 354-5
마녀주방 홍대점,양식,3.2253175,서울 마포구 서교동 358-51,스탠스커피,서울 마포구 상수동 93-111,3.6668873,극동갤러리,서울 마포구 상수동 89-1,여의도 인증센터,서울 영등포구 여의도동 81-8,나인브릭호텔,호텔,3.5842319,서울 마포구 서교동 354-10
,,,,타이프 한강점,서울 마포구 상수동 356-6,3.6668873,wrm space,서울 마포구 서교동 395-123,홍대벽화거리,서울 마포구 상수동 88-23,나인브릭호텔,호텔,3.5842319,서울 마포구 서교동 354-10
진진,중식,3.533472,서울 마포구 서교동 375-35,키쉬미뇽,서울 마포구 서교동 394-16,3.6668873,메타코미디클럽 홍대,서울 마포구 서교동 361-18,소녀시대숲,서울 영등포구 여의도동 82-9,라이즈 오토그래프 컬렉션,호텔,3.5842319,서울 마포구 서교동 354-5
,,,,땡스네이쳐,서울 마포구 서교동 486,3.6668873,아트한 갤러리,서울 마포구 창전동 6-142,여의서로,서울 영등포구 여의도동,,,,
,,,,비트포비아 홍대던전점,서울 마포구 서교동 396-46,3.6668873,스페이스브릭,서울 마포구 서교동 395-15,성산,서울 마포구 성산동,나인브릭호텔,호텔,3.5842319,서울 마포구 서교동 354-10
카미야,일식,3.4054203,서울 마포구 서교동 358-39,델문도,서울 마포구 서교동 405-15,3.6668873,KT&G상상마당 홍대,서울 마포구 서교동 367-5,홍대걷고싶은거리,서울 마포구 서교동 348-40,보보호텔,호텔,3.5842319,서울 마포구 서교동 373-1
,,,,943킹스크로스,서울 마포구 서교동 369-1,3.6668873,드림홀,서울 마포구 서교동 394-44,소녀시대숲,서울 영등포구 여의도동 82-9,더원게스트하우스,게스트하우스,1.8408238,서울 마포구 서교동 404-8
맛이차이나,중식,3.533472,서울 마포구 상수동 321-1,집사의하루 홍대점,서울 마포구 서교동 364-2,3.6668873,신한카드 SOL페이 스퀘어,서울 마포구 서교동 490,여의도 인증센터,서울 영등포구 여의도동 81-8,와우힐즈게스트하우스,게스트하우스,1.8408238,서울 마포구 창전동 6-86
마녀주방 홍대점,양식,3.2253175,서울 마포구 서교동 358-51,겨울이머무는집,서울 마포구 서교동 409-18,3.6668873,홍익대학교 현대미술관,서울 마포구 상수동 72-1,샤이니숲,서울 영등포구 여의도동 82-9,,,,
비스트로사랑방,양식,3.2253175,서울 마포구 서교동 408-25,싸인이스케이프 홍대점,서울 마포구 서교동 407-2,3.6668873,KT&G상상마당 라이브홀,서울 마포구 서교동 367-5,인피니트숲,서울 영등포구 여의도동,코코아게스트하우스,게스트하우스,1.8408238,서울 마포구 서교동 409-19
맛이차이나,중식,3.533472,서울 마포구 상수동 321-1,비하인드,서울 마포구 서교동 404-26,3.6668873,롤러코스터,서울 마포구 서교동 446-60,인피니트숲,서울 영등포구 여의도동,라이즈 오토그래프 컬렉션,호텔,3.5842319,서울 마포구 서교동 354-5
피자네버슬립스 합정상수점,양식,3.2253175,서울 마포구 서교동 400-13,스탠스커피,서울 마포구 상수동 93-111,3.6668873,오아시스 방탈출,서울 마포구 서교동 403-21,망원 초록길,서울 마포구 망원동 218-7,나인브릭호텔,호텔,3.5842319,서울 마포구 서교동 354-10
짬뽕지존 홍대점,중식,3.533472,서울 마포구 서교동 408-27,델문도,서울 마포구 서교동 405-15,3.6668873,극동방송 아트홀,서울 마포구 상수동 89-1,신촌이대거리,서울 서대문구 창천동,,,,
맛이차이나,중식,3.533472,서울 마포구 상수동 321-1,943킹스크로스,서울 마포구 서교동 369-1,3.6668873,클럽프리버드,서울 마포구 서교동 408-16,연세대학교 백양로,서울 서대문구 신촌동 134,더원게스트하우스,게스트하우스,1.8408238,서울 마포구 서교동 404-8
