음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
기꾸스시,일식,3.4015756,서울 서대문구 창천동 72-23,앤디스커피,서울 마포구 서교동 330-19,3.6858723,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,홍대땡땡거리,서울 마포구 동교동 190-1,호텔 나루 서울 엠갤러리,호텔,3.6051664,서울 마포구 마포동 450
기꾸스시,일식,3.4015756,서울 서대문구 창천동 72-23,메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.6858723,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,신촌이대거리,서울 서대문구 창천동,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
복성각,중식,3.539497,서울 서대문구 창천동 31-8,칼디커피,서울 마포구 서교동 330-10,3.6858723,뮤직쇼웨딩,서울 마포구 서교동 357-4,노고산,서울 마포구 대흥동 산 1-30,호텔루씨르,모텔,0.69906217,서울 서대문구 창천동 29-68
철길왕갈비살,한식,3.6435938,서울 마포구 창전동 4-2,아비아채 서울홍대점,서울 마포구 동교동 177-24,3.6858723,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,마포갈매기골목,서울 마포구 도화동 169-3,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
설레임삼겹살1989,한식,3.6435938,서울 서대문구 창천동 57-40,휴,서울 서대문구 창천동 18-5,3.6858723,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,마포갈매기골목,서울 마포구 도화동 169-3,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
기꾸스시,일식,3.4015756,서울 서대문구 창천동 72-23,써밋컬쳐 신촌점,서울 마포구 노고산동 56-15,3.6858723,복합문화공간 몽향,서울 서대문구 창천동 62-11,신촌대학탐방나들길,서울 서대문구 대현동,위드모텔,모텔,0.69906217,서울 마포구 노고산동 106-91
니즈버거 신촌점,양식,3.209776,서울 마포구 창전동 2-48,카페장쌤,서울 마포구 서교동 333-30,3.6858723,복합문화공간 몽향,서울 서대문구 창천동 62-11,용강상점가,서울 마포구 용강동 40-5,호텔 나루 서울 엠갤러리,호텔,3.6051664,서울 마포구 마포동 450
현명식탁,양식,3.209776,서울 서대문구 창천동 13-2,원신카페인서울,서울 마포구 서교동 325-25,3.6858723,복합문화공간 몽향,서울 서대문구 창천동 62-11,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
여우골 신촌점,일식,3.4015756,서울 서대문구 창천동 62-11,카페장쌤,서울 마포구 서교동 333-30,3.6858723,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,소금길,서울 마포구 염리동 9-245,위드모텔,모텔,0.69906217,서울 마포구 노고산동 106-91
부탄츄 신촌점,일식,3.4015756,서울 서대문구 창천동 62-10,클로리스 신촌점,서울 서대문구 창천동 13-35,3.6858723,서울생활문화센터 서교스퀘어,서울 마포구 서교동 494,여의서로,서울 영등포구 여의도동,호텔밀하우스,호텔,3.6051664,서울 서대문구 창천동 29-56
복성각,중식,3.539497,서울 서대문구 창천동 31-8,문베어,서울 서대문구 창천동 5-21,3.6858723,(주)복합문화공간사이,서울 마포구 서교동 377-20,홍대걷고싶은거리,서울 마포구 서교동 348-40,호텔루씨르,모텔,0.69906217,서울 서대문구 창천동 29-68
,,,,앤디스커피,서울 마포구 서교동 330-19,3.6858723,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,홍대땡땡거리,서울 마포구 동교동 190-1,넘버25호텔 신촌점,모텔,0.69906217,서울 마포구 노고산동 106-10
기꾸스시,일식,3.4015756,서울 서대문구 창천동 72-23,아비아채 서울홍대점,서울 마포구 동교동 177-24,3.6858723,서울생활문화센터 서교스퀘어,서울 마포구 서교동 494,여의서로,서울 영등포구 여의도동,브라운스위트호텔 신촌센트럴,호텔,3.6051664,서울 마포구 노고산동 57-26
부탄츄 신촌점,일식,3.4015756,서울 서대문구 창천동 62-10,앤디스커피,서울 마포구 서교동 330-19,3.6858723,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,성산,서울 마포구 성산동,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
기꾸스시,일식,3.4015756,서울 서대문구 창천동 72-23,아우어베이커리 신촌숲길점,서울 마포구 노고산동 56-74,3.6858723,복합문화공간 몽향,서울 서대문구 창천동 62-11,홍대패션거리,서울 마포구 서교동 348-78,호텔루이,모텔,0.69906217,서울 서대문구 창천동 29-24
거구장,한식,3.6435938,서울 마포구 신수동 63-14,써밋컬쳐 신촌점,서울 마포구 노고산동 56-15,3.6858723,뮤직쇼웨딩,서울 마포구 서교동 357-4,연세대학교 백양로,서울 서대문구 신촌동 134,에버8,호텔,3.6051664,서울 서대문구 대현동 104-5
,,,,써밋컬쳐 신촌점,서울 마포구 노고산동 56-15,3.6858723,서울생활문화센터 서교스퀘어,서울 마포구 서교동 494,삼거리꽃길,서울 서대문구 대현동,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
피자몰 신촌점,양식,3.209776,서울 마포구 노고산동 57-1,땡스네이쳐,서울 마포구 서교동 486,3.6858723,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,홍대예술의거리,서울 마포구 서교동,H에비뉴호텔 신촌이대점,호텔,3.6051664,서울 마포구 노고산동 1-74
