음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
가화만사성,중식,3.5432267,서울 서대문구 창천동 57-8,와플잇업 이대2호점,서울 서대문구 대현동 27-17,3.7050295,자미갤러리,서울 서대문구 대현동 110-4,안산자락길,서울 서대문구 봉원동,호텔S,모텔,0.6758934,서울 마포구 노고산동 109-154
기꾸스시,일식,3.3941836,서울 서대문구 창천동 72-23,휴,서울 서대문구 창천동 18-5,3.7050295,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,공덕소담길,서울 마포구 공덕동,호텔밀하우스,호텔,3.6303859,서울 서대문구 창천동 29-56
완차이,중식,3.5432267,서울 서대문구 창천동 5-35,설빙 신촌점,서울 서대문구 창천동 33-43,3.7050295,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,아현동전골목,서울 마포구 아현동,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
연어초밥,일식,3.3941836,서울 서대문구 대현동 101-10,카페공명 연남점,서울 마포구 동교동 146-8,3.7050295,이화여자대학교 삼성홀,서울 서대문구 대현동 11-1,와우산,서울 마포구 창전동 3-243,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
엠브로돈까스 신촌점,일식,3.3941836,서울 서대문구 창천동 13-16,미스터힐링 신촌점,서울 서대문구 창천동 20-51,3.7050295,4233마음센터,서울 마포구 동교동 204-45,와우산,서울 마포구 창전동 3-243,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
이빠네마그릴,양식,3.1896348,서울 서대문구 창천동 18-11,커피크레페 본점,서울 서대문구 창천동 30-10,3.7050295,H스테이지,서울 마포구 서교동 344-12,신촌피아노거리,서울 서대문구 창천동 30-16,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
타코벨 신촌점,양식,3.1896348,서울 서대문구 창천동 31-28,커피크레페 본점,서울 서대문구 창천동 30-10,3.7050295,연세대학교 박물관,서울 서대문구 신촌동 134,홍대예술의거리,서울 마포구 서교동,신촌월호텔,모텔,0.6758934,서울 서대문구 대현동 104-15
이빠네마그릴,양식,3.1896348,서울 서대문구 창천동 18-11,와플잇업 이대2호점,서울 서대문구 대현동 27-17,3.7050295,이화여자대학교 대강당,서울 서대문구 대현동 11-1,신촌이대거리,서울 서대문구 창천동,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
기꾸스시,일식,3.3941836,서울 서대문구 창천동 72-23,아메노히커피점,서울 마포구 동교동 184-12,3.7050295,연세대학교 노천극장,서울 서대문구 신촌동 134,안산숲나들길,서울 서대문구 연희동,호텔루씨르,모텔,0.6758934,서울 서대문구 창천동 29-68
가화만사성,중식,3.5432267,서울 서대문구 창천동 57-8,클로리스 신촌점,서울 서대문구 창천동 13-35,3.7050295,팟빵홀,서울 마포구 서교동 328-25,염천교수제화거리,서울 중구 의주로2가 61-23,넘버25호텔 신촌점,모텔,0.6758934,서울 마포구 노고산동 106-10
연어초밥,일식,3.3941836,서울 서대문구 대현동 101-10,할리스 신촌점,서울 서대문구 창천동 31-12,3.7050295,연세대학교 노천극장,서울 서대문구 신촌동 134,마포음식문화거리,서울 마포구 용강동 45-15,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
완차이,중식,3.5432267,서울 서대문구 창천동 5-35,카페 나무,서울 서대문구 창천동 18-8,3.7050295,이한열기념관,서울 마포구 노고산동 54-38,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,Y호텔,모텔,0.6758934,서울 마포구 노고산동 106-46
,,,,가비애,서울 마포구 서교동 337-3,3.7050295,4233마음센터,서울 마포구 동교동 204-45,삼거리꽃길,서울 서대문구 대현동,호텔제이드,모텔,0.6758934,서울 서대문구 창천동 29-49
이빠네마그릴,양식,3.1896348,서울 서대문구 창천동 18-11,러빈허플라워&갤러리카페,서울 마포구 동교동 177-12,3.7050295,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,홍대땡땡거리,서울 마포구 동교동 190-1,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
완차이,중식,3.5432267,서울 서대문구 창천동 5-35,호밀밭,서울 서대문구 창천동 4-77,3.7050295,AC'SCENT(악센트),서울 서대문구 창천동 52-23,소금길,서울 마포구 염리동 9-245,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
엠브로돈까스 신촌점,일식,3.3941836,서울 서대문구 창천동 13-16,카페공명 연남점,서울 마포구 동교동 146-8,3.7050295,연세대학교 대강당,서울 서대문구 신촌동 134,안산자락길,서울 서대문구 봉원동,피터캣,모텔,0.6758934,서울 마포구 노고산동 106-25
가화만사성,중식,3.5432267,서울 서대문구 창천동 57-8,가비애,서울 마포구 서교동 337-3,3.7050295,소이아트홀,서울 서대문구 창천동 57-41,한강밤섬 철새조망대,서울 영등포구 여의도동 83-6,테마모텔,모텔,0.6758934,서울 서대문구 창천동 112-15
