음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
연어초밥,일식,3.3826594,서울 서대문구 대현동 101-10,스타벅스 애오개역점,서울 마포구 아현동 738,3.723715,한예진아트홀,서울 서대문구 대현동 67-11,도화동상점가,서울 마포구 도화동 179-5,K그랜드호텔 서울,호텔,3.659534,서울 용산구 동자동 43-59
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,밀랑스,서울 마포구 대흥동 2-30,3.723715,구세군아트홀,서울 서대문구 충정로3가 476,서울도보관광코스 경희궁~서대문,서울 종로구 홍파동,랑호텔,모텔,0.6523689,서울 중구 중림동 128-40
서울부띠끄,양식,3.1644478,서울 중구 만리동1가 62-1,카페침묵,서울 서대문구 북아현동 156-14,3.7237153,서울마포음악창작소,서울 마포구 아현동 610-1,고종의길,서울 중구 정동 10-1,굿타임호텔,모텔,0.6523689,서울 서대문구 대현동 104-41
대가설렁탕,한식,3.7003355,서울 마포구 아현동 331-6,스타벅스 충정로역점,서울 서대문구 충정로3가 470,3.7237153,금호아트홀연세,서울 서대문구 신촌동 134,서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1,랑호텔,모텔,0.6523689,서울 중구 중림동 128-40
은성순대국,한식,3.7003355,서울 마포구 아현동 346-22,동네커피,서울 마포구 아현동 692,3.723715,이화여자대학교 김영의홀,서울 서대문구 대현동 11-1,신촌대학탐방나들길,서울 서대문구 대현동,신라스테이 서대문,호텔,3.659534,서울 서대문구 미근동 333
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,더벤티 아현역점,서울 마포구 아현동 327-25,3.723715,연세대학교 대강당,서울 서대문구 신촌동 134,연세로,서울 서대문구 창천동,신촌월호텔,모텔,0.6523689,서울 서대문구 대현동 104-15
,,,,스타벅스 이대R점,서울 서대문구 대현동 54-4,3.723715,경향아트힐,서울 중구 정동 22,남대문갈치조림골목,서울 중구 남창동 34-155,금강모텔,모텔,0.6523689,서울 용산구 서계동 229-3
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,고우즈온,서울 마포구 아현동 353-11,3.723715,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,공덕시장족발골목,서울 마포구 공덕동 256-10,필스테이 이화부띠끄점,게스트하우스,1.9375342,서울 서대문구 대현동 56-126
호남보신탕,한식,3.7003355,서울 서대문구 북아현동 125-25,더벤티 아현역점,서울 마포구 아현동 327-25,3.723715,연세대학교 노천극장,서울 서대문구 신촌동 134,이대앞사주카페거리,서울 서대문구 대현동,디케이하우스,게스트하우스,1.9375342,서울 서대문구 대현동 90-37
,,,,동네커피,서울 마포구 아현동 692,3.723715,연세대학교 노천극장,서울 서대문구 신촌동 134,이대앞사주카페거리,서울 서대문구 대현동,디케이하우스,게스트하우스,1.9375342,서울 서대문구 대현동 90-37
