음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
밀밭정원,한식,3.733409,서울 마포구 아현동 422,쿠도스커피로스터즈,서울 마포구 공덕동 105-67,3.7411659,히든플레이스,서울 서대문구 대현동 53-10,이화52번가,서울 서대문구 대현동 33-9,프레이저플레이스 센트럴서울,호텔,3.6920824,서울 중구 순화동 214
뚜띠쿠치나 공덕점,양식,3.1337585,서울 마포구 공덕동 249-36,카페겟앤쇼 공덕점,서울 마포구 도화동 572,3.7411659,마포아트센터 플레이맥,서울 마포구 대흥동 30-3,마포전골목,서울 마포구 공덕동,금강모텔,모텔,0.6287633,서울 용산구 서계동 229-3
이요이요스시 공덕1호점,일식,3.3663697,서울 마포구 공덕동 469,스타벅스 마포염리점,서울 마포구 염리동 168-9,3.7411656,갤러리 더씨,서울 용산구 효창동 3-117,노고산,서울 마포구 대흥동 산 1-30,서울큐브이화,게스트하우스,1.9645674,서울 마포구 염리동 9-124
동신참치 공덕점,일식,3.3663697,서울 마포구 공덕동 462,이디야커피 공덕점,서울 마포구 공덕동 249-25,3.7411656,숙명여자대학교 박물관,서울 용산구 청파동2가 144,서울명예도로 남이장군로,서울 용산구 신창동 56-1,필스테이 이화부띠끄점,게스트하우스,1.9645674,서울 서대문구 대현동 56-126
몽중헌 공덕점,중식,3.5411124,서울 마포구 도화동 25-13,스튜디오123,서울 마포구 아현동 424-23,3.7411656,서강대학교 곤자가홀,서울 마포구 대흥동 22-60,서울명예도로 남이장군로,서울 용산구 신창동 56-1,롯데시티호텔 마포,호텔,3.6920824,서울 마포구 공덕동 467
신성각,중식,3.5411124,서울 마포구 신공덕동 2-463,스트레토,서울 마포구 공덕동 242-44,3.7411656,이화여자대학교 삼성홀,서울 서대문구 대현동 11-1,노고산,서울 마포구 대흥동 산 1-30,호텔더디자이너스 서울역점,호텔,3.6920824,서울 용산구 갈월동 69-27
뚜띠쿠치나 공덕점,양식,3.1337585,서울 마포구 공덕동 249-36,영앤도터스,서울 마포구 공덕동 475,3.7411656,행복한예술재단 행복한홀,서울 마포구 대흥동 32-18,용강상점가,서울 마포구 용강동 40-5,서울큐브이화,게스트하우스,1.9645674,서울 마포구 염리동 9-124
뚜띠쿠치나 공덕점,양식,3.1337585,서울 마포구 공덕동 249-36,굴레방커피,서울 마포구 아현동 332-7,3.7411656,마포문화원,서울 마포구 신공덕동 158,이대앞사주카페거리,서울 서대문구 대현동,호텔엘리,모텔,0.6287633,서울 서대문구 대현동 110-35
마포양지설렁탕,한식,3.733409,서울 마포구 도화동 181-39,스타벅스 아현역점,서울 서대문구 북아현동 1015,3.7411656,이봉창의사역사울림관,서울 용산구 효창동 286-7,공덕시장족발골목,서울 마포구 공덕동 256-10,디케이하우스,게스트하우스,1.9645675,서울 서대문구 대현동 90-37
신성각,중식,3.5411124,서울 마포구 신공덕동 2-463,만리커피,서울 마포구 공덕동 119-41,3.7411656,서강대학교 곤자가홀,서울 마포구 대흥동 22-60,도화동상점가,서울 마포구 도화동 179-5,유에이치스위트 더서울,호텔,3.6920824,서울 중구 만리동1가 33-1
