음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
파스타공작소,양식,tensor(3.0972),서울 마포구 상암동 2-200,솔리드커피,서울 마포구 성산동 590-2,3.7565913,류아트센터,서울 서대문구 연희동 446-176,문빈 숲 3호,서울 마포구 상암동 482-220,이강가,게스트하우스,1.9891574,서울 마포구 성산동 39-14
도시의어부 상암점,한식,3.768805,서울 마포구 상암동 35-7,디퓨즈,서울 마포구 망원동 479-53,3.7565908,YTN뉴스퀘어 YTN공개홀,서울 마포구 상암동 1607,윤아숲,서울 마포구 상암동,수정장여관,모텔,0.60531545,서울 은평구 수색동 106-1
,,,,하이오커피 마포구청점,서울 마포구 성산동 593-7,3.7565913,컬렉션 컴플릿,서울 마포구 서교동 468-22,난지도길,서울 마포구 성산동,성산모텔,모텔,0.60531545,서울 마포구 성산동 632-6
,,,,구움소리,서울 마포구 상암동 36-41,3.7565913,더블유더블유더블유스페이스2,서울 마포구 망원동 472-12,서함숲,서울 마포구 상암동 487-108,연남 마리하우스,게스트하우스,1.9891574,서울 마포구 연남동 370-25
옥자회관,일식,3.3447227,서울 마포구 상암동 2-29,카페 고잉홈,서울 마포구 망원동 468-17,3.7565913,이행성극장,서울 마포구 망원동 57-369,윤아숲,서울 마포구 상암동,온천장여관,모텔,0.60531545,서울 은평구 수색동 378-1
파스타공작소,양식,tensor(3.0972),서울 마포구 상암동 2-200,비스트로에버,서울 마포구 상암동 34-101,3.7565913,성산아트컬처,서울 마포구 성산동 114-7,난지도길,서울 마포구 성산동,성산모텔,모텔,0.60531545,서울 마포구 성산동 632-6
김영섭초밥,일식,3.3447227,서울 마포구 상암동 42-20,하이오커피 마포구청점,서울 마포구 성산동 593-7,3.7565913,서울에너지드림센터,서울 마포구 상암동 1535-3,상암산 DMC체험나들길,서울 마포구 상암동,연남 마리하우스,게스트하우스,1.9891574,서울 마포구 연남동 370-25
일등식당,한식,3.768805,서울 마포구 망원동 476-1,20000dol커피,서울 마포구 중동 81-17,3.7565908,취미가,서울 마포구 성산동 240-31,망리단길,서울 마포구 망원동,성미모텔,모텔,0.60531545,서울 마포구 성산동 252-4
파스타공작소,양식,tensor(3.0972),서울 마포구 상암동 2-200,FC서울팬카페,서울 마포구 성산동 421-2,3.7565908,성미산마을극장,서울 마포구 성산동 249-10,임영웅숲,서울 마포구 상암동 482-429,이강가,게스트하우스,1.9891574,서울 마포구 성산동 39-14
파스타공작소,양식,tensor(3.0972),서울 마포구 상암동 2-200,모카리아,서울 마포구 상암동 11-7,3.7565908,망원나들목 래빗뮤지엄,서울 마포구 망원동 205-5,마포난지생명길,서울 마포구 상암동,더그레이호텔,호텔,3.727446,서울 서대문구 남가좌동 290-140
,,,,82년생김민경X카페르세,서울 마포구 상암동 1615,3.7565913,YTN뉴스퀘어 YTN공개홀,서울 마포구 상암동 1607,서울테마산책길 문화비축기지 산책로,서울 마포구 성산동 661,수정장여관,모텔,0.60531545,서울 은평구 수색동 106-1
