음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
완차이,중식,3.5214744,서울 서대문구 창천동 5-35,스타벅스 신촌점,서울 서대문구 창천동 18-55,3.7692275,김옥길기념관,서울 서대문구 대신동 92,와우산,서울 마포구 창전동 3-243,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,2.0114238,서울 서대문구 창천동 31-92
천진분식,중식,3.5214744,서울 서대문구 대현동 56-24,카페코지,서울 서대문구 대현동 34-44,3.7692275,구름아래소극장,서울 마포구 서교동 337-11,이대앞사주카페거리,서울 서대문구 대현동,H에비뉴호텔 신촌이대점,호텔,3.7650409,서울 마포구 노고산동 1-74
,,,,그릭데이 이대본점,서울 서대문구 대현동 27-33,3.7692275,소이아트홀,서울 서대문구 창천동 57-41,와우산,서울 마포구 창전동 3-243,호텔모모,모텔,0.58224434,서울 서대문구 창천동 20-38
엠브로돈까스 신촌점,일식,3.3172212,서울 서대문구 창천동 13-16,스타벅스 신촌명물거리점,서울 서대문구 창천동 13-19,3.7692275,이화여자대학교 삼성홀,서울 서대문구 대현동 11-1,홍대예술의거리 나들길,서울 마포구 창전동,필스테이 이화부띠끄점,게스트하우스,2.0114238,서울 서대문구 대현동 56-126
엠브로돈까스 신촌점,일식,3.3172212,서울 서대문구 창천동 13-16,머스타드,서울 마포구 염리동 9-54,3.7692275,스튜디오리움,서울 서대문구 대신동 85,홍대패션거리,서울 마포구 서교동 348-78,필스테이 이화부띠끄점,게스트하우스,2.0114238,서울 서대문구 대현동 56-126
복성각,중식,3.5214744,서울 서대문구 창천동 31-8,룸익스케이프 화이트점,서울 서대문구 창천동 5-21,3.7692275,아트레온갤러리,서울 서대문구 창천동 20-25,이화52번가,서울 서대문구 대현동 33-9,디케이하우스,게스트하우스,2.0114238,서울 서대문구 대현동 90-37
효동각 본점,중식,3.5214744,서울 서대문구 대신동 50-2,미스터힐링 신촌점,서울 서대문구 창천동 20-51,3.7692275,연세대학교 박물관,서울 서대문구 신촌동 134,신촌이대거리,서울 서대문구 창천동,서울큐브이화,게스트하우스,2.0114238,서울 마포구 염리동 9-124
천진분식,중식,3.5214744,서울 서대문구 대현동 56-24,문베어,서울 서대문구 창천동 5-21,3.7692275,김옥길기념관,서울 서대문구 대신동 92,소금길,서울 마포구 염리동 9-245,애니타임호텔,모텔,0.58224434,서울 서대문구 창천동 29-51
아민 이화,양식,3.0544405,서울 서대문구 대현동 34-23,포티드,서울 서대문구 창천동 5-58,3.7692275,AOR라이브클럽,서울 마포구 서교동 325-26,아현동전골목,서울 마포구 아현동,신라스테이 마포,호텔,3.7650409,서울 마포구 도화동 570
복성각,중식,3.5214744,서울 서대문구 창천동 31-8,휴,서울 서대문구 창천동 18-5,3.7692275,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,홍대예술의거리 나들길,서울 마포구 창전동,아늑호텔 신촌점,모텔,0.58224434,서울 서대문구 창천동 20-33
연어초밥,일식,3.3172212,서울 서대문구 대현동 101-10,휴,서울 서대문구 창천동 18-5,3.7692275,연세대학교 대강당,서울 서대문구 신촌동 134,이대앞사주카페거리,서울 서대문구 대현동,롯데시티호텔 마포,호텔,3.7650409,서울 마포구 공덕동 467
완차이,중식,3.5214744,서울 서대문구 창천동 5-35,휴,서울 서대문구 창천동 18-5,3.7692275,이화여자대학교 대강당,서울 서대문구 대현동 11-1,서울명예도로 노벨길(경의선숲길 연남동방면),서울 마포구 동교동 172-6,애니타임호텔,모텔,0.58224434,서울 서대문구 창천동 29-51
연어초밥,일식,3.3172212,서울 서대문구 대현동 101-10,댓커피,서울 마포구 노고산동 19-52,3.7692275,연세대학교 윤주용홀,서울 서대문구 신촌동 134,노고산,서울 마포구 대흥동 산 1-30,호텔엘리,모텔,0.58224434,서울 서대문구 대현동 110-35
현명식탁,양식,3.0544405,서울 서대문구 창천동 13-2,메가MGC커피 이대점,서울 서대문구 대현동 54-11,3.7692275,서울마포음악창작소,서울 마포구 아현동 610-1,서울명예도로 노벨길(경의선숲길 연남동방면),서울 마포구 동교동 172-6,호텔제이드,모텔,0.58224434,서울 서대문구 창천동 29-49
효동각 본점,중식,3.5214744,서울 서대문구 대신동 50-2,밀랑스,서울 마포구 대흥동 2-30,3.7692275,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,마포전골목,서울 마포구 공덕동,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,2.0114238,서울 서대문구 창천동 31-92
효동각 본점,중식,3.5214744,서울 서대문구 대신동 50-2,비로소커피,서울 마포구 신수동 85-19,3.7692275,마포아트센터 갤러리맥,서울 마포구 대흥동 30-3,홍대걷고싶은거리,서울 마포구 서교동 348-40,호텔루이,모텔,0.58224434,서울 서대문구 창천동 29-24
엠브로돈까스 신촌점,일식,3.3172212,서울 서대문구 창천동 13-16,티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.7692275,극장PLOT,서울 서대문구 창천동 13-21,홍대패션거리,서울 마포구 서교동 348-78,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,2.0114238,서울 서대문구 창천동 31-92
완차이,중식,3.5214744,서울 서대문구 창천동 5-35,카페페라 유니크점,서울 서대문구 대현동 33-8,3.7692275,한국미술관,서울 서대문구 대현동 145,홍대땡땡거리,서울 마포구 동교동 190-1,필스테이 이화부띠끄점,게스트하우스,2.0114238,서울 서대문구 대현동 56-126
,,,,머스타드,서울 마포구 염리동 9-54,3.7692275,김옥길기념관,서울 서대문구 대신동 92,연세로,서울 서대문구 창천동,디케이하우스,게스트하우스,2.0114238,서울 서대문구 대현동 90-37
