음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
,,,,서울이스케이프룸 홍대2호점,서울 마포구 서교동 410-9,3.7783592,윤형빈소극장 홍대점,서울 마포구 서교동 364-31,합마르뜨,서울 마포구 합정동 404,미스홍대게스트하우스,게스트하우스,2.0315037,서울 마포구 서교동 358-135
당인동국수공장,한식,3.84411,서울 마포구 당인동 25-9,피오니 홍대점,서울 마포구 서교동 395-78,3.7783592,wrm space,서울 마포구 서교동 395-123,서울명예도로 노벨길(경의선숲길 연남동방면),서울 마포구 동교동 172-6,주니비노호텔,호텔,3.8043065,서울 마포구 합정동 379-4
비스트로사랑방,양식,3.005404,서울 마포구 서교동 408-25,시루케이크,서울 마포구 합정동 355-8,3.7783592,띠아트,서울 마포구 서교동 358-121,망원 초록길,서울 마포구 망원동 218-7,보보호텔,호텔,3.8043065,서울 마포구 서교동 373-1
,,,,금옥당 서교점,서울 마포구 서교동 402-18,3.778359,양화진홀 전시관,서울 마포구 합정동 142-1,홍대클럽거리,서울 마포구 서교동 361-12,성산모텔,모텔,0.5597498,서울 마포구 성산동 632-6
,,,,스타벅스 합정메세나몰점,서울 마포구 서교동 490,3.7783592,홍대난타전용극장,서울 마포구 서교동 357-5,서울도보관광코스 한강~절두산코스,서울 마포구 합정동,홍대스타일게스트하우스,게스트하우스,2.0315037,서울 마포구 동교동 203-29
오레노라멘 합정본점,일식,3.2834792,서울 마포구 합정동 361-1,제비다방,서울 마포구 상수동 330-12,3.7783592,홍대앞,서울 마포구 서교동 395-13,홍대걷고싶은거리,서울 마포구 서교동 348-40,로컬스티치 크리에이터타운 서교,호텔,3.8043065,서울 마포구 서교동 460-25
비스트로사랑방,양식,3.005404,서울 마포구 서교동 408-25,산리오러버스클럽,서울 마포구 서교동 364-14,3.7783592,서울생활문화센터 서교스퀘어,서울 마포구 서교동 494,빚다도예공방 홍대점,서울 마포구 상수동 329-6,로컬스티치 크리에이터타운 서교,호텔,3.8043065,서울 마포구 서교동 460-25
합정고깃집,한식,3.84411,서울 마포구 합정동 392-3,포비 합정점,서울 마포구 합정동 426-18,3.778359,라디오가가,서울 마포구 서교동 384-12,빚다도예공방 홍대점,서울 마포구 상수동 329-6,드림하우스게스트하우스,게스트하우스,2.0315037,서울 마포구 서교동 465-11
맛이차이나,중식,3.5035152,서울 마포구 상수동 321-1,키쉬미뇽,서울 마포구 서교동 394-16,3.7783592,라디오가가,서울 마포구 서교동 384-12,서울명예도로 노벨길(경의선숲길 연남동방면),서울 마포구 동교동 172-6,성산모텔,모텔,0.5597498,서울 마포구 성산동 632-6
크레이지카츠,일식,3.2834792,서울 마포구 합정동 391-5,콜린,서울 마포구 서교동 403-13,3.778359,메타코미디클럽 홍대,서울 마포구 서교동 361-18,서문벚꽃길,서울 영등포구 여의도동 1,드림하우스게스트하우스,게스트하우스,2.0315037,서울 마포구 서교동 465-11
,,,,달콤한거짓말,서울 마포구 상수동 317-11,3.778359,극동방송 아트홀,서울 마포구 상수동 89-1,홍대패션거리,서울 마포구 서교동 348-78,성산모텔,모텔,0.5597498,서울 마포구 성산동 632-6
스파카나폴리,양식,3.005404,서울 마포구 합정동 413-2,빈브라더스 합정,서울 마포구 합정동 368-3,3.7783592,벨로주 홍대,서울 마포구 서교동 372-6,홍대예술의거리,서울 마포구 서교동,캐슬모텔,모텔,0.5597498,서울 마포구 합정동 426-28
빠넬로,양식,3.005404,서울 마포구 서교동 400-22,스타벅스 합정메세나몰점,서울 마포구 서교동 490,3.7783592,가온스테이지,서울 마포구 서교동 377-3,서울도보관광코스 한강~절두산코스,서울 마포구 합정동,스티치스게스트하우스,게스트하우스,2.0315037,서울 마포구 합정동 391-6
맛이차이나,중식,3.5035152,서울 마포구 상수동 321-1,스타벅스 합정점,서울 마포구 합정동 472,3.7783592,가온스테이지,서울 마포구 서교동 377-3,홍대예술의거리 나들길,서울 마포구 창전동,더휴식 아늑호텔 서울 홍대점,모텔,0.5597498,서울 마포구 서교동 351-29
짬뽕지존 홍대점,중식,3.5035152,서울 마포구 서교동 408-27,달콤한거짓말,서울 마포구 상수동 317-11,3.778359,KT&G상상마당 홍대,서울 마포구 서교동 367-5,여의도 인증센터,서울 영등포구 여의도동 81-8,스티치스게스트하우스,게스트하우스,2.0315037,서울 마포구 합정동 391-6
교다이야,일식,3.2834792,서울 마포구 합정동 370-8,라뽀즈,서울 마포구 합정동 412-2,3.7783592,러브뮤지엄,서울 마포구 서교동 357-1,서울명예도로 노벨길(경의선숲길 연남동방면),서울 마포구 동교동 172-6,미성장모텔,모텔,0.5597498,서울 마포구 동교동 154-21
스케줄 합정,양식,3.005404,서울 마포구 서교동 394-17,어반플랜트 합정,서울 마포구 합정동 363-28,3.7783592,한국기독교선교기념관,서울 마포구 합정동 144,여의서로,서울 영등포구 여의도동,성산모텔,모텔,0.5597498,서울 마포구 성산동 632-6
,,,,멜로우,서울 마포구 서교동 368-7,3.778359,양화진홀 전시관,서울 마포구 합정동 142-1,선유도공원 온실,서울 영등포구 당산동 1,벙크게스트하우스,게스트하우스,2.0315037,서울 마포구 서교동 334-34
