음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
마녀주방 홍대점,양식,2.9500756,서울 마포구 서교동 358-51,비포블루밍,서울 마포구 동교동 148-9,3.7833278,얼라이브홀,서울 마포구 서교동 401-6,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,테마모텔,모텔,0.5380092,서울 서대문구 창천동 112-15
,,,,카페 지금여기,서울 마포구 서교동 369-42,3.7833278,홍대앞,서울 마포구 서교동 395-13,망리단길,서울 마포구 망원동,댓하우스 홍대점,게스트하우스,2.049543,서울 서대문구 창천동 501-16
진진,중식,3.4794784,서울 마포구 서교동 375-35,밀로커피로스터스,서울 마포구 동교동 170-32,3.7833278,대안공간 루프,서울 마포구 서교동 335-11,노고산,서울 마포구 대흥동 산 1-30,테마모텔,모텔,0.5380092,서울 서대문구 창천동 112-15
중화복춘,중식,3.4794784,서울 마포구 동교동 152-11,딥커피,서울 마포구 동교동 199-2,3.783328,H스테이지,서울 마포구 서교동 344-12,홍대패션거리,서울 마포구 서교동 348-78,홀리데이인익스프레스 서울홍대,호텔,3.8447108,서울 마포구 동교동 192-45
마녀주방 홍대점,양식,2.9500756,서울 마포구 서교동 358-51,카페 지금여기,서울 마포구 서교동 369-42,3.7833278,홍익대학교 현대미술관,서울 마포구 상수동 72-1,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,보아 트래블하우스,게스트하우스,2.049543,서울 서대문구 창천동 510-14
프리모바치오바치 홍대본점,양식,2.9500756,서울 마포구 서교동 346-47,943킹스크로스,서울 마포구 서교동 369-1,3.7833278,KT&G상상마당 홍대,서울 마포구 서교동 367-5,연세대학교 백양로,서울 서대문구 신촌동 134,댓하우스 홍대점,게스트하우스,2.049543,서울 서대문구 창천동 501-16
보승회관 홍대직영점,한식,3.8828516,서울 마포구 동교동 164-6,토라비,서울 마포구 서교동 347-12,3.7833278,베짱이홀,서울 마포구 상수동 313-3,와우산,서울 마포구 창전동 3-243,롬바드하우스,게스트하우스,2.049543,서울 마포구 서교동 466-6
우와 홍대본점,일식,3.2432375,서울 마포구 서교동 364-10,메가MGC커피 홍대입구역점,서울 마포구 동교동 164-22,3.783328,스페이스브릭,서울 마포구 서교동 395-15,신촌대학탐방나들길,서울 서대문구 대현동,연희모텔,모텔,0.5380092,서울 서대문구 연희동 356-1
바다회사랑 2호점,한식,3.8828516,서울 마포구 서교동 461-25,큐브이스케이프 홍대점,서울 마포구 서교동 355-17,3.7833278,라이브앤라우드,서울 마포구 동교동 200-31,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,연희모텔,모텔,0.5380092,서울 서대문구 연희동 356-1
감성타코 홍대점,양식,2.9500756,서울 마포구 서교동 358-121,스타벅스 홍대입구역사거리R점,서울 마포구 서교동 353-5,3.7833278,플렉스라운지,서울 마포구 서교동 372-5,빚다도예공방 홍대점,서울 마포구 상수동 329-6,댓하우스 홍대점,게스트하우스,2.049543,서울 서대문구 창천동 501-16
보승회관 홍대직영점,한식,3.8828516,서울 마포구 동교동 164-6,브런치가,서울 마포구 동교동 204-29,3.7833278,긱라이브하우스,서울 마포구 동교동 185-10,빚다도예공방 홍대점,서울 마포구 상수동 329-6,테마모텔,모텔,0.5380092,서울 서대문구 창천동 112-15
