name,address,평점
연남토마 본점,서울 마포구 연남동 568-26,
스아게K,서울 마포구 서교동 334-23,3.9점
백년토종삼계탕 본점,서울 마포구 서교동 354-12,3.6점
일편등심,서울 마포구 동교동 164-23,4.1점
제임스시카고피자 홍대본점,서울 마포구 서교동 346-42,4.6점
마녀주방 홍대점,서울 마포구 서교동 358-51,4.1점
감나무집기사식당,서울 마포구 연남동 515-20,
연교,서울 마포구 연남동 383-95,3.9점
별천지설농탕,서울 마포구 동교동 161-8,3.5점
장작집 연남본점,서울 마포구 연남동 570-38,4.2점
아오이토리,서울 마포구 서교동 327-17,4.0점
홍대인파스타,서울 마포구 서교동 355-5,3.8점
멘야산다이메 홍대점,서울 마포구 서교동 355-25,3.8점
카와카츠 본점,서울 마포구 서교동 465-1,4.2점
락희돈,서울 마포구 동교동 155-35,4.0점
하이디라오 홍대지점,서울 마포구 동교동 166-14,4.2점
프리모바치오바치 홍대본점,서울 마포구 서교동 346-47,3.9점
황곱 홍대점,서울 마포구 동교동 170-23,4.7점
비스트로주라,서울 마포구 서교동 342-16,4.4점
진진,서울 마포구 서교동 375-35,3.5점
가미우동,서울 마포구 서교동 346-31,4.3점
중화복춘,서울 마포구 동교동 152-11,4.1점
바다회사랑,서울 마포구 연남동 566-8,3.4점
카미야,서울 마포구 서교동 358-39,4.2점
홍대 조선시대,서울 마포구 서교동 369-4,4.7점
홍대조폭떡볶이 홍대2호점,서울 마포구 동교동 164-17,2.8점
장인닭갈비 홍대점,서울 마포구 동교동 163-6,
바다회사랑 2호점,서울 마포구 서교동 461-25,3.2점
감성타코 홍대점,서울 마포구 서교동 358-121,3.5점
강강술래 홍대점,서울 마포구 서교동 369-10,3.8점
21세기 우리바다수산,서울 마포구 동교동 206-5,2.6점
홍마떡 홍대본점,서울 마포구 서교동 345-16,
더담,서울 마포구 서교동 328-26,3.2점
또보겠지떡볶이집 깐따삐아점,서울 마포구 서교동 358-42,
마포곱창타운,서울 마포구 동교동 197-5,3.6점
츠케루,서울 마포구 서교동 344-9,4.5점
훠궈나라 홍대점,서울 마포구 동교동 164-33,3.9점
어메이징농카이,서울 마포구 서교동 351-13,3.8점
또보겠지떡볶이집 붕붕허니비점,서울 마포구 동교동 153-3,3.9점
보승회관 홍대직영점,서울 마포구 동교동 164-6,2.7점
미쁘동,서울 마포구 연남동 384-7,
조선화로구이,서울 마포구 서교동 351-18,3.8점
우와 홍대본점,서울 마포구 서교동 364-10,3.4점
만동제과,서울 서대문구 창천동 448,4.3점
이츠모라멘,서울 마포구 서교동 342-16,
