name,address,평점,카테고리,평균 단가
삼거리포차,서울 마포구 서교동 361-12,2.8점,음식점 > 술집 > 실내포장마차,27800
수저가,서울 마포구 신수동 89-10,4.5점,음식점 > 중식 > 중국요리,8000
플레이트946,서울 마포구 상수동 94-6,4.7점,음식점 > 양식 > 이탈리안,17600
칸다소바 홍대점,서울 마포구 상수동 91-3,4.3점,음식점 > 일식 > 일본식라면,9300
철길왕갈비살,서울 마포구 창전동 4-2,3.4점,"음식점 > 한식 > 육류,고기 > 갈비",21400
부영각,서울 마포구 용강동 494-61,3.7점,음식점 > 중식 > 중국요리,35000
김덕후의곱창조 홍대본점,서울 마포구 상수동 92-2,,"음식점 > 한식 > 육류,고기 > 곱창,막창",17880
화수목,서울 마포구 신수동 103-4,,음식점 > 샤브샤브,20000
갯배,서울 마포구 구수동 8,3.3점,"음식점 > 한식 > 해물,생선 > 회",11200
감성타코 홍대점,서울 마포구 서교동 358-121,3.5점,"음식점 > 양식 > 멕시칸,브라질",29200
공감 홍대2호점,서울 마포구 서교동 407-6,,음식점 > 술집 > 일본식주점,33600
거구장,서울 마포구 신수동 63-14,2.8점,음식점 > 한식 > 한정식,31400
또보겠지떡볶이집 스마일보이점,서울 마포구 서교동 327-20,3.6점,음식점 > 분식 > 떡볶이,13800
지로우라멘,서울 마포구 서교동 343-13,4.0점,음식점 > 일식 > 일본식라면,9250
을밀대 본점,서울 마포구 염리동 147-6,4.2점,음식점 > 한식 > 냉면,38400
또보겠지떡볶이집 깐따삐아점,서울 마포구 서교동 358-42,,음식점 > 분식 > 떡볶이,5300
미로식당,서울 마포구 창전동 6-99,3.9점,"음식점 > 술집 > 호프,요리주점",26800
홍대 조선시대,서울 마포구 서교동 369-4,4.7점,음식점 > 한식,25200
아오이토리,서울 마포구 서교동 327-17,4.0점,"음식점 > 간식 > 제과,베이커리",3000
옛맛서울불고기 (2024년 5월 예정),서울 마포구 창전동 442,3.4점,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",정보 없음
츠케루,서울 마포구 서교동 344-9,4.5점,음식점 > 일식 > 일본식라면,10600
효봉포차,서울 마포구 서교동 360-21,4.4점,음식점 > 술집 > 실내포장마차,18000
냉장고,서울 마포구 상수동 327-7,4.8점,"음식점 > 한식 > 육류,고기",18000
카미야,서울 마포구 서교동 358-39,4.2점,"음식점 > 일식 > 돈까스,우동",10000
더담,서울 마포구 서교동 328-26,3.2점,음식점 > 한식 > 한정식,51333
램랜드,서울 마포구 용강동 494-32,4.1점,"음식점 > 한식 > 육류,고기",72750
우와 홍대본점,서울 마포구 서교동 364-10,3.4점,음식점 > 일식,15700
마포손칼국수,서울 마포구 구수동 56-6,4.4점,음식점 > 한식 > 국수 > 칼국수,8000
웃사브,서울 마포구 상수동 92-3,3.6점,음식점 > 아시아음식 > 인도음식,23500
여우골 홍대점,서울 마포구 서교동 363-24,4.1점,"음식점 > 일식 > 초밥,롤",19600
괴르츠,서울 마포구 상수동 304-1,3.2점,음식점 > 양식,119000
하카타분코,서울 마포구 상수동 93-28,3.0점,음식점 > 일식 > 일본식라면,10000
비스트로사랑방,서울 마포구 서교동 408-25,4.0점,음식점 > 양식 > 이탈리안,34600
짬뽕지존 홍대점,서울 마포구 서교동 408-27,3.3점,음식점 > 중식 > 중국요리,7000
당인동국수공장,서울 마포구 당인동 25-9,3.7점,음식점 > 한식 > 국수,20000
정돈,서울 마포구 서교동 408-26,3.9점,"음식점 > 일식 > 돈까스,우동",17800
맛이차이나,서울 마포구 상수동 321-1,3.6점,음식점 > 중식 > 중국요리,정보 없음
신촌즉석생우동,서울 마포구 대흥동 801-13,4.2점,"음식점 > 일식 > 돈까스,우동",7700
서강8경,서울 마포구 상수동 356-6,3.4점,음식점 > 양식,162200
스아게K,서울 마포구 서교동 334-23,3.9점,음식점 > 일식,11600
테이스티버거,서울 마포구 상수동 317-2,3.6점,음식점 > 양식 > 햄버거,9900
산울림1992,서울 마포구 창전동 5-138,3.8점,"음식점 > 술집 > 호프,요리주점",24400
비스트로주라,서울 마포구 서교동 342-16,4.4점,음식점 > 양식,13100
신촌서서갈비,서울 마포구 노고산동 107-29,3.6점,"음식점 > 한식 > 육류,고기 > 갈비",17000
프리모바치오바치 홍대본점,서울 마포구 서교동 346-47,3.9점,음식점 > 양식 > 이탈리안,15600
