name,address,평점,카테고리,평균 단가
일미락 상암점,서울 마포구 상암동 1493,3.5점,"음식점 > 한식 > 육류,고기",21200
김영섭초밥,서울 마포구 상암동 42-20,3.6점,"음식점 > 일식 > 초밥,롤",39980
아리산채,서울 은평구 증산동 223-28,4.4점,음식점 > 중식,11200
두레우가,서울 마포구 상암동 1613,4.3점,"음식점 > 한식 > 육류,고기",55600
호우양꼬치 상암점,서울 마포구 상암동 12-16,4.2점,음식점 > 중식 > 양꼬치,20200
월화고기 상암직영 1호점,서울 마포구 상암동 8-3,,"음식점 > 한식 > 육류,고기 > 삼겹살",18400
아고야,서울 마포구 상암동 42-18,,"음식점 > 한식 > 육류,고기",13500
모리타,서울 마포구 상암동 35-1,,음식점 > 술집 > 일본식주점,31666
미스터아구 DMC점,서울 은평구 증산동 222-5,3.0점,"음식점 > 한식 > 해물,생선 > 아구",정보 없음
동신화로,서울 마포구 상암동 2-74,3.6점,"음식점 > 한식 > 육류,고기",27800
옥자회관,서울 마포구 상암동 2-29,4.4점,"음식점 > 일식 > 돈까스,우동",15400
산들샤브샤브,서울 은평구 수색동 75,4.7점,"음식점 > 한식 > 육류,고기",31600
소담,서울 마포구 상암동 2-252,3.2점,음식점 > 한식 > 국수,10400
몽미,서울 마포구 상암동 2-98,4.6점,"음식점 > 한식 > 육류,고기 > 삼겹살",17800
다이어메이커,서울 마포구 상암동 1293,3.3점,음식점 > 술집 > 칵테일바,14000
파스타공작소,서울 마포구 상암동 2-200,4.7점,음식점 > 양식 > 이탈리안,18800
일포베트남쌀국수,서울 마포구 상암동 1474,4.4점,음식점 > 아시아음식 > 동남아음식,8000
다이닝원 상암점,서울 마포구 상암동 1615,3.3점,음식점 > 뷔페 > 해산물뷔페,20720
물고기자리,서울 마포구 상암동 34-88,,"음식점 > 한식 > 해물,생선 > 회",40000
서룡,서울 마포구 상암동 1653,,음식점 > 중식 > 중국요리,48400
마음심,서울 마포구 상암동 32-14,4.3점,"음식점 > 한식 > 육류,고기",10600
옥소반 상암점,서울 마포구 상암동 1615,4.0점,음식점 > 샤브샤브,10760
푸차이,서울 마포구 상암동 1622,3.6점,음식점 > 중식 > 중국요리,14600
구리돌곱창,서울 마포구 상암동 2-425,4.0점,"음식점 > 한식 > 육류,고기 > 곱창,막창",31200
덕승재 상암동본점,서울 마포구 상암동 1653,,음식점 > 한식 > 한정식,43360
도시의어부 상암점,서울 마포구 상암동 35-7,3.8점,"음식점 > 한식 > 해물,생선 > 회",정보 없음
츄라우미 상암점,서울 마포구 상암동 11-1,3.8점,음식점 > 술집 > 일본식주점,43800
상암양평해장국,서울 마포구 상암동 6-6,4.0점,음식점 > 한식 > 해장국,11800
장어세상,서울 서대문구 북가좌동 371-11,4.9점,"음식점 > 한식 > 해물,생선 > 장어",33600
한상가득왕솥뚜껑 상암본점,서울 마포구 상암동 1520,3.7점,"음식점 > 한식 > 육류,고기",17400
더브래드팬트리,서울 마포구 상암동 20-9,4.8점,"음식점 > 간식 > 제과,베이커리",3900
에그랑누룽지통닭구이 본점,서울 마포구 상암동 1453,4.5점,음식점 > 치킨,19600
창고43 상암점,서울 마포구 상암동 1610,3.5점,"음식점 > 한식 > 육류,고기",65800
청춘소고기,서울 마포구 상암동 15-16,4.3점,"음식점 > 한식 > 육류,고기",17400
마이클돈까스 상암본점,서울 마포구 상암동 1655,4.3점,"음식점 > 일식 > 돈까스,우동",10100
무한리필808,서울 마포구 상암동 41-10,3.6점,"음식점 > 한식 > 육류,고기",29000
신흥부전,서울 마포구 상암동 5-2,4.9점,음식점 > 한식,42500
상암해물,서울 마포구 상암동 1497,4.3점,"음식점 > 한식 > 해물,생선",정보 없음
골목대장포장마차 상암본점,서울 마포구 상암동 13-9,4.2점,음식점 > 술집 > 실내포장마차,45800
시골보쌈&감자옹심이 상암점,서울 마포구 상암동 1602,3.7점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",39800
춘천신숯불닭갈비,서울 마포구 상암동 8-3,4.2점,"음식점 > 한식 > 육류,고기 > 닭요리",정보 없음
크라이치즈버거 상암점,서울 마포구 상암동 1610,4.9점,음식점 > 양식 > 햄버거,10220
상암구름산추어탕,서울 마포구 상암동 1490,3.5점,음식점 > 한식,13400
교대이층집 상암점,서울 마포구 상암동 15-29,3.9점,"음식점 > 한식 > 육류,고기 > 삼겹살",20400
마포구이마당 DMC본점,서울 은평구 증산동 221-4,4.1점,"음식점 > 한식 > 육류,고기",12400
