name,address,평점,카테고리,평균 단가
소금집델리 망원,서울 마포구 망원동 57-38,4.0점,음식점 > 패스트푸드 > 샌드위치,11800
망원시장손칼국수,서울 마포구 망원동 414-26,3.9점,음식점 > 한식 > 국수 > 칼국수,6600
철길 부산집 망원점,서울 마포구 망원동 422-27,4.7점,음식점 > 술집 > 오뎅바,29800
서노스시,서울 마포구 성산동 278-22,3.6점,"음식점 > 일식 > 초밥,롤",10200
명태공 성산직영점,서울 마포구 성산동 266-16,3.4점,"음식점 > 한식 > 해물,생선",26800
강화통통생고기 성산점,서울 마포구 성산동 263-7,4.5점,"음식점 > 한식 > 육류,고기",13500
망원동 즉석우동 전문돈까스 본점,서울 마포구 망원동 386-4,3.8점,"음식점 > 일식 > 돈까스,우동",8000
빵쌤 마포구청점,서울 마포구 망원동 472-1,3.1점,"음식점 > 간식 > 제과,베이커리",5820
스시나마,서울 마포구 망원동 494,4.2점,"음식점 > 일식 > 초밥,롤",3833
만나식당,서울 마포구 성산동 260-14,4.1점,"음식점 > 한식 > 찌개,전골",13800
우이락 망원본점,서울 마포구 망원동 411-21,3.2점,"음식점 > 술집 > 호프,요리주점",15800
어글리베이커리,서울 마포구 망원동 400-1,3.1점,"음식점 > 간식 > 제과,베이커리",정보 없음
헤키,서울 마포구 망원동 379-25,4.6점,음식점 > 일식,10400
홍반장신의주찹쌀순대&감자탕,서울 마포구 성산동 592-1,1.4점,음식점 > 한식 > 순대,19200
24시가마솥순대,서울 마포구 성산동 279-17,3.3점,음식점 > 한식 > 순대,26600
카페나하,서울 마포구 망원동 398-2,4.1점,음식점 > 일식,13250
당가원,서울 마포구 성산동 200-38,4.2점,음식점 > 중식 > 중국요리,8100
한강껍데기,서울 마포구 망원동 416-33,3.3점,"음식점 > 한식 > 육류,고기",14400
이치젠,서울 마포구 망원동 415-31,3.7점,음식점 > 일식,11200
투떰즈업,서울 마포구 망원동 57-278,3.5점,"음식점 > 간식 > 제과,베이커리",5200
우리바다수산,서울 마포구 성산동 649-5,3.5점,"음식점 > 한식 > 해물,생선 > 회",30200
망원수제고로케,서울 마포구 망원동 414-44,2.8점,"음식점 > 간식 > 제과,베이커리",500
당도,서울 마포구 망원동 414-16,4.5점,음식점 > 간식 > 아이스크림,12250
남춘천닭갈비,서울 마포구 성산동 253-16,4.2점,"음식점 > 한식 > 육류,고기 > 닭요리",8400
성산왕갈비,서울 마포구 성산동 446,3.2점,"음식점 > 한식 > 육류,고기 > 갈비",35000
양평해장국,서울 마포구 망원동 474-20,4.1점,음식점 > 한식 > 해장국,11000
진평925,서울 마포구 망원동 483-2,2.5점,"음식점 > 한식 > 육류,고기",69600
생고기제작소 망원점,서울 마포구 망원동 478-17,,"음식점 > 한식 > 육류,고기",25900
스시린,서울 마포구 성산동 590-5,4.1점,"음식점 > 일식 > 초밥,롤",33600
원조청기와숯불갈비,서울 마포구 망원동 484-1,2.3점,"음식점 > 한식 > 육류,고기 > 갈비",12000
망원동횟집,서울 마포구 망원동 423-9,4.4점,"음식점 > 한식 > 해물,생선 > 회",36800
도야지,서울 마포구 성산동 590-4,2.4점,"음식점 > 한식 > 육류,고기",20000
군산찜,서울 마포구 성산동 200-316,3.7점,"음식점 > 한식 > 해물,생선",34600
고향집,서울 마포구 망원동 414-20,3.6점,음식점 > 한식 > 국수,5200
할머니빈대떡 망원본점,서울 마포구 망원동 414-57,3.8점,음식점 > 한식,11600
순대일번지,서울 마포구 망원동 481-5,2.8점,음식점 > 한식 > 순대,18200
육전국밥 마포구청역점,서울 마포구 망원동 477-2,3.5점,음식점 > 한식 > 국밥,정보 없음
청어람 망원점,서울 마포구 망원동 482-3,3.6점,"음식점 > 한식 > 육류,고기 > 곱창,막창",26666
초한초마,서울 마포구 망원동 471-27,3.4점,음식점 > 중식 > 중국요리,7800
일등식당,서울 마포구 망원동 476-1,4.2점,음식점 > 한식 > 해장국,5600
강동원,서울 마포구 망원동 453-43,3.7점,음식점 > 중식 > 중국요리,10800
목포낙지마을,서울 마포구 성산동 278-41,4.3점,"음식점 > 한식 > 해물,생선",14200
만복기사식당,서울 마포구 망원동 455-1,3.0점,음식점 > 기사식당,11000
리치몬드과자점 성산본점,서울 마포구 성산동 114-5,3.6점,"음식점 > 간식 > 제과,베이커리",5140
고향집감자탕 마포구청역점,서울 마포구 망원동 435-15,4.4점,음식점 > 한식 > 감자탕,32200
