name,address,평점,카테고리,평균 단가
이치류 홍대본점,서울 마포구 서교동 395-124,4.2점,"음식점 > 한식 > 육류,고기",24500
칸다소바 홍대점,서울 마포구 상수동 91-3,4.3점,음식점 > 일식 > 일본식라면,9300
우동카덴 합정점,서울 마포구 서교동 391-5,3.1점,"음식점 > 일식 > 돈까스,우동",9600
김덕후의곱창조 홍대본점,서울 마포구 상수동 92-2,,"음식점 > 한식 > 육류,고기 > 곱창,막창",17880
델리인디아,서울 마포구 서교동 402-6,4.5점,음식점 > 아시아음식 > 인도음식,15380
각시보쌈,서울 마포구 합정동 372-27,3.7점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",21600
빠넬로,서울 마포구 서교동 400-22,3.8점,음식점 > 양식,32000
스케줄 합정,서울 마포구 서교동 394-17,3.5점,음식점 > 양식,35200
개화기요정,서울 마포구 서교동 401-5,2.3점,음식점 > 술집 > 일본식주점,24400
합정광안리,서울 마포구 서교동 396-44,,음식점 > 한식,44000
또보겠지떡볶이집 호호피크닉점,서울 마포구 서교동 396-45,3.8점,음식점 > 분식 > 떡볶이,11500
소코아 홍대점,서울 마포구 서교동 411-12,4.4점,음식점 > 일식,12800
카레시,서울 마포구 서교동 404-14,,음식점 > 일식,12800
후라토식당 상수직영점,서울 마포구 상수동 313-2,4.0점,"음식점 > 일식 > 돈까스,우동",15800
감성타코 홍대점,서울 마포구 서교동 358-121,3.5점,"음식점 > 양식 > 멕시칸,브라질",29200
진진,서울 마포구 서교동 375-35,3.5점,음식점 > 중식,31750
공감 홍대2호점,서울 마포구 서교동 407-6,,음식점 > 술집 > 일본식주점,33600
경주식당,서울 마포구 상수동 314-10,3.8점,"음식점 > 한식 > 육류,고기",45000
또보겠지떡볶이집 깐따삐아점,서울 마포구 서교동 358-42,,음식점 > 분식 > 떡볶이,5300
산더미불고기,서울 마포구 서교동 403-16,,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",12600
더피자보이즈 합정본점,서울 마포구 서교동 402-5,4.1점,음식점 > 양식 > 피자,21000
홍대 조선시대,서울 마포구 서교동 369-4,4.7점,음식점 > 한식,25200
스파카나폴리,서울 마포구 합정동 413-2,4.1점,음식점 > 양식 > 이탈리안,27500
냉장고,서울 마포구 상수동 327-7,4.8점,"음식점 > 한식 > 육류,고기",18000
카미야,서울 마포구 서교동 358-39,4.2점,"음식점 > 일식 > 돈까스,우동",10000
강강술래 홍대점,서울 마포구 서교동 369-10,3.8점,음식점 > 한식,34560
몰토베네,서울 마포구 합정동 361-20,4.5점,음식점 > 양식 > 이탈리안,29400
우와 홍대본점,서울 마포구 서교동 364-10,3.4점,음식점 > 일식,15700
웃사브,서울 마포구 상수동 92-3,3.6점,음식점 > 아시아음식 > 인도음식,23500
여우골 홍대점,서울 마포구 서교동 363-24,4.1점,"음식점 > 일식 > 초밥,롤",19600
하카타분코,서울 마포구 상수동 93-28,3.0점,음식점 > 일식 > 일본식라면,10000
비스트로사랑방,서울 마포구 서교동 408-25,4.0점,음식점 > 양식 > 이탈리안,34600
짬뽕지존 홍대점,서울 마포구 서교동 408-27,3.3점,음식점 > 중식 > 중국요리,7000
오레노라멘 합정본점,서울 마포구 합정동 361-1,4.4점,음식점 > 일식 > 일본식라면,12000
철인7호치킨 홍대점,서울 마포구 서교동 402-4,5.0점,음식점 > 치킨,17120
당인동국수공장,서울 마포구 당인동 25-9,3.7점,음식점 > 한식 > 국수,20000
정돈,서울 마포구 서교동 408-26,3.9점,"음식점 > 일식 > 돈까스,우동",17800
맛이차이나,서울 마포구 상수동 321-1,3.6점,음식점 > 중식 > 중국요리,정보 없음
옥동식 서교점,서울 마포구 서교동 385-6,3.9점,음식점 > 한식 > 곰탕,10600
서강8경,서울 마포구 상수동 356-6,3.4점,음식점 > 양식,162200
마녀주방 홍대점,서울 마포구 서교동 358-51,4.1점,음식점 > 양식,12100
라멘트럭 상수본점,서울 마포구 상수동 324-10,3.5점,음식점 > 일식 > 일본식라면,6500
피자네버슬립스 합정상수점,서울 마포구 서교동 400-13,4.1점,음식점 > 양식 > 피자,29200
하하&김종국의 401정육식당 홍대본점,서울 마포구 서교동 395-17,2.3점,"음식점 > 한식 > 육류,고기",21200
테이스티버거,서울 마포구 상수동 317-2,3.6점,음식점 > 양식 > 햄버거,9900
