name,address,평점,카테고리
란주탕슉,서울 서대문구 대현동 53-20,3.3점,음식점 > 중식 > 중국요리
유즈라멘 만리동점,서울 중구 만리동1가 53-8,4.3점,음식점 > 일식 > 일본식라면
서울부띠끄,서울 중구 만리동1가 62-1,3.1점,음식점 > 양식
오르랔베이커리,서울 서대문구 북아현동 220-36,3.6점,"음식점 > 간식 > 제과,베이커리"
대박집,서울 서대문구 북아현동 130-4,2.7점,"음식점 > 한식 > 해물,생선"
아현닭발,서울 서대문구 북아현동 221-14,3.9점,"음식점 > 한식 > 육류,고기 > 닭요리"
밀리네해물탕 애오개역점,서울 마포구 아현동 733,2.8점,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕"
은성순대국,서울 마포구 아현동 346-22,4.3점,음식점 > 한식 > 순대
서울우진갈비,서울 중구 중림동 200,,"음식점 > 한식 > 육류,고기 > 갈비"
아건 이대점,서울 서대문구 대현동 56-76,4.2점,음식점 > 아시아음식 > 인도음식
가미분식,서울 서대문구 대현동 54-1,3.8점,음식점 > 분식
마더린러베이글,서울 서대문구 대현동 56-23,,"음식점 > 간식 > 제과,베이커리"
호남보신탕,서울 서대문구 북아현동 125-25,4.1점,"음식점 > 한식 > 사철탕,영양탕"
두툼,서울 중구 중림동 200,3.8점,"음식점 > 한식 > 육류,고기"
대가설렁탕,서울 마포구 아현동 331-6,4.4점,음식점 > 한식 > 설렁탕
밀밭정원,서울 마포구 아현동 422,4.1점,음식점 > 한식 > 국수
파네트,서울 마포구 공덕동 232-9,4.2점,"음식점 > 간식 > 제과,베이커리"
철길떡볶이,서울 서대문구 충정로3가 143-2,2.8점,음식점 > 분식 > 떡볶이
오공일,서울 중구 중림동 401-4,3.9점,음식점 > 한식
중림장,서울 중구 중림동 468,,음식점 > 한식 > 설렁탕
연어초밥,서울 서대문구 대현동 101-10,4.8점,"음식점 > 일식 > 초밥,롤"
북성해장국,서울 서대문구 북아현동 154-1,4.1점,음식점 > 한식 > 해장국
호수집 원조닭꼬치,서울 중구 중림동 61-4,3.7점,"음식점 > 한식 > 육류,고기 > 닭요리"
공일부엌,서울 중구 만리동1가 62-27,2.9점,음식점 > 한식
테라스,서울 서대문구 북아현동 135-9,4.0점,"음식점 > 술집 > 호프,요리주점"
파파브레드,서울 서대문구 북아현동 134-3,4.5점,"음식점 > 간식 > 제과,베이커리"
마포대도소곱창,서울 중구 중림동 400-6,4.4점,"음식점 > 한식 > 육류,고기 > 곱창,막창"
이요이요스시 공덕1호점,서울 마포구 공덕동 469,4.2점,"음식점 > 일식 > 초밥,롤"
아현동간장게장,서울 마포구 아현동 282-1,3.8점,"음식점 > 한식 > 해물,생선 > 게,대게"
미스터서왕만두,서울 서대문구 대현동 27-20,4.5점,음식점 > 분식
e문어세상 충정로직영점,서울 중구 중림동 400-7,3.7점,"음식점 > 한식 > 해물,생선"
편백집 아현점,서울 마포구 아현동 330-4,3.4점,"음식점 > 한식 > 육류,고기"
황금콩밭,서울 마포구 아현동 424-11,3.8점,음식점 > 한식 > 두부전문점
곱창파는고깃집,서울 마포구 아현동 618-19,3.5점,"음식점 > 한식 > 육류,고기 > 삼겹살"
만리재비스트로,서울 중구 만리동1가 62-11,3.7점,음식점 > 양식
마포분식,서울 마포구 아현동 332-21,4.6점,음식점 > 분식
진미식당,서울 마포구 공덕동 105-127,3.7점,"음식점 > 한식 > 해물,생선 > 게,대게"
원조봉순게장,서울 서대문구 충정로3가 480,4.2점,"음식점 > 한식 > 해물,생선 > 게,대게"
고릴라,서울 서대문구 충정로3가 272,3.9점,"음식점 > 한식 > 육류,고기"
서울호떡 아현점,서울 마포구 아현동 332-6,4.0점,음식점 > 간식
밀리네 해물탕,서울 마포구 염리동 9-120,2.7점,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕"
원조신촌설렁탕,서울 마포구 공덕동 119-45,4.4점,음식점 > 한식 > 설렁탕
옐로우보울,서울 서대문구 충정로3가 476,,음식점 > 양식
가야가야 이대점,서울 서대문구 대현동 56-21,2.7점,음식점 > 일식 > 일본식라면
국민회관,서울 중구 만리동1가 34,3.9점,"음식점 > 한식 > 육류,고기 > 삼겹살"
