name,address,평점,카테고리,평균 단가
굴다리식당,서울 마포구 도화동 181-45,2.3점,음식점 > 한식,10333
마포청학동부침개,서울 마포구 공덕동 256-30,2.5점,음식점 > 한식,13400
밀리네해물탕 애오개역점,서울 마포구 아현동 733,2.8점,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕",38600
홍박아구찜 본점,서울 마포구 공덕동 384-29,3.5점,"음식점 > 한식 > 해물,생선 > 아구",67000
황톳길,서울 마포구 공덕동 270-1,4.3점,음식점 > 한식,20600
공덕닭발왕,서울 마포구 신공덕동 9-14,4.4점,"음식점 > 한식 > 육류,고기 > 닭요리",18000
영광보쌈,서울 마포구 공덕동 256-20,3.4점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",26000
아소정,서울 마포구 염리동 149-9,3.7점,음식점 > 한식,11800
뚜띠쿠치나 공덕점,서울 마포구 공덕동 249-36,3.6점,음식점 > 양식 > 이탈리안,22500
역전회관,서울 마포구 염리동 173-21,,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",16200
밀밭정원,서울 마포구 아현동 422,4.1점,음식점 > 한식 > 국수,정보 없음
마포오향족발,서울 마포구 공덕동 256-10,3.0점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",35200
파네트,서울 마포구 공덕동 232-9,4.2점,"음식점 > 간식 > 제과,베이커리",4782
조개꽃천지 마포공덕점,서울 마포구 공덕동 249-16,2.8점,"음식점 > 한식 > 해물,생선 > 조개",정보 없음
동신참치 공덕점,서울 마포구 공덕동 462,4.7점,음식점 > 일식 > 참치회,18600
서리원,서울 마포구 공덕동 463,3.0점,음식점 > 한식 > 한정식,38000
을밀대 본점,서울 마포구 염리동 147-6,4.2점,음식점 > 한식 > 냉면,38400
신성각,서울 마포구 신공덕동 2-463,3.6점,음식점 > 중식,8500
참나무본가 공덕점,서울 마포구 공덕동 256-42,4.7점,"음식점 > 한식 > 육류,고기",26800
용마루굴다리껍데기,서울 마포구 공덕동 22-13,3.7점,"음식점 > 한식 > 육류,고기",9200
북성해장국,서울 서대문구 북아현동 154-1,4.1점,음식점 > 한식 > 해장국,10500
마포왕족발,서울 마포구 공덕동 256-10,3.6점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",41800
두껍삼 마포직영점,서울 마포구 도화동 553,,"음식점 > 한식 > 육류,고기 > 삼겹살",83600
이요이요스시 공덕1호점,서울 마포구 공덕동 469,4.2점,"음식점 > 일식 > 초밥,롤",56250
봉평옹심이메밀칼국수,서울 마포구 공덕동 242-90,4.7점,음식점 > 한식 > 국수 > 칼국수,9600
아현동간장게장,서울 마포구 아현동 282-1,3.8점,"음식점 > 한식 > 해물,생선 > 게,대게",11000
애슐리퀸즈 공덕점,서울 마포구 공덕동 252-5,,음식점 > 패밀리레스토랑 > 애슐리,24566
황금콩밭,서울 마포구 아현동 424-11,3.8점,음식점 > 한식 > 두부전문점,21000
락희옥 마포본점,서울 마포구 공덕동 478,4.4점,음식점 > 한식,38800
마포소문난원조족발,서울 마포구 공덕동 256-11,3.8점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",36000
곱창파는고깃집,서울 마포구 아현동 618-19,3.5점,"음식점 > 한식 > 육류,고기 > 삼겹살",20560
37.5익스프레스 마포공덕점,서울 마포구 공덕동 175-139,3.5점,음식점 > 양식,13800
마포진짜원조최대포 본점,서울 마포구 공덕동 255-5,,"음식점 > 한식 > 육류,고기",14600
진대감 마포점,서울 마포구 공덕동 249-62,,"음식점 > 한식 > 육류,고기",41000
진미식당,서울 마포구 공덕동 105-127,3.7점,"음식점 > 한식 > 해물,생선 > 게,대게",42500
원조마포껍데기집,서울 마포구 공덕동 115-122,3.7점,"음식점 > 한식 > 육류,고기",14400
그레이스국밥,서울 마포구 공덕동 242-3,4.7점,음식점 > 한식 > 국밥,18400
버거킹 공덕역점,서울 마포구 공덕동 252-5,3.8점,음식점 > 패스트푸드 > 버거킹,정보 없음
탑클라우드23,서울 마포구 공덕동 471,3.6점,음식점 > 양식,정보 없음
만리삼구보쌈족발,서울 용산구 서계동 260-1,4.8점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",36600
몽중헌 공덕점,서울 마포구 도화동 25-13,3.7점,음식점 > 중식 > 중국요리,16400
원조신촌설렁탕,서울 마포구 공덕동 119-45,4.4점,음식점 > 한식 > 설렁탕,16800
롯데시티호텔마포 나루,서울 마포구 공덕동 467,4.2점,음식점 > 뷔페,67100
마포양지설렁탕,서울 마포구 도화동 181-39,3.3점,음식점 > 한식 > 설렁탕,14800
명인등심 마포공덕 직영점,서울 마포구 공덕동 252-5,4.6점,"음식점 > 한식 > 육류,고기",26200
