name,address,평점,카테고리,평균 단가
꼬숑돈까스,서울 서대문구 창천동 31-26,3.8점,"음식점 > 일식 > 돈까스,우동",4000
란주탕슉,서울 서대문구 대현동 53-20,3.3점,음식점 > 중식 > 중국요리,10800
벽제갈비 신촌점,서울 서대문구 창천동 13-20,3.8점,"음식점 > 한식 > 육류,고기 > 갈비",21800
유야케도쿄,서울 서대문구 대현동 37-30,4.0점,"음식점 > 일식 > 돈까스,우동",11166
고냉지,서울 서대문구 대현동 110-15,4.1점,"음식점 > 한식 > 찌개,전골",15750
고삼이 신촌점,서울 서대문구 창천동 53-8,4.3점,"음식점 > 한식 > 해물,생선",11800
비밀,서울 서대문구 대현동 27-46,4.4점,"음식점 > 간식 > 제과,베이커리",3840
아건 이대점,서울 서대문구 대현동 56-76,4.2점,음식점 > 아시아음식 > 인도음식,11400
가미분식,서울 서대문구 대현동 54-1,3.8점,음식점 > 분식,7200
마더린러베이글,서울 서대문구 대현동 56-23,,"음식점 > 간식 > 제과,베이커리",12860
미도인 신촌,서울 서대문구 창천동 45-12,3.5점,음식점 > 일식,9820
영미김밥,서울 서대문구 대현동 110-7,4.2점,음식점 > 분식,4333
신촌수제비,서울 서대문구 창천동 30-10,3.0점,음식점 > 한식 > 수제비,3500
대현매운족발 본점,서울 서대문구 대현동 104-25,4.3점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",28600
너스레,서울 서대문구 대현동 90-3,4.4점,"음식점 > 술집 > 호프,요리주점",14200
을밀대 본점,서울 마포구 염리동 147-6,4.2점,음식점 > 한식 > 냉면,38400
정육면체,서울 서대문구 창천동 62-18,3.8점,음식점 > 퓨전요리,12300
연어초밥,서울 서대문구 대현동 101-10,4.8점,"음식점 > 일식 > 초밥,롤",17340
신촌형제갈비,서울 서대문구 창천동 31-26,2.6점,"음식점 > 한식 > 육류,고기 > 갈비",32500
춘천집닭갈비막국수,서울 서대문구 창천동 57-8,3.2점,"음식점 > 한식 > 육류,고기 > 닭요리",12300
엠브로돈까스 신촌점,서울 서대문구 창천동 13-16,3.8점,"음식점 > 일식 > 돈까스,우동",8460
라구식당,서울 서대문구 창천동 2-44,4.1점,음식점 > 양식 > 이탈리안,9750
복성각,서울 서대문구 창천동 31-8,3.2점,음식점 > 중식 > 중국요리,8000
이빠네마그릴,서울 서대문구 창천동 18-11,4.1점,"음식점 > 양식 > 멕시칸,브라질",39900
소신이쏘,서울 서대문구 창천동 57-39,3.8점,"음식점 > 한식 > 육류,고기 > 갈비",14166
웅네서서갈비,서울 서대문구 대현동 110-25,3.8점,"음식점 > 한식 > 육류,고기 > 갈비",11200
미스터서왕만두,서울 서대문구 대현동 27-20,4.5점,음식점 > 분식,7640
디델리 이대점,서울 서대문구 대현동 56-68,4.1점,음식점 > 분식,7100
완차이,서울 서대문구 창천동 5-35,4.1점,음식점 > 중식 > 중국요리,26900
방콕익스프레스 신촌본점,서울 서대문구 대현동 104-25,3.4점,음식점 > 아시아음식 > 동남아음식,10900
천진분식,서울 서대문구 대현동 56-24,4.5점,음식점 > 중식 > 중국요리,6100
현명식탁,서울 서대문구 창천동 13-2,3.9점,음식점 > 양식 > 이탈리안,19400
신촌황소곱창 신촌본점,서울 서대문구 창천동 52-148,2.2점,"음식점 > 한식 > 육류,고기 > 곱창,막창",19000
부엉이돈가스 신촌점,서울 서대문구 창천동 5-70,4.0점,"음식점 > 일식 > 돈까스,우동",11940
공릉닭한마리,서울 서대문구 대현동 104-69,3.7점,"음식점 > 한식 > 육류,고기 > 닭요리",30000
아웃백스테이크하우스 신촌점,서울 서대문구 창천동 2-6,3.9점,음식점 > 패밀리레스토랑 > 아웃백스테이크하우스딜리버리,79900
아민 이화,서울 서대문구 대현동 34-23,4.4점,음식점 > 양식,15500
제주도로담,서울 서대문구 대현동 104-18,4.2점,"음식점 > 한식 > 육류,고기",32000
밀리네 해물탕,서울 마포구 염리동 9-120,2.7점,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕",39200
효동각 본점,서울 서대문구 대신동 50-2,3.0점,음식점 > 중식 > 중국요리,9000
유닭스토리 닭한마리 신촌점,서울 서대문구 창천동 18-72,3.7점,"음식점 > 한식 > 육류,고기 > 닭요리",16000
대전해장국전문,서울 마포구 노고산동 19-39,3.7점,음식점 > 한식 > 해장국,12000
가야가야 이대점,서울 서대문구 대현동 56-21,2.7점,음식점 > 일식 > 일본식라면,10100
신촌서서갈비,서울 마포구 노고산동 107-29,3.6점,"음식점 > 한식 > 육류,고기 > 갈비",17000
삭,서울 서대문구 대현동 56-33,4.1점,음식점 > 분식,2080
