name,address,평점,카테고리,평균 단가
홍대인파스타,서울 마포구 서교동 355-5,3.8점,음식점 > 양식 > 이탈리안,9620
미쁘동,서울 마포구 연남동 384-7,,음식점 > 일식,18400
카와카츠 본점,서울 마포구 서교동 465-1,4.2점,"음식점 > 일식 > 돈까스,우동",14800
연남토마 본점,서울 마포구 연남동 568-26,,음식점 > 퓨전요리 > 퓨전일식,14000
또보겠지떡볶이집 붕붕허니비점,서울 마포구 동교동 153-3,3.9점,음식점 > 분식 > 떡볶이,10250
멘야산다이메 홍대점,서울 마포구 서교동 355-25,3.8점,음식점 > 일식 > 일본식라면,9100
백년토종삼계탕 본점,서울 마포구 서교동 354-12,3.6점,"음식점 > 한식 > 육류,고기 > 닭요리 > 삼계탕",19600
별천지설농탕,서울 마포구 동교동 161-8,3.5점,음식점 > 한식 > 설렁탕,17600
연교,서울 마포구 연남동 383-95,3.9점,음식점 > 중식 > 중국요리,18200
진진,서울 마포구 서교동 375-35,3.5점,음식점 > 중식,31750
감성타코 홍대점,서울 마포구 서교동 358-121,3.5점,"음식점 > 양식 > 멕시칸,브라질",29200
훠궈나라 홍대점,서울 마포구 동교동 164-33,3.9점,음식점 > 중식 > 중국요리,17800
황곱 홍대점,서울 마포구 동교동 170-23,4.7점,"음식점 > 한식 > 육류,고기 > 곱창,막창",29800
보승회관 홍대직영점,서울 마포구 동교동 164-6,2.7점,음식점 > 한식 > 순대,10500
감나무집기사식당,서울 마포구 연남동 515-20,,음식점 > 기사식당,11800
조선화로구이,서울 마포구 서교동 351-18,3.8점,"음식점 > 한식 > 육류,고기",34000
21세기 우리바다수산,서울 마포구 동교동 206-5,2.6점,"음식점 > 한식 > 해물,생선 > 회",43000
또보겠지떡볶이집 깐따삐아점,서울 마포구 서교동 358-42,,음식점 > 분식 > 떡볶이,5300
홍대 조선시대,서울 마포구 서교동 369-4,4.7점,음식점 > 한식,25200
장작집 연남본점,서울 마포구 연남동 570-38,4.2점,음식점 > 치킨,24400
바다회사랑,서울 마포구 연남동 566-8,3.4점,"음식점 > 한식 > 해물,생선 > 회",61000
락희돈,서울 마포구 동교동 155-35,4.0점,음식점 > 술집 > 일본식주점,17700
츠케루,서울 마포구 서교동 344-9,4.5점,음식점 > 일식 > 일본식라면,10600
아오이토리,서울 마포구 서교동 327-17,4.0점,"음식점 > 간식 > 제과,베이커리",3000
장인닭갈비 홍대점,서울 마포구 동교동 163-6,,"음식점 > 한식 > 육류,고기 > 닭요리",12000
카미야,서울 마포구 서교동 358-39,4.2점,"음식점 > 일식 > 돈까스,우동",10000
강강술래 홍대점,서울 마포구 서교동 369-10,3.8점,음식점 > 한식,34560
마포곱창타운,서울 마포구 동교동 197-5,3.6점,"음식점 > 한식 > 육류,고기 > 곱창,막창",18200
더담,서울 마포구 서교동 328-26,3.2점,음식점 > 한식 > 한정식,51333
일편등심,서울 마포구 동교동 164-23,4.1점,"음식점 > 한식 > 육류,고기",123840
우와 홍대본점,서울 마포구 서교동 364-10,3.4점,음식점 > 일식,15700
가미우동,서울 마포구 서교동 346-31,4.3점,"음식점 > 일식 > 돈까스,우동",6900
홍마떡 홍대본점,서울 마포구 서교동 345-16,,음식점 > 분식 > 떡볶이,7820
제임스시카고피자 홍대본점,서울 마포구 서교동 346-42,4.6점,음식점 > 양식 > 피자,정보 없음
홍대조폭떡볶이 홍대2호점,서울 마포구 동교동 164-17,2.8점,음식점 > 분식 > 떡볶이,4200
만동제과,서울 서대문구 창천동 448,4.3점,"음식점 > 간식 > 제과,베이커리",4000
중화복춘,서울 마포구 동교동 152-11,4.1점,음식점 > 중식 > 중국요리,60200
마녀주방 홍대점,서울 마포구 서교동 358-51,4.1점,음식점 > 양식,12100
스아게K,서울 마포구 서교동 334-23,3.9점,음식점 > 일식,11600
어메이징농카이,서울 마포구 서교동 351-13,3.8점,음식점 > 아시아음식 > 동남아음식 > 태국음식,13000
중화복춘 골드동교점,서울 마포구 동교동 204-54,,음식점 > 중식 > 중국요리,72800
비스트로주라,서울 마포구 서교동 342-16,4.4점,음식점 > 양식,13100
이츠모라멘,서울 마포구 서교동 342-16,,음식점 > 일식 > 일본식라면,9800
프리모바치오바치 홍대본점,서울 마포구 서교동 346-47,3.9점,음식점 > 양식 > 이탈리안,15600
바다회사랑 2호점,서울 마포구 서교동 461-25,3.2점,"음식점 > 한식 > 해물,생선 > 회",50600
하이디라오 홍대지점,서울 마포구 동교동 166-14,4.2점,음식점 > 중식 > 중국요리,7600
