가게명,가게주소,평균 단가
굴다리식당,서울 마포구 도화동 181-45,10333
장수갈매기 본점,서울 마포구 도화동 182-11,15600
일일향 마포점,서울 마포구 도화동 179-2,11800
이춘복참치 공덕점,서울 마포구 도화동 25-66,62200
마포옥,서울 마포구 용강동 50-13,49000
색동저고리 마포점,서울 양천구 목동 908-34,23800
곱 마포점,서울 마포구 도화동 179-11,26000
마포청학동부침개,서울 마포구 공덕동 256-30,13400
영광보쌈,서울 마포구 공덕동 256-20,26000
아소정,서울 마포구 염리동 149-9,11800
함루,서울 마포구 공덕동 478,27000
역전회관,서울 마포구 염리동 173-21,16200
여명,서울 마포구 도화동 181-2,16000
마포오향족발,서울 마포구 공덕동 256-10,35200
복성각 마포본점,서울 마포구 도화동 173,15000
SOUPER 마포,서울 마포구 도화동 251-1,7500
남해바다,서울 마포구 도화동 536,66000
을밀대 본점,서울 마포구 염리동 147-6,38400
모연,서울 마포구 용강동 51-5,70600
코끼리즉석떡볶이,서울 마포구 도화동 345-4,3250
외백,서울 마포구 도화동 343-1,16600
부산갈매기,서울 마포구 도화동 194-18,15250
소문난쭈꾸미 마포본점,서울 마포구 도화동 179-15,78000
참나무본가 공덕점,서울 마포구 공덕동 256-42,26800
마포왕족발,서울 마포구 공덕동 256-10,41800
두껍삼 마포직영점,서울 마포구 도화동 553,83600
마포원조떡볶이,서울 마포구 도화동 345-4,2200
오목집 마포점,서울 마포구 도화동 194-22,32400
락희옥 마포본점,서울 마포구 공덕동 478,38800
마포갈매기,서울 마포구 도화동 194-8,13400
산동만두,서울 마포구 도화동 327-1,29800
조선초가한끼,서울 마포구 대흥동 802,24400
마포소문난원조족발,서울 마포구 공덕동 256-11,36000
오롯,제주특별자치도 제주시 아라이동 3009-5,15600
본점최대포 1호점,서울 마포구 도화동 25-8,17600
마포진짜원조최대포 본점,서울 마포구 공덕동 255-5,14600
진대감 마포점,서울 마포구 공덕동 249-62,41000
원조조박집 본관,서울 마포구 용강동 40-1,30666
탑클라우드23,서울 마포구 공덕동 471,정보 없음
몽중헌 공덕점,서울 마포구 도화동 25-13,16400
마포양지설렁탕,서울 마포구 도화동 181-39,14800
롯데시티호텔마포 나루,서울 마포구 공덕동 467,67100
마포나루 아크로점,서울 마포구 도화동 563,39600
미스터리브루잉컴퍼니,서울 마포구 염리동 168-9,18400
마포나루 도화본점,서울 마포구 도화동 201-39,30400
