가게명,가게주소,평균 단가
삼거리포차,서울 마포구 서교동 361-12,27800
수저가,서울 마포구 신수동 89-10,8000
플레이트946,서울 마포구 상수동 94-6,17600
칸다소바 홍대점,서울 마포구 상수동 91-3,9300
철길왕갈비살,서울 마포구 창전동 4-2,21400
부영각,강원특별자치도 속초시 금호동 482-103,35000
김덕후의곱창조 홍대본점,서울 마포구 상수동 92-2,17880
화수목,경기 성남시 분당구 서현동 273-1,20000
갯배,서울 마포구 구수동 8,11200
감성타코 홍대점,서울 마포구 서교동 358-121,29200
공감 홍대2호점,서울 마포구 서교동 407-6,33600
거구장,서울 마포구 신수동 63-14,31400
또보겠지떡볶이집 스마일보이점,서울 마포구 서교동 327-20,13800
지로우라멘,서울 마포구 서교동 343-13,9250
을밀대 본점,서울 마포구 염리동 147-6,38400
또보겠지떡볶이집 깐따삐아점,서울 마포구 서교동 358-42,5300
미로식당,서울 마포구 창전동 6-99,26800
홍대 조선시대,서울 마포구 서교동 369-4,25200
아오이토리,서울 마포구 서교동 327-17,3000
옛맛서울불고기 (2024년 5월 예정),정보 없음,정보 없음
츠케루,서울 마포구 서교동 344-9,10600
효봉포차,서울 마포구 서교동 360-21,18000
냉장고,서울 마포구 상수동 327-7,18000
카미야,서울 마포구 서교동 358-39,10000
더담,서울 마포구 서교동 328-26,51333
램랜드,서울 마포구 용강동 494-32,72750
우와 홍대본점,서울 마포구 서교동 364-10,15700
마포손칼국수,서울 마포구 구수동 56-6,8000
웃사브,서울 마포구 상수동 92-3,23500
여우골 홍대점,서울 마포구 서교동 363-24,19600
괴르츠,서울 마포구 상수동 304-1,119000
하카타분코,서울 마포구 상수동 93-28,10000
비스트로사랑방,서울 마포구 서교동 408-25,34600
짬뽕지존 홍대점,서울 마포구 서교동 408-27,7000
당인동국수공장,서울 마포구 당인동 25-9,20000
정돈,서울 종로구 명륜4가 107,17800
맛이차이나,서울 마포구 상수동 321-1,정보 없음
신촌즉석생우동,서울 마포구 대흥동 801-13,7700
서강8경,서울 마포구 상수동 356-6,162200
스아게K,서울 마포구 서교동 334-23,11600
테이스티버거,서울 마포구 상수동 317-2,9900
산울림1992,서울 마포구 창전동 5-138,24400
비스트로주라,서울 마포구 서교동 342-16,13100
신촌서서갈비,서울 마포구 노고산동 107-29,17000
프리모바치오바치 홍대본점,서울 마포구 서교동 346-47,15600
