가게명,가게주소,평균 단가
굴다리식당,서울 마포구 도화동 181-45,10333
일일향 마포점,서울 마포구 도화동 179-2,11800
수저가,서울 마포구 신수동 89-10,8000
롤앤롤 김밥,서울 마포구 신수동 22-22,4500
마포옥,서울 마포구 용강동 50-13,49000
색동저고리 마포점,서울 양천구 목동 908-34,23800
부영각,강원특별자치도 속초시 금호동 482-103,35000
매일스시횟집,서울 마포구 염리동 95-1,70000
아소정,서울 마포구 염리동 149-9,11800
함루,서울 마포구 공덕동 478,27000
역전회관,서울 마포구 염리동 173-21,16200
녹기전에,서울 마포구 염리동 148-22,18250
복성각 마포본점,서울 마포구 도화동 173,15000
천장어 마포대흥역점,서울 마포구 염리동 155-12,10980
남해바다,서울 마포구 도화동 536,66000
재모식당,서울 마포구 대흥동 37-14,6000
을밀대 본점,서울 마포구 염리동 147-6,38400
모연,서울 마포구 용강동 51-5,70600
봉피양 마포점,서울 마포구 용강동 50-3,50400
스키당,서울 마포구 대흥동 241-26,18600
정정 공덕1호점,서울 마포구 대흥동 466-5,10060
두껍삼 마포직영점,서울 마포구 도화동 553,83600
마포원조떡볶이,서울 마포구 도화동 345-4,2200
마포왕족발,서울 마포구 공덕동 256-10,41800
램랜드,서울 마포구 용강동 494-32,72750
개성손만두 마포점,서울 마포구 대흥동 337-80,11500
원마산 아구찜 본관,서울 마포구 용강동 116-5,10666
락희옥 마포본점,서울 마포구 공덕동 478,38800
조선초가한끼,서울 마포구 대흥동 802,24400
오롯,제주특별자치도 제주시 아라이동 3009-5,15600
마포나루 도화본점,서울 마포구 도화동 201-39,30400
엄마손칼국수,경기 용인시 처인구 김량장동 219-1,9000
신촌즉석생우동,서울 마포구 대흥동 801-13,7700
마포진짜원조최대포 본점,서울 마포구 공덕동 255-5,14600
서울안심축산 마포직영점,서울 마포구 용강동 67-1,116400
원조기사님분식,서울 마포구 대흥동 159-1,6200
육시리 마포직영점,서울 마포구 용강동 50-11,17000
통큰갈비 마포공덕점,서울 마포구 염리동 155-1,5900
원조조박집 본관,서울 마포구 용강동 40-1,30666
온달만두분식,서울 마포구 대흥동 194-2,1300
몽중헌 공덕점,서울 마포구 도화동 25-13,16400
마포양지설렁탕,서울 마포구 도화동 181-39,14800
롯데시티호텔마포 나루,서울 마포구 공덕동 467,67100
미스터리브루잉컴퍼니,서울 마포구 염리동 168-9,18400
계고기집,서울 마포구 염리동 157-8,10600
