가게명,가게주소,평균 단가
일미락 상암점,서울 마포구 상암동 1493,21200
김영섭초밥,서울 마포구 상암동 42-20,39980
아리산채,서울 은평구 증산동 223-28,11200
두레우가,서울 마포구 상암동 1613,55600
호우양꼬치 상암점,서울 마포구 상암동 12-16,20200
월화고기 상암직영 1호점,서울 마포구 상암동 8-3,18400
아고야,서울 마포구 상암동 42-18,13500
모리타,서울 마포구 상암동 35-1,31666
미스터아구 DMC점,정보 없음,정보 없음
동신화로,서울 마포구 상암동 2-74,27800
옥자회관,서울 마포구 상암동 2-29,15400
산들샤브샤브,경기 김포시 양촌읍 누산리 461-1,31600
소담,전남 목포시 상동 1125-10,10400
몽미,서울 마포구 상암동 2-98,17800
다이어메이커,서울 마포구 상암동 1293,14000
파스타공작소,서울 마포구 상암동 2-200,18800
일포베트남쌀국수,서울 마포구 상암동 1474,8000
다이닝원 상암점,서울 마포구 상암동 1615,20720
물고기자리,경기 용인시 수지구 풍덕천동 703,40000
서룡,서울 마포구 상암동 1653,48400
마음심,서울 마포구 상암동 32-14,10600
옥소반 상암점,서울 마포구 상암동 1615,10760
푸차이,서울 마포구 상암동 1622,14600
구리돌곱창,경기 구리시 교문동 216-7,31200
덕승재 상암동본점,서울 마포구 상암동 1653,43360
도시의어부 상암점,서울 마포구 상암동 35-7,정보 없음
츄라우미 상암점,서울 마포구 상암동 11-1,43800
상암양평해장국,서울 마포구 상암동 6-6,11800
장어세상,서울 동대문구 장안동 432-3,33600
한상가득왕솥뚜껑 상암본점,서울 마포구 상암동 1520,17400
더브래드팬트리,서울 마포구 상암동 20-9,3900
에그랑누룽지통닭구이 본점,서울 마포구 상암동 1453,19600
창고43 상암점,서울 마포구 상암동 1610,65800
청춘소고기,서울 마포구 상암동 15-16,17400
마이클돈까스 상암본점,서울 마포구 상암동 1655,10100
무한리필808,서울 마포구 상암동 41-10,29000
신흥부전,서울 마포구 상암동 5-2,42500
상암해물,서울 마포구 상암동 1497,정보 없음
골목대장포장마차 상암본점,서울 마포구 상암동 13-9,45800
시골보쌈&감자옹심이 상암점,서울 마포구 상암동 1602,39800
춘천신숯불닭갈비,경남 김해시 삼계동 1473-5,정보 없음
크라이치즈버거 상암점,서울 마포구 상암동 1610,10220
상암구름산추어탕,서울 마포구 상암동 1490,13400
교대이층집 상암점,서울 마포구 상암동 15-29,20400
마포구이마당 DMC본점,서울 은평구 증산동 221-4,12400
