가게명,가게주소,평균 단가
소금집델리 망원,서울 마포구 망원동 57-38,11800
망원시장손칼국수,서울 마포구 망원동 414-26,6600
철길 부산집 망원점,서울 마포구 망원동 422-27,29800
서노스시,서울 마포구 성산동 278-22,10200
명태공 성산직영점,서울 마포구 성산동 266-16,26800
강화통통생고기 성산점,서울 마포구 성산동 263-7,13500
망원동 즉석우동 전문돈까스 본점,서울 마포구 망원동 386-4,8000
빵쌤 마포구청점,서울 마포구 망원동 472-1,5820
스시나마,서울 마포구 망원동 494,3833
만나식당,서울 마포구 성산동 260-14,13800
우이락 망원본점,서울 마포구 망원동 411-21,15800
어글리베이커리,서울 마포구 망원동 400-1,정보 없음
헤키,서울 마포구 망원동 379-25,10400
홍반장신의주찹쌀순대&감자탕,서울 마포구 성산동 592-1,19200
24시가마솥순대,서울 마포구 성산동 279-17,26600
카페나하,서울 마포구 망원동 398-2,13250
당가원,서울 마포구 성산동 200-38,8100
한강껍데기,서울 마포구 망원동 416-33,14400
이치젠,서울 마포구 망원동 415-31,11200
투떰즈업,서울 마포구 망원동 57-278,5200
우리바다수산,서울 마포구 성산동 649-5,30200
망원수제고로케,서울 마포구 망원동 414-44,500
당도,서울 마포구 망원동 414-16,12250
남춘천닭갈비,서울 마포구 성산동 253-16,8400
성산왕갈비,서울 마포구 성산동 446,35000
양평해장국,경기 광명시 광명동 158-1338,11000
진평925,서울 마포구 망원동 483-2,69600
생고기제작소 망원점,서울 마포구 망원동 478-17,25900
스시린,서울 마포구 성산동 590-5,33600
원조청기와숯불갈비,서울 마포구 망원동 484-1,12000
망원동횟집,서울 마포구 망원동 485-31,36800
도야지,서울 마포구 성산동 590-4,20000
군산찜,서울 마포구 성산동 200-316,34600
고향집,서울 마포구 망원동 414-20,5200
할머니빈대떡 망원본점,서울 마포구 망원동 414-57,11600
순대일번지,서울 마포구 망원동 481-5,18200
육전국밥 마포구청역점,서울 마포구 합정동 374-1,정보 없음
청어람 망원점,서울 마포구 망원동 482-3,26666
초한초마,서울 마포구 망원동 471-27,7800
일등식당,서울 마포구 망원동 476-1,5600
강동원,서울 마포구 망원동 453-43,10800
목포낙지마을,서울 마포구 성산동 278-41,14200
만복기사식당,서울 마포구 망원동 455-1,11000
리치몬드과자점 성산본점,서울 마포구 성산동 114-5,5140
고향집감자탕 마포구청역점,서울 마포구 망원동 435-15,32200
