가게명,가게주소,평균 단가
일일향 마포점,서울 마포구 도화동 179-2,11800
굴다리식당,서울 마포구 도화동 181-45,10333
장수갈매기 본점,서울 마포구 도화동 182-11,15600
마포옥,서울 마포구 용강동 50-13,49000
색동저고리 마포점,서울 양천구 목동 908-34,23800
곱 마포점,서울 마포구 도화동 179-11,26000
아소정,서울 마포구 염리동 149-9,11800
역전회관,서울 마포구 염리동 173-21,16200
SOUPER 마포,서울 마포구 도화동 251-1,7500
복성각 마포본점,서울 마포구 도화동 173,15000
다락,서울 마포구 도화동 340,7400
남해바다,서울 마포구 도화동 536,66000
을밀대 본점,서울 마포구 염리동 147-6,38400
모연,서울 마포구 용강동 51-5,70600
코끼리즉석떡볶이,서울 마포구 도화동 345-4,3250
외백,서울 마포구 도화동 343-1,16600
봉피양 마포점,서울 마포구 용강동 50-3,50400
부산갈매기,서울 마포구 도화동 194-18,15250
소문난쭈꾸미 마포본점,서울 마포구 도화동 179-15,78000
짬뽕지존 마포점,서울 마포구 도화동 37,12700
문가네정육식당 마포역점,서울 마포구 용강동 40-1,39400
양평신내서울해장국 마포직영점,서울 마포구 용강동 508,25200
마포원조떡볶이,서울 마포구 도화동 345-4,2200
두껍삼 마포직영점,서울 마포구 도화동 553,83600
램랜드,서울 마포구 용강동 494-32,72750
서산꽃게,서울 마포구 도화동 201-5,40000
원마산 아구찜 본관,서울 마포구 용강동 116-5,10666
락희옥 마포본점,서울 마포구 공덕동 478,38800
마포갈매기,서울 마포구 도화동 194-8,13400
산동만두,서울 마포구 도화동 327-1,29800
아이오유,서울 용산구 청암동 164,141000
조선초가한끼,서울 마포구 대흥동 802,24400
대도식당 마포대로점,서울 마포구 마포동 34-1,21100
현래장,서울 마포구 마포동 140,6200
마루심 마포점,서울 마포구 용강동 51-3,45400
마포진짜원조최대포 본점,서울 마포구 공덕동 255-5,14600
서울안심축산 마포직영점,서울 마포구 용강동 67-1,116400
능라도 마포점,서울 마포구 마포동 33-1,16200
육시리 마포직영점,서울 마포구 용강동 50-11,17000
원조조박집 본관,서울 마포구 용강동 40-1,30666
마포양지설렁탕,서울 마포구 도화동 181-39,14800
몽중헌 공덕점,서울 마포구 도화동 25-13,16400
마포나루 아크로점,서울 마포구 도화동 563,39600
미스터리브루잉컴퍼니,서울 마포구 염리동 168-9,18400
마포나루 도화본점,서울 마포구 도화동 201-39,30400
