가게명,가게주소,평균 단가
담택,서울 마포구 서교동 481-15,10700
소금집델리 망원,서울 마포구 망원동 57-38,11800
망원시장손칼국수,서울 마포구 망원동 414-26,6600
강화통통생고기 본점,서울 마포구 서교동 444-2,15000
만두란,서울 마포구 망원동 386-5,8000
평이담백뼈칼국수,서울 마포구 서교동 481-5,9500
망원동 즉석우동 전문돈까스 본점,서울 마포구 망원동 386-4,8000
식신매운갈비찜,서울 마포구 서교동 458-22,27000
카와카츠 본점,서울 마포구 서교동 465-1,14800
우동카덴 합정점,서울 마포구 서교동 391-5,9600
너랑나랑호프 망원점,서울 마포구 망원동 386-16,22200
스시나마,서울 마포구 망원동 494,3833
홍대 카레츠,서울 마포구 서교동 476-32,12200
만나식당,서울 마포구 성산동 260-14,13800
프롬하노이,서울 마포구 망원동 57-187,10500
우이락 망원본점,서울 마포구 망원동 411-21,15800
멘지,서울 마포구 망원동 378-6,10125
어글리베이커리,서울 마포구 망원동 400-1,정보 없음
헤키,서울 마포구 망원동 379-25,10400
진진,서울 마포구 서교동 375-35,31750
카페나하,서울 마포구 망원동 398-2,13250
한강껍데기,서울 마포구 망원동 416-33,14400
이치젠,서울 마포구 망원동 415-31,11200
최강금돈까스,서울 마포구 합정동 388-15,14000
육장,서울 마포구 망원동 57-194,11500
투떰즈업,서울 마포구 망원동 57-278,5200
우리바다수산,서울 마포구 성산동 649-5,30200
크래버대게나라 마포점,서울 마포구 서교동 476-19,정보 없음
합정고깃집,서울 마포구 합정동 392-3,20600
망원동돼지국밥,서울 마포구 망원동 57-13,10000
발리인망원,서울 마포구 망원동 394-86,14200
진평925,서울 마포구 망원동 483-2,69600
원조청기와숯불갈비,서울 마포구 망원동 484-1,12000
옥동식 서교점,서울 마포구 서교동 385-6,10600
의정부부대찌개,서울 마포구 서교동 478-2,11000
고향집,서울 마포구 망원동 414-20,5200
순대일번지,서울 마포구 망원동 481-5,18200
가원,서울 마포구 망원동 386-2,13800
소바식당 망원점,서울 마포구 망원동 378-9,14800
크레이지카츠,서울 마포구 합정동 391-5,24800
청어람 망원점,서울 마포구 망원동 482-3,26666
일등식당,서울 마포구 망원동 476-1,5600
경기떡집,서울 마포구 망원동 378-7,2280
리치몬드과자점 성산본점,서울 마포구 성산동 114-5,5140
바다회사랑 2호점,서울 마포구 서교동 461-25,50600
