가게명,가게주소,평균 단가
이치류 홍대본점,서울 마포구 서교동 395-124,24500
칸다소바 홍대점,서울 마포구 상수동 91-3,9300
우동카덴 합정점,서울 마포구 서교동 391-5,9600
김덕후의곱창조 홍대본점,서울 마포구 상수동 92-2,17880
델리인디아,서울 마포구 서교동 402-6,15380
각시보쌈,서울 마포구 합정동 372-27,21600
빠넬로,서울 마포구 서교동 400-22,32000
스케줄 합정,서울 마포구 서교동 394-17,35200
개화기요정,서울 마포구 서교동 401-5,24400
합정광안리,서울 마포구 서교동 396-44,44000
또보겠지떡볶이집 호호피크닉점,서울 마포구 서교동 396-45,11500
소코아 홍대점,서울 마포구 서교동 411-12,12800
카레시,서울 마포구 서교동 404-14,12800
후라토식당 상수직영점,서울 마포구 상수동 313-2,15800
감성타코 홍대점,서울 마포구 서교동 358-121,29200
진진,서울 마포구 서교동 375-35,31750
공감 홍대2호점,서울 마포구 서교동 407-6,33600
경주식당,서울 마포구 상수동 314-10,45000
또보겠지떡볶이집 깐따삐아점,서울 마포구 서교동 358-42,5300
산더미불고기,서울 마포구 서교동 403-16,12600
더피자보이즈 합정본점,서울 마포구 서교동 402-5,21000
홍대 조선시대,서울 마포구 서교동 369-4,25200
스파카나폴리,서울 마포구 합정동 413-2,27500
냉장고,서울 마포구 상수동 327-7,18000
카미야,서울 마포구 서교동 358-39,10000
강강술래 홍대점,서울 마포구 서교동 369-10,34560
몰토베네,서울 마포구 합정동 361-20,29400
우와 홍대본점,서울 마포구 서교동 364-10,15700
웃사브,서울 마포구 상수동 92-3,23500
여우골 홍대점,서울 마포구 서교동 363-24,19600
하카타분코,서울 마포구 상수동 93-28,10000
비스트로사랑방,서울 마포구 서교동 408-25,34600
짬뽕지존 홍대점,서울 마포구 서교동 408-27,7000
오레노라멘 합정본점,서울 마포구 합정동 361-1,12000
철인7호치킨 홍대점,서울 마포구 서교동 402-4,17120
당인동국수공장,서울 마포구 당인동 25-9,20000
정돈,서울 종로구 명륜4가 107,17800
맛이차이나,서울 마포구 상수동 321-1,정보 없음
옥동식 서교점,서울 마포구 서교동 385-6,10600
서강8경,서울 마포구 상수동 356-6,162200
마녀주방 홍대점,서울 마포구 서교동 358-51,12100
라멘트럭 상수본점,서울 마포구 상수동 324-10,6500
피자네버슬립스 합정상수점,서울 마포구 서교동 400-13,29200
하하&김종국의 401정육식당 홍대본점,서울 마포구 서교동 395-17,21200
테이스티버거,서울 마포구 상수동 317-2,9900
