가게명,가게주소,평균 단가
꼬숑돈까스,서울 서대문구 창천동 31-26,4000
끼로끼로부엉이 본점,서울 마포구 노고산동 54-3,47800
통큰갈비 신촌본점,서울 서대문구 창천동 62-67,18900
수저가,서울 마포구 신수동 89-10,8000
벽제갈비 신촌점,서울 서대문구 창천동 13-20,21800
신촌고기창고,서울 서대문구 창천동 52-78,11600
철길왕갈비살,서울 마포구 창전동 4-2,21400
고삼이 신촌점,서울 서대문구 창천동 53-8,11800
신촌수제비,서울 서대문구 창천동 30-10,3500
마포소금구이,서울 마포구 합정동 383-14,26666
동해회집,전북특별자치도 전주시 덕진구 송천동2가 529,110000
로운샤브샤브 신촌점,서울 마포구 노고산동 57-1,22900
형제식당,서울 마포구 노고산동 49-47,7200
거구장,서울 마포구 신수동 63-14,31400
황곱 홍대점,서울 마포구 동교동 170-23,29800
또보겠지떡볶이집 스마일보이점,서울 마포구 서교동 327-20,13800
보승회관 신촌점,서울 서대문구 창천동 62-1,25000
을밀대 본점,서울 마포구 염리동 147-6,38400
기꾸스시,서울 서대문구 창천동 72-23,6700
정육면체,서울 서대문구 창천동 62-18,12300
춘천집닭갈비막국수,서울 서대문구 창천동 57-8,12300
신촌형제갈비,서울 서대문구 창천동 31-26,32500
설레임삼겹살1989,서울 서대문구 창천동 57-40,8360
김진환제과점,서울 마포구 동교동 186-22,3560
아오이토리,서울 마포구 서교동 327-17,3000
라구식당,서울 서대문구 창천동 2-44,9750
복성각,서울 서대문구 창천동 31-8,8000
여우골 신촌점,서울 서대문구 창천동 62-11,14200
니즈버거 신촌점,서울 마포구 창전동 2-48,9000
이빠네마그릴,서울 서대문구 창천동 18-11,39900
소신이쏘,서울 서대문구 창천동 57-39,14166
더담,서울 마포구 서교동 328-26,51333
램랜드,서울 마포구 용강동 494-32,72750
피자몰 신촌점,서울 마포구 노고산동 57-1,12100
현명식탁,서울 서대문구 창천동 13-2,19400
신촌황소곱창 신촌본점,서울 서대문구 창천동 52-148,19000
아저씨네낙지찜 신촌점,서울 서대문구 창천동 72-29,34000
부산집 홍대본점,서울 마포구 동교동 188-2,18000
유닭스토리 닭한마리 신촌점,서울 서대문구 창천동 18-72,16000
스아게K,서울 마포구 서교동 334-23,11600
가화만사성,서울 서대문구 창천동 57-8,38400
산울림1992,서울 마포구 창전동 5-138,24400
신촌서서갈비,서울 마포구 노고산동 107-29,17000
카라멘야,서울 서대문구 창천동 53-97,8000
부탄츄 신촌점,서울 서대문구 창천동 62-10,7900
