가게명,가게주소,평균 단가
꼬숑돈까스,서울 서대문구 창천동 31-26,4000
통큰갈비 신촌본점,서울 서대문구 창천동 62-67,18900
벽제갈비 신촌점,서울 서대문구 창천동 13-20,21800
신촌고기창고,서울 서대문구 창천동 52-78,11600
착한곱창,서울 서대문구 창천동 52-44,25920
정통집,서울 서대문구 창천동 33-17,10333
철길왕갈비살,서울 마포구 창전동 4-2,21400
고삼이 신촌점,서울 서대문구 창천동 53-8,11800
청담동포장마차,서울 서대문구 창천동 13-24,12000
미도인 신촌,서울 서대문구 창천동 45-12,9820
신촌수제비,서울 서대문구 창천동 30-10,3500
형제식당,서울 마포구 노고산동 49-47,7200
보승회관 신촌점,서울 서대문구 창천동 62-1,25000
술익는마을,서울 서대문구 창천동 52-66,20900
기꾸스시,서울 서대문구 창천동 72-23,6700
정육면체,서울 서대문구 창천동 62-18,12300
연어초밥,광주 서구 치평동 1223,17340
춘천집닭갈비막국수,서울 서대문구 창천동 57-8,12300
신촌형제갈비,서울 서대문구 창천동 31-26,32500
설레임삼겹살1989,서울 서대문구 창천동 57-40,8360
엠브로돈까스 신촌점,서울 서대문구 창천동 13-16,8460
라구식당,서울 서대문구 창천동 2-44,9750
복성각,서울 서대문구 창천동 31-8,8000
여우골 신촌점,서울 서대문구 창천동 62-11,14200
아오이토리,서울 마포구 서교동 327-17,3000
이빠네마그릴,서울 서대문구 창천동 18-11,39900
소신이쏘,서울 서대문구 창천동 57-39,14166
미스터서왕만두,서울 서대문구 대현동 27-20,7640
완차이,서울 서대문구 창천동 5-35,26900
타코벨 신촌점,서울 서대문구 창천동 31-28,4600
피자몰 신촌점,서울 마포구 노고산동 57-1,12100
한림돈가,서울 서대문구 창천동 52-124,13400
현명식탁,서울 서대문구 창천동 13-2,19400
신촌황소곱창 신촌본점,서울 서대문구 창천동 52-148,19000
부엉이돈가스 신촌점,서울 서대문구 창천동 5-70,11940
공릉닭한마리,서울 서대문구 대현동 104-69,30000
아웃백스테이크하우스 신촌점,서울 서대문구 창천동 2-6,79900
아저씨네낙지찜 신촌점,서울 서대문구 창천동 72-29,34000
유닭스토리 닭한마리 신촌점,서울 서대문구 창천동 18-72,16000
가화만사성,서울 서대문구 창천동 57-8,38400
대전해장국전문,서울 마포구 노고산동 19-39,12000
신촌서서갈비,서울 마포구 노고산동 107-29,17000
산울림1992,서울 마포구 창전동 5-138,24400
카라멘야,서울 서대문구 창천동 53-97,8000
부탄츄 신촌점,서울 서대문구 창천동 62-10,7900
